miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
hsa-miR-212-3p,80.54055650619048,55.102700494705886,-0.5475924161283015,0.0016512615003690945,0.9221212363260992,False
hsa-miR-374b-3p,78.55092143428571,90.3781305847059,0.20234551705104842,0.008700012250868694,0.9221212363260992,False
hsa-miR-1307-3p,2230.570045,1975.014268,-0.17554937702672824,0.009965437446773473,0.9221212363260992,False
hsa-miR-192-5p,1155.7253561523812,1398.4444761941177,0.2750243743007701,0.009965437446773473,0.9221212363260992,False
hsa-miR-6511b-5p,14.265677770476191,12.25548552535294,-0.2191206512502415,0.009965437446773473,0.9221212363260992,False
hsa-miR-6511b-1-5p,14.265677770476191,12.25548552535294,-0.2191206512502415,0.009965437446773473,0.9221212363260992,False
hsa-miR-1292-5p,22.310085876190474,18.749128253764706,-0.25087254819050475,0.012418044942869022,0.9221212363260992,False
hsa-miR-1197,41.81674598804763,35.51641687647059,-0.23559476081952901,0.01514112703051318,0.9221212363260992,False
hsa-miR-132-3p,1105.8595378714283,829.2175196058823,-0.41534564853354006,0.017565299242117693,0.9221212363260992,False
hsa-miR-433-5p,47.425662963809536,41.14941963764706,-0.20479585788866306,0.021372332498348356,0.9221212363260992,False
hsa-miR-128-1-5p,56.27948578190477,49.06967529647059,-0.19777742207835036,0.025980346094227946,0.9221212363260992,False
hsa-miR-6511a-4-5p,14.615616199809525,12.382199194352939,-0.23924308154657714,0.025980346094227946,0.9221212363260992,False
hsa-miR-6511a-3-5p,14.615616199809525,12.382199194352939,-0.23924308154657714,0.025980346094227946,0.9221212363260992,False
hsa-miR-1185-1-3p,44.63457280619048,38.82902283411765,-0.20102621704422674,0.025980346094227946,0.9221212363260992,False
hsa-miR-6511a-2-5p,14.615616199809525,12.382199194352939,-0.23924308154657714,0.025980346094227946,0.9221212363260992,False
hsa-miR-6511a-5p,14.615616199809525,12.382199194352939,-0.23924308154657714,0.025980346094227946,0.9221212363260992,False
hsa-miR-92b-5p,156.3768384157143,187.20292168823528,0.2595761060615205,0.02865178513279787,0.9221212363260992,False
hsa-miR-582-3p,516.7956820904761,445.7633273470588,-0.21331608422070047,0.02865178513279787,0.9221212363260992,False
hsa-miR-3607-3p,12.74160472157143,16.855476743764704,0.40367044636388805,0.03535462391348598,0.9221212363260992,False
hsa-miR-582-5p,18.330238459476192,16.125219353823528,-0.1849067682596477,0.03535462391348598,0.9221212363260992,False
hsa-miR-204-5p,3360.6034439523805,4370.698296588235,0.3791434816704111,0.03535462391348598,0.9221212363260992,False
hsa-miR-190a-5p,30.61484167809524,34.37171710529412,0.16699070377529335,0.038031435983902795,0.9221212363260992,False
hsa-miR-135a-2-5p,944.2068182904765,827.0055267,-0.1912059302954905,0.038031435983902795,0.9221212363260992,False
hsa-miR-132-5p,1292.0580779809522,995.4991288941177,-0.376178961961509,0.04266555347670142,0.9221212363260992,False
hsa-miR-4742-3p,12.711668810761905,9.774410615941175,-0.3790718248295244,0.04600082375184622,0.9221212363260992,False
hsa-miR-152-3p,1780.9943437142854,2161.288067764706,0.2792084403745161,0.04600082375184622,0.9221212363260992,False
hsa-miR-130a-3p,104.09470864285716,119.41325517588236,0.19806625310041515,0.04600082375184622,0.9221212363260992,False
hsa-miR-19b-3p,108.70474974047619,132.31695653411765,0.28358297730475535,0.04600082375184622,0.9221212363260992,False
hsa-miR-19b-1-3p,108.53256814333331,132.11914062764706,0.28371146327121455,0.04600082375184622,0.9221212363260992,False
hsa-miR-455-5p,649.1080345476192,759.996486317647,0.2275341348600417,0.05137885748582116,0.9221212363260992,False
hsa-miR-3913-1-5p,8.851767026285714,11.080950689647057,0.3240442768516716,0.054485796109466356,0.9221212363260992,False
