miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
hsa-miR-4742-3p,13.888375266086957,9.820629086368418,-0.49999048700991233,0.0005589645794080722,0.33481978306543525,False
hsa-miR-30c-2-3p,347.44954186956517,391.76644389210526,0.17319035262301163,0.0021444761539225476,0.4447691983447562,False
hsa-miR-30a-5p,22040.59271913044,25821.15861421053,0.22839071526008858,0.002879315727664644,0.4447691983447562,False
hsa-miR-24-2-5p,141.9882567956522,181.2721112302632,0.3523853671771544,0.003139876542064046,0.4447691983447562,False
hsa-miR-340-5p,12828.334273608694,11235.466255289473,-0.19127385685009557,0.004086066914978592,0.4447691983447562,False
hsa-miR-629-5p,221.2837162086956,276.0582207631579,0.3190752736887319,0.005023511984531881,0.4447691983447562,False
hsa-miR-1307-3p,2261.3085633478263,2063.4800011315792,-0.1320784101550121,0.00785178514367324,0.4447691983447562,False
hsa-miR-577,203.5394783486957,180.91457798052633,-0.16999998148469952,0.008302047845446414,0.4447691983447562,False
hsa-miR-625-5p,33.12121365469565,29.84503794036842,-0.1502644504132471,0.00935075621057535,0.4447691983447562,False
hsa-miR-363-3p,2725.1999288260868,3136.463069105264,0.2027765012553644,0.010086182067481353,0.4447691983447562,False
hsa-miR-6511b-5p,14.988638075782605,13.245214354105261,-0.178398108754255,0.010473208445629378,0.4447691983447562,False
hsa-miR-6511b-1-5p,14.988638075782605,13.245214354105261,-0.178398108754255,0.010473208445629378,0.4447691983447562,False
hsa-miR-3177-3p,29.742916540434784,24.20934086542105,-0.2969823221821599,0.012014832781062856,0.4447691983447562,False
hsa-miR-485-3p,595.521697278261,521.5945132921051,-0.19122537850981303,0.012014832781062856,0.4447691983447562,False
hsa-miR-181a-3p,703.3117590391306,662.4908090842107,-0.0862638988844715,0.012014832781062856,0.4447691983447562,False
hsa-miR-1271-5p,202.39431938260873,195.9257967052631,-0.04686143481432392,0.01279380248534201,0.4447691983447562,False
hsa-miR-144-5p,71.84489343373913,110.27287269789474,0.6181204072359296,0.013365351536236414,0.4447691983447562,False
hsa-miR-451a,2882.434986808695,5379.4026132947365,0.900157900985624,0.013365351536236414,0.4447691983447562,False
hsa-miR-184,453.74129689130433,555.7246929868422,0.29250037483752855,0.015328073678058551,0.4817226343311627,False
hsa-miR-212-5p,565.0342137,470.9324194902632,-0.2628181848780162,0.016084228191357686,0.4817226343311627,False
hsa-miR-378c,75.50269272652172,89.87279481052632,0.25135636928540883,0.016901181449993308,0.482086080406952,False
hsa-miR-486-2-5p,1192.6325855695652,1704.0086193947368,0.5147829728871773,0.018100257102109607,0.49282063655289343,False
hsa-miR-30a-3p,4102.693659043479,4789.104618842105,0.22318451711012166,0.019304067265202174,0.5027450561676566,False
hsa-miR-144-3p,73.07079893347826,121.70395918947368,0.7360092150551019,0.020233211729713818,0.5049872427541073,False
