miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
hsa-miR-331-5p,118.3555607240909,106.674029958125,-0.149918498678172,0.0027779721687386,0.6879268334962141,False,False,,False
hsa-miR-3912-3p,27.882861385,36.179135253750005,0.3757793048345661,0.0027779721687386,0.6879268334962141,False,False,,False
hsa-miR-1252-5p,21.39843402077273,26.36471409625,0.3011031307089373,0.0034511379606833,0.6879268334962141,False,False,"STAT1,ARNTL2,CLOCK,LIFR,BMPR1A",True
hsa-miR-132-3p,1156.4777087818184,784.94024090625,-0.5590827301615828,0.005204415066407,0.7780600524278571,False,False,"SMAD2,RORB,LIFR,RORA,KLF7,BMP2K",True
hsa-miR-425-3p,174.06225111818182,156.17451481875003,-0.1564443116794915,0.0136672229977919,0.9972001756853214,False,False,,False
hsa-miR-132-5p,1308.409563772727,928.76133891875,-0.4944343856745057,0.0326837612285869,0.9972001756853214,False,False,,False
hsa-miR-3605-5p,18.486455590454547,13.2398833325625,-0.4815782337896035,0.0445633413437337,0.9972001756853214,False,False,"RORC,BMPR2",False
hsa-miR-877-5p,28.40266917636364,23.228460489375003,-0.2901329752286976,0.0445633413437337,0.9972001756853214,False,False,,False
hsa-miR-27a-3p,7264.713266136361,6117.3762306875,-0.2479928492852554,0.0484194254534491,0.9972001756853214,False,True,"NGFR,LIFR,COLQ,RORA,BMPR2,LHX8,BMP1,IL6ST,BMP3,NR1D2,BMP2K,BMPR1A",True
hsa-miR-17-5p,334.4743018181818,273.2428393875,-0.2917116815464773,0.0529867620895461,0.9972001756853214,False,False,"LHX6,LHX8,STAT3,ARNTL2,NTRK2",True
hsa-miR-154-3p,30.602693814545457,27.78955107375,-0.1391161236117728,0.0529867620895461,0.9972001756853214,False,False,"RORB,RORA",False
hsa-miR-3607-3p,13.572495296636369,15.02136664325,0.146330091231273,0.0529867620895461,0.9972001756853214,False,False,,False
hsa-miR-3117-3p,22.564321624136365,16.3135207695625,-0.4679752290687347,0.0589236804261919,0.9972001756853214,False,False,,False
hsa-miR-34c-3p,31.00982283927273,22.855696346,-0.440171509486432,0.0589236804261919,0.9972001756853214,False,False,"SMAD2,BDNF",False
hsa-miR-379-5p,19811.41390022728,22982.17881625,0.2141837324868625,0.0646819073703404,0.9972001756853214,False,False,,False
hsa-miR-155-5p,554.6457409227272,437.5511111,-0.3421150480082016,0.0646819073703404,0.9972001756853214,False,False,"IL6R,SMAD2,BDNF,RORA,ARNTL,NR1D2",True
hsa-miR-218-5p,10730.942368909087,12191.094359437502,0.18405086223283,0.0710857290315688,0.9972001756853214,False,False,,False
hsa-miR-99a-3p,30.407372728181823,32.772406751875,0.1080604565796994,0.0710857290315688,0.9972001756853214,False,False,,False
hsa-miR-218-1-5p,10730.664770863636,12190.2724570625,0.183990916430222,0.0710857290315688,0.9972001756853214,False,False,,False
hsa-miR-491-5p,75.25817814863636,84.799492061875,0.172207258214974,0.0778921446808516,0.9972001756853214,False,False,RORB,False
hsa-miR-16-5p,1760.317831027273,1503.97783700625,-0.227052628338221,0.0938611830049662,0.9972001756853214,False,True,"CHAT,BMPR1A,CLOCK,RORB",True
hsa-miR-1306-3p,12.127774613499998,13.4365734868125,0.1478504303533787,0.0938611830049662,0.9972001756853214,False,False,,False
hsa-miR-16-1-5p,1763.7304558727271,1507.7472073375002,-0.2262355331910512,0.0938611830049662,0.9972001756853214,False,True,"CHAT,BMPR1A,CLOCK,RORB",True
hsa-miR-93-3p,22.28904135909091,19.9513049779375,-0.1598514547680505,0.0938611830049662,0.9972001756853214,False,True,"CLOCK,CHAT",True
hsa-miR-212-5p,555.3802327272725,416.43838438125,-0.4153727768852864,0.0938611830049662,0.9972001756853214,False,False,,False
hsa-miR-134-3p,9.256399293363636,11.1464670525625,0.2680635062887724,0.0938611830049662,0.9972001756853214,False,True,COLQ,True
hsa-miR-516b-1-5p,12.105783975590912,16.411206675062502,0.4389848086254249,0.101321854532366,0.9972001756853214,False,False,IL6ST,False
hsa-miR-577,188.6288459636364,201.48775634375,0.0951418580046929,0.101321854532366,0.9972001756853214,False,False,,False
hsa-miR-409-5p,302.2721204909091,342.1724277125,0.1788755912070723,0.101321854532366,0.9972001756853214,False,False,,False
hsa-miR-6511b-3p,13.91794353636364,18.09714018625,0.3788156727128742,0.101321854532366,0.9972001756853214,False,False,,False
hsa-miR-145-5p,1363.302803809091,815.4904237375,-0.741366194734935,0.101321854532366,0.9972001756853214,False,False,,False
hsa-miR-224-5p,282.19743555227274,138.268293828125,-1.029234506237671,0.1107184037351431,0.9972001756853214,False,False,"BMPR1B,BMPR2",False
hsa-miR-2682-5p,498.8013541227273,560.0528490812501,0.1670975909893233,0.1107184037351431,0.9972001756853214,False,False,,False
hsa-miR-488-5p,55.96736598727272,65.264509505,0.2217128238310568,0.1203029118770439,0.9972001756853214,False,False,,False
hsa-miR-451a,5148.722142318182,4100.907924125,-0.3282710634332488,0.1203029118770439,0.9972001756853214,False,False,,False
hsa-miR-433-5p,46.027147647272734,42.24511353062499,-0.1237005646487041,0.1203029118770439,0.9972001756853214,False,False,,False
hsa-miR-1468-5p,110.45713355318183,129.56988894125,0.2302438918250668,0.1203029118770439,0.9972001756853214,False,False,,False
hsa-miR-652-3p,431.5171547136363,400.100590125,-0.1090551574709728,0.1203029118770439,0.9972001756853214,False,False,,False
hsa-miR-516a-2-5p,29.25366590636364,37.825509249375,0.3707420792230476,0.1203029118770439,0.9972001756853214,False,False,,False
hsa-miR-323a-5p,70.29880457772727,77.37920771625,0.1384458004788733,0.1203029118770439,0.9972001756853214,False,False,BMP1,False
hsa-miR-122-5p,81.22498968909092,113.351332476875,0.4808057899373938,0.1203029118770439,0.9972001756853214,False,False,"NTRK2,BMP1",False
hsa-miR-744-3p,26.744211876818188,22.473679978125,-0.2509903100470012,0.1203029118770439,0.9972001756853214,False,False,IL6ST,False
hsa-miR-335-5p,1090.9953713636369,1197.62213735,0.1345278132120331,0.1203029118770439,0.9972001756853214,False,False,,False
hsa-miR-516a-5p,29.25366590636364,37.825509249375,0.3707420792230476,0.1203029118770439,0.9972001756853214,False,False,,False
hsa-miR-1246,82.97016548859091,42.75448829,-0.9565167841935488,0.1319256487112786,0.9972001756853214,False,False,,False
hsa-miR-429,27.639077255000004,20.5038755575,-0.4308128236669439,0.1319256487112786,0.9972001756853214,False,False,,False
hsa-miR-126-3p,64834.489866363634,61263.07644,-0.0817436683574488,0.1319256487112786,0.9972001756853214,False,False,,False
hsa-miR-380-5p,184.88622968818183,227.9111658125,0.301833829847892,0.1319256487112786,0.9972001756853214,False,False,,False
hsa-miR-6511b-1-3p,14.633418354090912,18.91881034625,0.3705545507138383,0.1319256487112786,0.9972001756853214,False,False,,False
hsa-miR-138-2-3p,156.1439580277273,145.61933755,-0.1006747942776691,0.1419181076819251,0.9972001756853214,False,False,"STAT3,IL6ST,BMPR1A",False
hsa-miR-376c-3p,24.53666702018182,31.066936076875,0.3404406737793959,0.1419181076819251,0.9972001756853214,False,False,"RORB,CLOCK,BDNF",False
hsa-miR-32-3p,26.98022181863637,24.691152003125,-0.1279080603168818,0.1419181076819251,0.9972001756853214,False,False,"RORA,SMAD2,BMPR2,BMPR1B,BMP3,CLOCK,NPAS2,IL6ST,NGF,ARNTL2",True
hsa-miR-381-3p,7486.530201318182,8516.002032,0.1858790695007766,0.1419181076819251,0.9972001756853214,False,False,"BMPR2,BMPR1B,KLF4,ARNTL,CLOCK,LHX8,BDNF,SMAD2,LIFR,BMP3,NPAS2,BMPER,RORA,KLF16",True
hsa-miR-363-3p,2925.561829409091,3141.042216125,0.1025296244942239,0.1419181076819251,0.9972001756853214,False,True,"KLF4,SLC5A7,RORA,BMPR2",True
