miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
hsa-miR-331-5p,119.16108250909092,99.285697158,-0.2632553279043748,0.0001190759704691,0.069540366753989,True,False,,False
hsa-miR-1252-5p,16.836698631454542,25.04170718,0.5727236391119757,0.0008845643520566,0.2582927908005307,False,False,"STAT1,ARNTL2,CLOCK,LIFR,BMPR1A",True
hsa-miR-154-3p,31.389389522727267,27.660671487,-0.1824407913069752,0.017266015718028,0.9992742036085688,False,False,"RORB,RORA",False
hsa-miR-23a-3p,2713.7803325454547,1699.0896571,-0.6755419639945277,0.017266015718028,0.9992742036085688,False,True,"BMP2K,IL6R,RORA,COLQ,LIFR",True
hsa-miR-3912-3p,25.478105943636365,34.702601905,0.4457858052979349,0.0242121139953957,0.9992742036085688,False,False,,False
hsa-miR-139-5p,15217.33171363636,12927.2636586,-0.2352984822041595,0.0242121139953957,0.9992742036085688,False,False,,False
hsa-miR-3909,49.20878570181819,58.03265698000001,0.2379490667581514,0.0242121139953957,0.9992742036085688,False,False,,False
hsa-miR-27a-3p,6780.7218251818185,5588.300750799999,-0.2790291944108212,0.0339366515837104,0.9992742036085688,False,True,"NGFR,LIFR,COLQ,RORA,BMPR2,LHX8,BMP1,IL6ST,BMP3,NR1D2,BMP2K,BMPR1A",True
hsa-miR-3605-3p,38.29279066909091,56.95542530299999,0.5727604692400128,0.0432245772803048,0.9992742036085688,False,False,,False
hsa-miR-181c-5p,362.7709854909091,504.63902733,0.4761927111206994,0.0432245772803048,0.9992742036085688,False,False,NR1D2,False
hsa-miR-377-3p,71.46747584818182,90.531108317,0.3411267817504502,0.0432245772803048,0.9992742036085688,False,True,"COLQ,LIFR",True
hsa-miR-452-5p,41.52596981727272,21.317139067899998,-0.9620000321969276,0.0432245772803048,0.9992742036085688,False,False,"SMAD2,RORB,RORA",False
hsa-miR-3620-5p,8.153787343818182,11.105116981399998,0.445682354340958,0.0432245772803048,0.9992742036085688,False,False,LIFR,False
hsa-miR-1246,99.99555826281818,42.06702931169999,-1.2491740712363697,0.0432245772803048,0.9992742036085688,False,False,,False
hsa-miR-4787-3p,30.31551880545454,17.705053677800002,-0.7758952945836617,0.0578198890892389,0.9992742036085688,False,False,,False
hsa-miR-494-3p,202.2194398090909,169.72360912,-0.2527344308924686,0.0578198890892389,0.9992742036085688,False,True,"LIF,BMP4,RORA,CLOCK,BMP2K,STAT1,BMPR2,KLF7,BMPER,IL6ST,BCHE,SLC5A7,BMPR1A,NPAS2",True
hsa-miR-3605-5p,16.503266354545453,11.6990808089,-0.4963564109759577,0.0578198890892389,0.9992742036085688,False,False,"RORC,BMPR2",False
hsa-miR-125a-5p,20471.69511636364,28238.108096,0.4640128671092842,0.0746606334841629,0.9992742036085688,False,False,"RORA,IL6R,LIFR,STAT3,RORB",True
hsa-miR-1228-5p,8.433301540818182,11.992245425799998,0.5079323685707284,0.0746606334841629,0.9992742036085688,False,False,,False
hsa-miR-1306-3p,10.590896693363636,11.879302396699998,0.1656253750871728,0.0746606334841629,0.9992742036085688,False,False,,False
hsa-miR-3607-3p,10.09145946772727,12.458857712,0.3040369632731861,0.0746606334841629,0.9992742036085688,False,False,,False
hsa-miR-182-5p,401.35826331818186,229.41400369,-0.8069371428933332,0.0746606334841629,0.9992742036085688,False,False,"CLOCK,BMP5,BMPR1B,KLF7,NR1D2,BMP3",True
hsa-miR-671-3p,149.20091226363635,175.02743037,0.2303246827957377,0.0746606334841629,0.9992742036085688,False,False,,False
hsa-miR-4705,14.669532658454546,20.439111806,0.4785095940429875,0.0746606334841629,0.9992742036085688,False,False,,False
hsa-miR-22-3p,10762.729100181818,12393.745884,0.2035683455411963,0.0746606334841629,0.9992742036085688,False,False,"NTRK2,LHX6",False
hsa-miR-1301-3p,775.612360490909,935.6178197100002,0.2705835443842144,0.0915013778790868,0.9992742036085688,False,True,"CHAT,BMP5,SMAD2,STAT5A",True
hsa-miR-190a-5p,23.466604523636363,30.34977967,0.3710769353226348,0.0915013778790868,0.9992742036085688,False,False,IL6ST,False
hsa-miR-33a-5p,13.427393331818182,17.274498465599997,0.363464564466466,0.0915013778790868,0.9992742036085688,False,False,"RORB,RORA",False
hsa-miR-126-3p,67781.2680309091,57141.71189,-0.246342368410886,0.0915013778790868,0.9992742036085688,False,False,,False
hsa-miR-769-5p,5894.262922727273,6441.6508823,0.1281190576536293,0.0915013778790868,0.9992742036085688,False,False,SMAD2,False
hsa-miR-511-5p,49.22821300990909,28.908293621,-0.768001917607406,0.0915013778790868,0.9992742036085688,False,False,"BMPR1B,NTRK2,PCYT1A,KLF4,RORA",True
hsa-let-7e-5p,8036.863651000001,9475.7023794,0.2376002798055232,0.0915013778790868,0.9992742036085688,False,False,"NGF,IL6R,CLOCK",False
hsa-miR-1307-5p,150.82229584818182,168.164033395,0.1570194617485993,0.0915013778790868,0.9992742036085688,False,False,,False
hsa-miR-148a-5p,28.845841498181816,21.153028888,-0.4474990940068339,0.1060966896880209,0.9992742036085688,False,True,"RORA,SMAD2,PRIMA1",True
hsa-miR-487a-3p,122.92390901090911,111.824330702,-0.1365314273749831,0.1060966896880209,0.9992742036085688,False,False,"RORB,RORA",False
hsa-miR-1468-5p,87.92577805454546,110.62363208000002,0.3313015141978352,0.1060966896880209,0.9992742036085688,False,False,,False
hsa-miR-6516-5p,78.00939337545455,64.910457442,-0.2651969309506086,0.1060966896880209,0.9992742036085688,False,True,"RORB,NTRK2,KLF7,SLC5A7,BMPR1A",True
hsa-miR-324-5p,84.33055154545454,73.646488514,-0.1954386513187014,0.1060966896880209,0.9992742036085688,False,False,,False
hsa-miR-212-3p,78.99093067818181,57.208340851,-0.4654615160456599,0.1060966896880209,0.9992742036085688,False,False,"SMAD2,RORB,LIFR,KLF7,BMP2K",True
hsa-miR-99a-5p,163982.43706363635,144742.50519,-0.1800526598367078,0.1060966896880209,0.9992742036085688,False,False,,False
hsa-miR-5680,12.762723196909093,9.237678113799998,-0.4663340098714523,0.1060966896880209,0.9992742036085688,False,False,,False
hsa-miR-1249-3p,157.97012166363638,212.37035705,0.4269306927391803,0.1153817802424613,0.9992742036085688,False,False,,False
hsa-miR-380-5p,155.45650471818183,201.87278287,0.3769354308691497,0.1153817802424613,0.9992742036085688,False,False,,False
hsa-miR-598-5p,8.867131707999999,9.7073657894,0.1306123513127093,0.135990428560088,0.9992742036085688,False,False,,False
