miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
hsa-miR-218-1-5p,10263.658611818182,13305.342893333334,0.3744606010335172,0.0059793148028442,0.9208144796380088,False,False,,False
hsa-miR-873-3p,113.60001340000002,147.23508001666667,0.3741584417590866,0.0059793148028442,0.9208144796380088,False,False,,False
hsa-miR-877-5p,31.992599223636365,22.261675426666667,-0.5231760334579736,0.0059793148028442,0.9208144796380088,False,False,,False
hsa-miR-218-5p,10263.945675636363,13306.231245,0.3745165714595408,0.0059793148028442,0.9208144796380088,False,False,,False
hsa-miR-409-5p,320.6185860727273,386.8883012333334,0.2710590449775321,0.013251454427925,0.9639319494014352,False,False,,False
hsa-miR-132-3p,1172.0854598181818,645.7418173499999,-0.8600484021007588,0.013251454427925,0.9639319494014352,False,False,"SMAD2,RORB,LIFR,RORA,KLF7,BMP2K",True
hsa-miR-331-3p,107.02647187,71.27417755833334,-0.5865162842460174,0.013251454427925,0.9639319494014352,False,False,BMP1,False
hsa-miR-455-5p,596.4019613727273,799.87071035,0.4234818220508707,0.013251454427925,0.9639319494014352,False,False,,False
hsa-miR-212-5p,551.6396868909092,301.42107185000003,-0.8719459762270816,0.0213316095669036,0.9639319494014352,False,False,,False
hsa-miR-758-5p,23.39444743254545,13.431289157499998,-0.8005683695394059,0.0213316095669036,0.9639319494014352,False,False,,False
hsa-miR-302a-5p,13.914399226636364,30.748293193333332,1.1439277104638998,0.0213316095669036,0.9639319494014352,False,False,"BMPR2,SMAD2,RORA",False
hsa-miR-664b-3p,20.464399675272727,10.624656456666663,-0.945700152702314,0.0213316095669036,0.9639319494014352,False,True,"BMP8B,IL6ST,BMPR1B,KLF7,LIF,KLF4,CLOCK,BCHE,IL6R,BMPR1A",True
hsa-miR-23b-5p,64.2632098709091,42.598625526666666,-0.5931861618354102,0.0213316095669036,0.9639319494014352,False,False,,False
hsa-miR-425-5p,602.8872354727272,543.8588342166667,-0.1486559550755561,0.0297349709114414,0.9639319494014352,False,False,"IL6ST,CLOCK,KLF7",False
hsa-miR-488-5p,58.58752679818183,76.53644329,0.3855533097674488,0.0297349709114414,0.9639319494014352,False,False,,False
hsa-miR-5010-3p,60.14284423363637,47.80317150333334,-0.3312867594158195,0.0297349709114414,0.9639319494014352,False,False,"IL6ST,RORA,BMP2K,KLF7,BDNF,STAT1,CLOCK,BMPR1B",True
hsa-miR-425-3p,182.5132050636364,161.9758921333333,-0.1722217446731413,0.0478345184227537,0.9639319494014352,False,False,,False
hsa-miR-93-3p,22.75868818,18.87689085,-0.2697962397571531,0.0478345184227537,0.9639319494014352,False,True,"CLOCK,CHAT",True
hsa-miR-3615,400.71764543,247.51277705,-0.6950830380262429,0.0478345184227537,0.9639319494014352,False,False,,False
hsa-miR-106a-5p,33.463690763636365,39.3093122,0.2322745496851048,0.0478345184227537,0.9639319494014352,False,False,"RORA,BMPR2,CLOCK,STAT3,LHX6,LHX8,ARNTL2,NPAS2,RORB,NTRK2,BMP2,IL6ST,SMAD2,BMP2K",True
hsa-miR-495-3p,1815.413401,2211.0172013333336,0.2844121368954582,0.0478345184227537,0.9639319494014352,False,True,"CLOCK,RORB,RORA,IL6R,BDNF,BMPR1B,SMAD2,BMPR2,STAT3,BMPR1A,BMP3,NKX2-1,STAT1,LIFR,SLC5A7,BMP7,BMP2K,KLF7",True
hsa-miR-369-5p,329.7833073636364,417.55086698333326,0.3404335848874087,0.0478345184227537,0.9639319494014352,False,False,,False
hsa-miR-493-5p,112.94332810363636,138.75055636666667,0.2968945074556188,0.0478345184227537,0.9639319494014352,False,True,"NR1D2,BMP5,RORA,PRIMA1,BMPR1A,CLOCK,STAT5B,KLF4",True
hsa-miR-494-3p,140.58845649636362,200.13977965,0.5095298030699364,0.0478345184227537,0.9639319494014352,False,True,"LIF,BMP4,RORA,CLOCK,BMP2K,STAT1,BMPR2,KLF7,BMPER,IL6ST,BCHE,SLC5A7,BMPR1A,NPAS2",True
hsa-miR-18a-5p,18.38359037681818,11.645704020166669,-0.6586206995938393,0.0478345184227537,0.9639319494014352,False,False,"RORA,SMAD2",False
hsa-miR-181a-3p,846.9040438727275,597.8243248333333,-0.5024769183029729,0.0478345184227537,0.9639319494014352,False,False,,False
hsa-miR-876-3p,89.61350041454547,120.17271371166667,0.423321358392303,0.0478345184227537,0.9639319494014352,False,False,,False
hsa-miR-219a-1-3p,9.877877587454543,6.2414249905,-0.6623256392040431,0.0644796380090497,0.9639319494014352,False,False,"IL6ST,IL6R,SMAD2",False
hsa-miR-330-5p,1811.4442099090911,1399.2188739333333,-0.3725187184894842,0.0644796380090497,0.9639319494014352,False,False,NGFR,False
hsa-miR-873-5p,258.8545237645454,329.1192882,0.3464690477169228,0.0644796380090497,0.9639319494014352,False,True,"BMP7,CLOCK,COLQ,NTRK1,RORB,LIFR",True
hsa-miR-99b-3p,1547.805985818182,1788.5176361666663,0.2085397004254066,0.0644796380090497,0.9639319494014352,False,False,,False
hsa-miR-335-5p,1146.0134238545454,1437.056396166667,0.3264927371218817,0.0644796380090497,0.9639319494014352,False,False,,False
hsa-miR-744-3p,25.28850101090909,18.560530671666665,-0.4462435632996193,0.0644796380090497,0.9639319494014352,False,False,IL6ST,False
hsa-miR-148a-3p,13302.024481545455,20324.793748333333,0.6115948809817979,0.0644796380090497,0.9639319494014352,False,True,"SLC5A7,ACHE,IL6ST",True
hsa-miR-1303,36.53955521636363,59.78007148666668,0.7102055495978323,0.0916289592760181,0.9639319494014352,False,False,,False
hsa-miR-129-5p,42866.69796363637,34509.44632333333,-0.3128659630812382,0.0916289592760181,0.9639319494014352,False,True,"BDNF,CLOCK,KLF7,RORB,BMPR2,RORA,SMAD2,STAT5B,IL6ST,SLC5A7,BMP5,BCHE,STAT3",True
hsa-miR-423-5p,7163.738637272726,6107.941036333334,-0.2300265678295385,0.0916289592760181,0.9639319494014352,False,False,"NTRK2,LHX6,NGFR",False
hsa-miR-346,98.98972188545454,95.11079639,-0.0576696215621206,0.0916289592760181,0.9639319494014352,False,False,,False
hsa-miR-3117-3p,26.87094831454545,18.43379895283333,-0.5436938157929951,0.0916289592760181,0.9639319494014352,False,False,,False
hsa-miR-483-5p,12.210121376363638,16.403376706666666,0.425915288782503,0.0916289592760181,0.9639319494014352,False,False,,False
hsa-miR-30e-3p,6439.503441090908,7050.5458965,0.1307855196901641,0.0916289592760181,0.9639319494014352,False,False,,False
hsa-miR-6511b-1-3p,15.790255548727272,19.84730959333333,0.3299089358668312,0.0916289592760181,0.9639319494014352,False,False,,False
hsa-miR-30a-3p,4529.095104181818,5568.522190833333,0.2980716728173398,0.0916289592760181,0.9639319494014352,False,False,,False
hsa-miR-30a-5p,23196.90080181818,28671.06638666667,0.305663496491384,0.0916289592760181,0.9639319494014352,False,False,"LHX8,RORA,LIFR,CLOCK,SMAD2,BMP2K,KLF7",True
hsa-miR-129-1-5p,42866.34037090909,34509.329228333336,-0.3128588233702114,0.0916289592760181,0.9639319494014352,False,True,"BDNF,CLOCK,KLF7,RORB,BMPR2,RORA,SMAD2,STAT5B,IL6ST,SLC5A7,BMP5,BCHE,STAT3",True
hsa-miR-708-3p,910.9642233545457,1083.5843643333335,0.2503451805802079,0.0916289592760181,0.9639319494014352,False,False,BMP2K,False
hsa-miR-935,233.7341479,270.2182959666667,0.2092568369100513,0.0916289592760181,0.9639319494014352,False,False,,False
hsa-miR-6511b-3p,15.048243786909092,19.338748071666668,0.3618992760656159,0.0916289592760181,0.9639319494014352,False,False,,False
hsa-miR-130b-5p,293.2870362636364,200.0503695333333,-0.5519500095385892,0.0916289592760181,0.9639319494014352,False,True,"RORA,COLQ",True
hsa-miR-339-3p,393.88504520909095,472.2785503166667,0.2618633708464184,0.0916289592760181,0.9639319494014352,False,False,,False
hsa-miR-139-5p,13043.872765454546,16282.275516666668,0.3199300626998855,0.0916289592760181,0.9639319494014352,False,False,,False
hsa-miR-197-3p,233.14252414545456,265.85356806666664,0.1894196596703663,0.0916289592760181,0.9639319494014352,False,False,KLF7,False
hsa-miR-379-5p,21742.16895645455,27382.00271833333,0.3327321011057904,0.0916289592760181,0.9639319494014352,False,False,,False
hsa-miR-132-5p,1294.7628086000002,769.1485165,-0.7513537273679347,0.0916289592760181,0.9639319494014352,False,False,,False
hsa-miR-155-5p,507.8597577272727,458.62806673333336,-0.1471055143931696,0.0916289592760181,0.9639319494014352,False,False,"IL6R,SMAD2,BDNF,RORA,ARNTL,NR1D2",True
hsa-miR-509-3-5p,12.364849469636365,23.0078517815,0.8958816105727436,0.1255656108597285,0.9639319494014352,False,False,"BMPER,SMAD2,GBX2,CLOCK",False
hsa-miR-6511b-5p,14.552078847,11.2533802485,-0.3708668471157335,0.1255656108597285,0.9639319494014352,False,True,"CHAT,CNTFR,LHX8",True
hsa-miR-548p,18.033987076272727,22.405743371666663,0.3131501997818668,0.1255656108597285,0.9639319494014352,False,True,"ARNTL2,BMPER,KLF7,BMPR2,BMP4,RORA,SLC5A7,SMAD2,RORB,IL6ST",True
hsa-miR-433-5p,50.331351478181816,44.78377519833333,-0.1684811869222446,0.1255656108597285,0.9639319494014352,False,False,,False
hsa-miR-134-3p,10.359051106454544,12.156581501166665,0.2308457342941614,0.1255656108597285,0.9639319494014352,False,True,COLQ,True
hsa-miR-516a-2-5p,30.30653746,46.126893521666666,0.6059791026492798,0.1255656108597285,0.9639319494014352,False,False,,False
hsa-miR-6511b-1-5p,14.552078847,11.2533802485,-0.3708668471157335,0.1255656108597285,0.9639319494014352,False,True,"CHAT,CNTFR,LHX8",True
hsa-miR-26b-3p,15.73172619281818,9.988833469833333,-0.6552888717248924,0.1255656108597285,0.9639319494014352,False,False,SMAD2,False
hsa-miR-374a-5p,883.1341671090909,969.3331723,0.1343599927647094,0.1255656108597285,0.9639319494014352,False,False,"BMP2,RORA,SMAD2,LIFR,BMPR2,KLF7,RORB,NTRK2",True
hsa-miR-548ah-3p,18.12418557627273,22.531171878333332,0.3140061841363097,0.1255656108597285,0.9639319494014352,False,False,"RORB,RORA,BMP3,SMAD2,BMPR1A,LIFR,CLOCK,IL6R,ARNTL2,BMPR2,NKX2-1,KLF7,STAT1,BMP7,BMPR1B,NPAS2",True
