miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
hsa-miR-3173-5p,15.215391953800001,20.167388257499997,0.4064927636801272,0.0035835954870746534,0.9858348598738231,False
hsa-miR-1291,17.82150465093333,24.950219079,0.4854333361799936,0.007219618305109976,0.9858348598738231,False
hsa-miR-138-2-3p,50.23493859733333,64.05423680681817,0.35060288607354817,0.007219618305109976,0.9858348598738231,False
hsa-miR-320e,686.9449842199999,893.3591588863637,0.37904573973128564,0.012746461102833173,0.9858348598738231,False
hsa-miR-142-5p,196.86234202666665,152.14278081999998,-0.37176128365915684,0.012746461102833173,0.9858348598738231,False
hsa-miR-146b-5p,568.9262388266667,440.5619191636364,-0.36889682128851575,0.014594266622095398,0.9858348598738231,False
hsa-miR-320c,414.61569617999993,457.8518799045454,0.14310621231875764,0.01868340717669581,0.9858348598738231,False
hsa-miR-128-2-5p,11.557217478599998,9.140275799863637,-0.33848449255373536,0.02156231030680178,0.9858348598738231,False
hsa-miR-148a-3p,2395.4342048333333,2049.944440590909,-0.2247023785827622,0.02156231030680178,0.9858348598738231,False
hsa-miR-877-3p,31.858036640666665,36.06076231136364,0.17877253650156977,0.026795737215242754,0.9858348598738231,False
hsa-miR-125a-5p,16565.004877999996,20128.045112136366,0.2810684325264816,0.03073745449445675,0.9858348598738231,False
hsa-miR-223-5p,74.5504271,54.41870061318182,-0.45411410880978575,0.03416994983028876,0.9858348598738231,False
hsa-miR-125b-5p,90037.41211666666,98589.41711409089,0.1309082006718043,0.03416994983028876,0.9858348598738231,False
hsa-miR-31-5p,78.32469882133334,103.37664182272725,0.40037102020485893,0.0383853209257039,0.9858348598738231,False
hsa-miR-320d,30.77308630466667,41.12848300818182,0.4184687179639237,0.04332767149341543,0.9858348598738231,False
hsa-miR-301a-3p,16.65814609326667,17.858042694681817,0.10034611435947749,0.04332767149341543,0.9858348598738231,False
hsa-miR-486-5p,2872.1937972,2019.5186892727272,-0.508141598980739,0.04332767149341543,0.9858348598738231,False
hsa-miR-9-3p,38328.722940666674,43839.58729772727,0.19380828658751348,0.04845418857232919,0.9858348598738231,False
hsa-miR-30e-5p,2022.5458327466665,2246.103150090909,0.15125178779826598,0.04845418857232919,0.9858348598738231,False
hsa-miR-17-3p,22.06155448173333,26.309998622272722,0.25407672454448793,0.05186927804282537,0.9858348598738231,False
hsa-miR-33a-5p,17.782951137266668,23.440253988636368,0.3984934384116041,0.05186927804282537,0.9858348598738231,False
hsa-miR-185-5p,4030.521424266667,4588.884410363636,0.18717697634227015,0.05186927804282537,0.9858348598738231,False
hsa-miR-182-5p,305.5060081026667,130.8265906931818,-1.2235449519784094,0.060211969036422786,0.9858348598738231,False
hsa-miR-423-3p,6671.151660466668,7427.635285454544,0.15496713767318937,0.060211969036422786,0.9858348598738231,False
hsa-miR-501-5p,7.548578256933334,9.273713233454545,0.29694217118039923,0.060211969036422786,0.9858348598738231,False
hsa-miR-320b,484.24503314666674,541.1394508409091,0.1602631710306639,0.060211969036422786,0.9858348598738231,False
hsa-miR-374a-5p,2270.8591175000006,2554.4351562272727,0.1697661086701956,0.06702746653068026,0.9858348598738231,False
hsa-miR-301a-5p,17.170735630933336,22.835463330909093,0.4113242134586894,0.06702746653068026,0.9858348598738231,False
hsa-miR-224-5p,75.09088051073333,43.35175326454546,-0.7925473675978507,0.07290140038618687,0.9858348598738231,False
hsa-miR-223-3p,242.75922816666667,206.55132246818184,-0.23302584156344963,0.07290140038618687,0.9858348598738231,False
hsa-miR-151a-5p,13003.258041733332,10020.910435918182,-0.3758595556130544,0.0753729122711494,0.9858348598738231,False
hsa-miR-664a-3p,397.05858564,353.9197977227273,-0.16592942530403576,0.0753729122711494,0.9858348598738231,False
hsa-miR-4286,23.373756953999997,28.134475627772723,0.26744943190919734,0.0753729122711494,0.9858348598738231,False
hsa-miR-151b,11236.267855266666,8633.908388572727,-0.38007723155463147,0.0753729122711494,0.9858348598738231,False
hsa-miR-4662a-5p,19.43370384433333,12.334482558999998,-0.6558636937553954,0.07690984488353103,0.9858348598738231,False
hsa-miR-466,19.43370384433333,12.334482558999998,-0.6558636937553954,0.07690984488353103,0.9858348598738231,False
hsa-miR-598-5p,13.3853268288,16.123089478090908,0.2684758514300887,0.08332321084530137,0.9858348598738231,False
hsa-miR-191-5p,1510.341800533333,1601.2628873681822,0.08433510367269292,0.09172659543948025,0.9858348598738231,False
hsa-miR-3909,13.185735939133336,16.759322694909088,0.3459857506820043,0.09172659543948025,0.9858348598738231,False
hsa-miR-346,36.43721001866666,41.99119669318182,0.2046744068093469,0.10002262948307705,0.9858348598738231,False
hsa-miR-1468-5p,74.80108969133335,69.0628458959091,-0.11514950220054576,0.10002262948307705,0.9858348598738231,False
hsa-miR-27a-3p,2268.1797546000003,2688.9497657727275,0.2455078241722397,0.10002262948307705,0.9858348598738231,False
hsa-miR-1273h-3p,18.2351427068,21.239112019545455,0.22000196000827277,0.10002262948307705,0.9858348598738231,False
hsa-miR-891a-5p,32.150757825333336,21.22101324168182,-0.5993592013199756,0.10002262948307705,0.9858348598738231,False
hsa-miR-214-3p,32.2676917704,21.533779800954548,-0.5834888036778718,0.10002262948307705,0.9858348598738231,False
hsa-miR-576-5p,48.170481824,55.465925793181825,0.2034524027861897,0.10002262948307705,0.9858348598738231,False
hsa-miR-124-3p,2701.7137568666662,3128.0241567727276,0.21137682312314254,0.10002262948307705,0.9858348598738231,False
hsa-miR-28-5p,835.5545456133334,799.2441047772728,-0.06409781382101976,0.10587749667997215,0.9858348598738231,False
hsa-miR-219a-2-3p,2919.1106977733334,3383.6580413681822,0.21305485304985616,0.10587749667997215,0.9858348598738231,False
hsa-miR-93-3p,25.01547849333333,29.367298775363633,0.23138952336131258,0.10587749667997215,0.9858348598738231,False
hsa-miR-582-5p,11.218332082400002,12.75050603981818,0.1846963105646684,0.12240798609362402,0.9858348598738231,False
hsa-miR-197-3p,2524.7138883999996,2320.8537053181813,-0.12146431915451927,0.12240798609362402,0.9858348598738231,False
hsa-miR-4705,18.164625086733334,22.78098343840909,0.326698439281099,0.12240798609362402,0.9858348598738231,False
hsa-miR-618,71.53831253599999,81.68824320354545,0.19141236860115285,0.12240798609362402,0.9858348598738231,False
hsa-miR-195-3p,68.269152552,61.0273322859091,-0.16177831669025178,0.1329824318057904,0.9858348598738231,False
hsa-miR-542-3p,337.629652204,195.1493688581818,-0.7908628168915923,0.1329824318057904,0.9858348598738231,False
hsa-miR-365a-3p,108.71137661399999,107.82503348454547,-0.011810761788331625,0.14227940263418726,0.9858348598738231,False
hsa-miR-421,91.36881557133334,101.2826721431818,0.14861361442927024,0.14227940263418726,0.9858348598738231,False
hsa-miR-365b-3p,108.71137661399999,107.82503348454547,-0.011810761788331625,0.14227940263418726,0.9858348598738231,False
