miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
hsa-miR-320e,528.0989010833333,850.6829943687501,0.6878134747819615,0.0007505394502298479,0.3805235012665329,False
hsa-miR-320d,23.418478468333333,39.254201994374995,0.7451997516553899,0.002600083095439132,0.6591210646938199,False
hsa-miR-125a-5p,15278.187226666667,19632.1625425,0.36174572259924,0.007559004463029262,0.9997855601570772,False
hsa-miR-320b,406.58165076666666,534.77883403125,0.3953972591466872,0.012383900928792602,0.9997855601570772,False
hsa-miR-146b-5p,484.7184054,414.96549489375,-0.2241554857539647,0.018575851393188958,0.9997855601570772,False
hsa-miR-1296-5p,161.98783738333333,119.717555315,-0.4362507707737837,0.018575851393188958,0.9997855601570772,False
hsa-miR-320a,1463.7305746666668,1887.7048935,0.36698321990805916,0.018575851393188958,0.9997855601570772,False
hsa-miR-320c,347.30994235000003,456.7400508875,0.3951495921848416,0.02122954444935843,0.9997855601570772,False
hsa-miR-1291,17.242849503333336,23.380553051562497,0.439310846542738,0.03125460710600014,0.9997855601570772,False
hsa-miR-30c-5p,18130.499885,21908.995766250002,0.2731046547257918,0.04205701419323704,0.9997855601570772,False
hsa-miR-214-3p,25.137438428333336,21.839934465625,-0.2028691155797162,0.04205701419323704,0.9997855601570772,False
hsa-miR-769-5p,7873.763211333334,6516.9221680625005,-0.27286256192483194,0.04205701419323704,0.9997855601570772,False
hsa-miR-340-5p,2360.2160018333334,3018.802576375,0.35505751263823093,0.05117070751745667,0.9997855601570772,False
hsa-miR-138-2-3p,51.251290376666674,66.40989710875,0.37380993489083814,0.05117070751745667,0.9997855601570772,False
hsa-miR-651-5p,174.28068611666666,140.796325133125,-0.30780301877104677,0.05117070751745667,0.9997855601570772,False
hsa-miR-324-5p,143.88812741166666,98.7141029675,-0.5436194386862869,0.05117070751745667,0.9997855601570772,False
hsa-miR-148a-3p,2262.027245083333,1790.4671743125,-0.3372802369097361,0.05117070751745667,0.9997855601570772,False
hsa-miR-1227-3p,8.982263776333333,10.5080993798125,0.2263507553184878,0.06859394475493552,0.9997855601570772,False
hsa-miR-484,1257.2456825000002,1460.1194988124998,0.2158198476259905,0.06859394475493552,0.9997855601570772,False
hsa-miR-98-5p,8105.080353333334,6962.8042699375,-0.2191580199667289,0.06859394475493552,0.9997855601570772,False
hsa-miR-582-3p,150.03798447333335,111.451847988125,-0.4289072496934141,0.06859394475493552,0.9997855601570772,False
hsa-miR-550a-3-5p,8.242384566666667,12.539778107812499,0.6053781373567118,0.08604398697277926,0.9997855601570772,False
hsa-miR-1273h-3p,14.271252343999999,19.534160354999997,0.45288730382410725,0.08604398697277926,0.9997855601570772,False
hsa-miR-770-5p,12.718675027000002,12.5487329123125,-0.019406687355003616,0.08604398697277926,0.9997855601570772,False
hsa-miR-185-5p,3638.6933850000005,4609.1054658124995,0.3410662924772705,0.08604398697277926,0.9997855601570772,False
hsa-miR-28-5p,828.2281000333332,741.3911731999999,-0.15979321221156795,0.08604398697277926,0.9997855601570772,False
hsa-miR-660-5p,28.835519073333334,24.2687641169375,-0.24874635150244373,0.08604398697277926,0.9997855601570772,False
hsa-miR-3173-5p,13.698123001833332,18.804940853749997,0.45713354866201117,0.08604398697277926,0.9997855601570772,False
