miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
hsa-miR-664a-3p,390.95430762222225,241.55163246666666,-0.6946684010050843,0.0003996003996004083,0.2021978021978066,False
hsa-let-7f-2-3p,10.628574393,16.69467931166667,0.6514402792579657,0.002797202797202858,0.707692307692323,False
hsa-miR-17-3p,20.73992547688889,32.955671349999996,0.6681160501209273,0.005994005994005902,0.7582417582417467,False
hsa-miR-33a-5p,15.264308497555557,30.098821411666666,0.9795447618869622,0.005994005994005902,0.7582417582417467,False
hsa-miR-877-3p,29.949614482222216,36.383917605,0.28076345976248707,0.013986013986013734,0.7863247863247878,False
hsa-miR-374a-5p,2171.4502451999997,3029.6841126666664,0.4805084837580065,0.013986013986013734,0.7863247863247878,False
hsa-miR-4705,18.463440885777782,26.78522121833333,0.5367657695516712,0.013986013986013734,0.7863247863247878,False
hsa-miR-129-1-3p,862.0174665,664.8191338,-0.37475519787141565,0.027972027972028024,0.7863247863247878,False
hsa-miR-223-5p,80.92512018444444,50.98909394333333,-0.6663989009718501,0.027972027972028024,0.7863247863247878,False
hsa-miR-508-3p,86.32279749611111,14.57548304566667,-2.5661979230236565,0.027972027972028024,0.7863247863247878,False
hsa-miR-126-3p,13090.46099688889,17857.084431666666,0.44798064298069384,0.027972027972028024,0.7863247863247878,False
hsa-miR-125b-5p,89528.93272333333,111625.82778666668,0.3182449809304515,0.027972027972028024,0.7863247863247878,False
hsa-miR-30e-5p,1921.6724874777776,2669.0109646666665,0.4739427551483786,0.027972027972028024,0.7863247863247878,False
hsa-miR-3173-5p,16.354510191111114,23.265841051666666,0.5085247888193427,0.027972027972028024,0.7863247863247878,False
hsa-miR-32-5p,796.738226788889,1271.9388391666666,0.6748515997791031,0.027972027972028024,0.7863247863247878,False
hsa-miR-891a-5p,28.03403321777778,7.295717595666667,-1.9420575263315403,0.027972027972028024,0.7863247863247878,False
hsa-let-7a-3p,286.37294519,402.31640833333336,0.4904353771673158,0.027972027972028024,0.7863247863247878,False
hsa-miR-380-5p,53.15963769444444,40.546876766666664,-0.39074048084937996,0.027972027972028024,0.7863247863247878,False
hsa-miR-340-3p,1915.4448322444446,2388.5437521666668,0.31845182910228687,0.06113886113886102,0.8262220538082592,False
hsa-miR-182-5p,435.98113594333336,98.83896594166667,-2.141113891432523,0.06113886113886102,0.8262220538082592,False
hsa-miR-219a-5p,494.5455324711111,814.7338603833335,0.7202255128690105,0.06113886113886102,0.8262220538082592,False
hsa-miR-22-3p,398.3374275888889,547.9335628833334,0.4600099355752132,0.06113886113886102,0.8262220538082592,False
hsa-miR-654-5p,50.76560838666667,28.642457811666663,-0.8256961656176172,0.06113886113886102,0.8262220538082592,False
hsa-miR-379-3p,645.7044651222222,437.9590417833333,-0.5600780491762851,0.06113886113886102,0.8262220538082592,False
hsa-miR-138-1-3p,26.028350352444445,40.85618245,0.6504705285180057,0.06113886113886102,0.8262220538082592,False
hsa-miR-142-5p,217.8417322777778,152.24834018333334,-0.5168538599469183,0.06113886113886102,0.8262220538082592,False
hsa-miR-425-5p,452.5742049777778,596.7480584666666,0.39896760869997294,0.06113886113886102,0.8262220538082592,False
hsa-miR-4662a-5p,23.239568130333335,11.7150565065,-0.9882193459200717,0.06113886113886102,0.8262220538082592,False
hsa-miR-30a-3p,5034.417064222222,3855.8179803333333,-0.38478778947085424,0.06113886113886102,0.8262220538082592,False
hsa-miR-197-3p,2591.301724777778,2234.3186278333337,-0.21384207130571475,0.06113886113886102,0.8262220538082592,False
hsa-miR-466,23.239568130333335,11.7150565065,-0.9882193459200717,0.06113886113886102,0.8262220538082592,False
hsa-miR-338-3p,610.5625393377778,966.0975206666667,0.6620297495483918,0.06113886113886102,0.8262220538082592,False
hsa-miR-152-3p,1710.0647183333335,1266.1928113166666,-0.43355381578611585,0.06113886113886102,0.8262220538082592,False
hsa-miR-486-5p,3381.5489727777776,1889.5400375000002,-0.8396491593129465,0.06113886113886102,0.8262220538082592,False
hsa-miR-486-3p,28.281587121111112,17.672881431666667,-0.6783258045984297,0.06113886113886102,0.8262220538082592,False
hsa-miR-885-5p,41.31419525888888,49.594226864999996,0.2635346235950964,0.09470529470529454,0.8262220538082592,False
hsa-miR-1306-3p,26.18818226333333,34.11879538666667,0.3816507862458458,0.09470529470529454,0.8262220538082592,False
hsa-miR-551b-3p,33.88710650155556,50.36198004333334,0.5715985499787504,0.09470529470529454,0.8262220538082592,False
