miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
hsa-miR-548av-5p,34.23271147142857,29.57666820922034,-0.2109160254510316,0.00012390806247908337,0.06319311186433252,True
hsa-miR-548k,39.55844082214286,34.190837758135594,-0.21037579133356754,0.0009492828356308936,0.24206712308587786,False
hsa-miR-509-3-5p,14.656532379964286,30.560746256627123,1.060135959111336,0.0024985297919575267,0.42475006463277953,False
hsa-miR-744-5p,7153.333607821428,8730.612261779661,0.28746710533228814,0.0038753550208406873,0.49410776515718763,False
hsa-miR-21-5p,35343.76464428572,31639.103028474576,-0.15974701701548888,0.009293233686046287,0.6484979463242931,False
hsa-miR-26b-5p,30173.025965714285,27378.07854016949,-0.1402381891448652,0.013492843652061715,0.6484979463242931,False
hsa-miR-369-5p,85.57793958821428,101.94477530983055,0.25247698930173357,0.014298315719597054,0.6484979463242931,False
hsa-miR-1-3p,6879.874194392857,6309.82684164407,-0.12478176962020804,0.014298315719597054,0.6484979463242931,False
hsa-let-7b-3p,150.60868834535717,115.25285319084747,-0.38600253255713923,0.01595917716004225,0.6484979463242931,False
hsa-miR-331-5p,55.103248404999995,64.52110446915253,0.2276337647193465,0.02104634399499139,0.6484979463242931,False
hsa-miR-1343-3p,10.697203369464287,13.668283319203391,0.3535983837164962,0.021508420279010898,0.6484979463242931,False
hsa-miR-149-5p,2587.4645031428568,3173.6041508135595,0.294583118792314,0.02527356796902458,0.6484979463242931,False
hsa-miR-143-3p,26335.515965,19586.004415932202,-0.42718661007826597,0.02527356796902458,0.6484979463242931,False
hsa-miR-5010-3p,190.2991565892857,213.8819108220339,0.16854530338637552,0.026510702311933865,0.6484979463242931,False
hsa-miR-548b-5p,78.32370921500001,69.65015087016948,-0.16932261111686575,0.026510702311933865,0.6484979463242931,False
hsa-miR-450a-5p,81.30092806214284,108.95089940898303,0.4223343801215771,0.03000388930373654,0.6484979463242931,False
hsa-miR-9-5p,502680.99075357144,469560.1117966101,-0.09833327394409608,0.03000388930373654,0.6484979463242931,False
hsa-miR-182-5p,123.34495474178571,168.43958522423725,0.44953252268558686,0.03132476889735536,0.6484979463242931,False
hsa-miR-195-3p,68.16349244821428,58.5921235601695,-0.2182925172448238,0.03132476889735536,0.6484979463242931,False
hsa-miR-654-3p,328.1958785821428,364.14314278983045,0.14994855600105517,0.03178032193388103,0.6484979463242931,False
hsa-miR-582-5p,12.009666798214285,13.601756665254237,0.1795968626052442,0.032801005766695646,0.6484979463242931,False
hsa-miR-146a-5p,456.89448823214286,402.344490759322,-0.18342976040358216,0.032801005766695646,0.6484979463242931,False
hsa-miR-27b-3p,16648.122951250003,15607.51732713559,-0.09311845750462844,0.033467791884884024,0.6484979463242931,False
hsa-miR-758-3p,426.9847293285714,513.324382281356,0.2656863141706136,0.033467791884884024,0.6484979463242931,False
hsa-miR-383-5p,714.1746279392856,838.0344371118645,0.23073264834288487,0.03527526541832271,0.6484979463242931,False
hsa-miR-491-5p,168.05578454464285,205.21325374932206,0.2881837091561801,0.037148441344844185,0.6484979463242931,False
hsa-miR-23b-3p,3350.4538065357146,3065.9613174406777,-0.12801702154954242,0.037148441344844185,0.6484979463242931,False
hsa-miR-1291,18.582930047214287,24.801580758101696,0.41645408008587115,0.03783410451738678,0.6484979463242931,False
hsa-miR-20a-5p,3239.7004375357137,2911.5690452033896,-0.15406358751828364,0.04086469816043137,0.6484979463242931,False
hsa-miR-548ay-5p,119.54875793571429,103.81226488864408,-0.2036222402842398,0.04086469816043137,0.6484979463242931,False
hsa-miR-3180,11.118410543999998,13.683564669847458,0.29949355265175104,0.04593372360475012,0.6484979463242931,False
hsa-miR-320d,31.28423254535714,37.84873946372881,0.2748095399178361,0.04593372360475012,0.6484979463242931,False
hsa-miR-223-5p,70.75822461428572,57.93781316508474,-0.28839261819772943,0.04593372360475012,0.6484979463242931,False
hsa-miR-194-5p,432.39400742500004,421.97589672033894,-0.03518593432332118,0.04780684743211572,0.6484979463242931,False
hsa-miR-145-3p,211.11835050714285,154.23214234711864,-0.4529485261909274,0.04780684743211572,0.6484979463242931,False
hsa-miR-598-5p,12.822880359535715,15.279026103474576,0.2528322218589216,0.04780684743211572,0.6484979463242931,False
hsa-miR-423-3p,6855.075766464285,7229.738112355932,0.07677077677934818,0.04846941064021271,0.6484979463242931,False
hsa-miR-331-3p,399.5066749607143,454.9735383491526,0.18756303145665498,0.049919809772831725,0.6484979463242931,False
hsa-let-7d-3p,256.5930802535714,236.23471611355933,-0.1192612716303385,0.050862584025434754,0.6484979463242931,False
hsa-miR-23a-3p,2366.444818642857,2140.1271328474577,-0.14502477981773154,0.050862584025434754,0.6484979463242931,False
hsa-let-7g-5p,209125.63332857142,190179.64494491523,-0.1370070675716839,0.05223310558843142,0.6488228292127318,False
hsa-let-7i-5p,88703.94169785714,78367.71715728812,-0.17873874226595987,0.053432468288107327,0.6488228292127318,False
hsa-miR-548d-5p,112.43007923500001,97.44767277881357,-0.20632842495168902,0.056105142004593156,0.6503096005077843,False
hsa-miR-105-5p,535.2707446964286,684.0434434576271,0.3538191491927343,0.056105142004593156,0.6503096005077843,False
hsa-miR-3182,36.677833074214284,33.154157411118646,-0.14571861664276042,0.061445980150546364,0.6812489103647532,False
hsa-miR-495-3p,128.83591354821428,155.4453161925424,0.2708723399302091,0.061445980150546364,0.6812489103647532,False
hsa-miR-532-3p,37.312836686785715,43.11582203779662,0.2085453420287342,0.06396761609715718,0.6941166853095778,False
hsa-miR-223-3p,246.43157155357144,218.55629669491523,-0.17318215524202163,0.06870506419759692,0.715093525321927,False
hsa-miR-148a-3p,2277.4051183392858,2089.319733576271,-0.12435766110068336,0.06870506419759692,0.715093525321927,False
hsa-miR-218-5p,19736.588484285716,23146.070820949153,0.22989467034914846,0.07225024893803467,0.7225024893803467,False
hsa-miR-590-3p,184.14824903964282,182.58904368881352,-0.012267480977083522,0.07225024893803467,0.7225024893803467,False
hsa-let-7b-5p,40905.41782035714,37609.67098338983,-0.1211882517140701,0.07553521079823056,0.7230305554189562,False
hsa-miR-142-5p,182.34679386571432,158.5288157283051,-0.201939731156755,0.07553521079823056,0.7230305554189562,False
hsa-miR-320e,725.9967908035713,845.5658821491525,0.21995399545429883,0.07744297200411288,0.7230305554189562,False
hsa-miR-377-3p,45.24906261214286,58.332265895779656,0.36640621083635594,0.07906591209863978,0.7230305554189562,False
hsa-miR-4662a-5p,18.407202682285714,14.321163072016947,-0.362121735231677,0.08436878288540484,0.7230305554189562,False
hsa-miR-143-5p,392.7054748892857,303.41600817457623,-0.3721505074991729,0.08436878288540484,0.7230305554189562,False
hsa-miR-466,18.407202682285714,14.380979560152541,-0.3561084506599421,0.08436878288540484,0.7230305554189562,False
hsa-miR-548o-3p,19.380413414892853,18.023598187508476,-0.10471228999989712,0.0864801252559928,0.7230305554189562,False
hsa-miR-423-5p,151.5669074839286,162.5828441755932,0.10122023593895335,0.0864801252559928,0.7230305554189562,False
hsa-miR-100-5p,42953.85317321429,37942.79928576272,-0.17896143443192436,0.0864801252559928,0.7230305554189562,False
hsa-miR-34a-5p,603.8144653928572,628.0943404118646,0.056875950206032755,0.09016487108156857,0.7389496697964892,False
hsa-miR-744-3p,41.452485854642866,49.14033672423729,0.24544912254627516,0.09128201803368396,0.7389496697964892,False
hsa-miR-455-3p,163.2423143392857,179.3756805715254,0.13596923613651146,0.09449283686357235,0.7529897937565921,False
hsa-let-7e-3p,22.800896548571433,20.493164327610167,-0.1539477868208321,0.0970147502916976,0.7572341799288012,False
hsa-miR-548e-3p,32.65020568642857,27.673206063220338,-0.2386022841160944,0.10395578235354241,0.7572341799288012,False
hsa-let-7e-5p,9980.01344082143,10910.937279067795,0.12866137473634787,0.10395578235354241,0.7572341799288012,False
hsa-miR-548ad-5p,102.59824014678574,92.4745357374576,-0.14987792729051108,0.10395578235354241,0.7572341799288012,False
hsa-miR-329-3p,684.0185293714285,772.7682243711865,0.17600036610169667,0.10527863708065444,0.7572341799288012,False
hsa-miR-342-5p,151.70519216999998,175.08122451271188,0.20675391605334958,0.10527863708065444,0.7572341799288012,False
hsa-miR-148b-3p,4201.433606714285,4071.9068155593222,-0.04517713995860895,0.10964626034385028,0.7572341799288012,False
hsa-miR-152-3p,1591.1907396285715,1396.0619760084746,-0.18874379596842772,0.11433545496448905,0.7572341799288012,False
hsa-miR-576-5p,49.04479987357143,53.17124223644068,0.11654599405497912,0.11433545496448905,0.7572341799288012,False
hsa-miR-543,169.96979826571425,195.40311294220336,0.2011750325367201,0.11433545496448905,0.7572341799288012,False
hsa-miR-140-3p,8692.966716071429,8160.711655677967,-0.091153652735251,0.11433545496448905,0.7572341799288012,False
hsa-miR-132-5p,727.9795103678571,949.7985987372882,0.3837237826944424,0.11922964072961262,0.7572341799288012,False
hsa-miR-873-5p,28.680220634500007,34.69028024891525,0.2744753730153944,0.11922964072961262,0.7572341799288012,False
hsa-miR-181a-2-3p,486.24229267142863,486.6503496983051,0.0012102093447072804,0.11922964072961262,0.7572341799288012,False
hsa-let-7f-5p,204459.6634964286,184982.6478084746,-0.14442630550861324,0.1215111095224225,0.7572341799288012,False
hsa-miR-153-3p,156.03820836607142,176.62592805338986,0.1787978024792194,0.1242121649712482,0.7572341799288012,False
hsa-miR-885-3p,15.491200078214286,17.36308552305085,0.1645744343031943,0.1262699842575402,0.7572341799288012,False
hsa-miR-433-3p,984.812683492857,1079.821304,0.132871337729215,0.12916561223813805,0.7572341799288012,False
hsa-miR-539-5p,380.826779632143,442.8465902779661,0.21767207867564053,0.12916561223813805,0.7572341799288012,False
hsa-miR-15b-5p,265.60434705,248.82546336779666,-0.09414462880266772,0.12916561223813805,0.7572341799288012,False
hsa-miR-136-5p,425.4142393357143,445.8814841932203,0.0677919675581542,0.12916561223813805,0.7572341799288012,False
hsa-miR-425-5p,494.8554942857142,538.9157748203389,0.12305252037290337,0.13092461295727387,0.7572341799288012,False
hsa-miR-17-3p,22.62079156464286,24.458656467949154,0.11269574360065615,0.13397066825672566,0.7572341799288012,False
hsa-miR-548ae-5p,102.28870010214287,91.66077813745763,-0.1582703400723373,0.1385085752297558,0.7572341799288012,False
hsa-miR-4473,14.247191908535713,17.144968805254237,0.2671076841887241,0.1399493808202561,0.7572341799288012,False
hsa-miR-130a-3p,79.62826196714286,83.12307066932203,0.061968381672284245,0.1399493808202561,0.7572341799288012,False
hsa-miR-1307-3p,1212.2596798142856,1333.0470920830508,0.1370289732986656,0.14809484464121225,0.7572341799288012,False
hsa-miR-101-3p,53283.03882035713,48414.12224745762,-0.13824842555102812,0.14809484464121225,0.7572341799288012,False
hsa-miR-299-5p,127.73661986,157.01760514508473,0.2977541463654658,0.14990642925231423,0.7572341799288012,False
hsa-miR-374a-3p,1032.7530864857142,1016.1569372271186,-0.023372139930739166,0.14990642925231423,0.7572341799288012,False
