miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
hsa-miR-877-3p,32.31889447133333,40.513864884444445,0.32603787094050496,0.0028140641054686943,0.4734775711316256,False
hsa-miR-744-5p,6828.152376266666,9025.360196055555,0.40248925639534505,0.003631906457637224,0.4734775711316256,False
hsa-let-7e-3p,25.15969663333333,18.728390972777774,-0.4258875693258499,0.0047009814277919615,0.4734775711316256,False
hsa-miR-26b-5p,32298.644677333337,26539.47561166666,-0.28333376245089603,0.007468103808876636,0.4734775711316256,False
hsa-miR-1301-3p,57.37525685799999,71.56198393166669,0.31876467694821375,0.009502128855313319,0.4734775711316256,False
hsa-miR-383-5p,664.9313203133333,907.3274750111111,0.44841801136096393,0.011849926634151298,0.4734775711316256,False
hsa-miR-105-5p,466.02464927999995,745.4758751833333,0.677755400431062,0.011849926634151298,0.4734775711316256,False
hsa-miR-548k,40.39984367466666,32.18256830666667,-0.32807024665237705,0.011849926634151298,0.4734775711316256,False
hsa-miR-3180,10.610771744133332,15.386119930500001,0.5360998685393144,0.011849926634151298,0.4734775711316256,False
hsa-miR-30a-5p,26812.305205999997,21723.076407777775,-0.30366683019794927,0.014420026057352375,0.4734775711316256,False
hsa-miR-598-5p,12.690586797533335,17.53525265811111,0.466499438717046,0.014420026057352375,0.4734775711316256,False
hsa-miR-195-3p,75.49582944666666,57.851594774999995,-0.38404021887784534,0.01740317717356754,0.4734775711316256,False
hsa-miR-548ab,32.23683186,26.061670137333337,-0.3067804264451981,0.01740317717356754,0.4734775711316256,False
hsa-miR-194-5p,429.53905762,399.2739595277778,-0.10541033725493598,0.021636124945707547,0.4734775711316256,False
hsa-miR-124-5p,246.41540235999997,190.74796392444443,-0.3694247778976818,0.021636124945707547,0.4734775711316256,False
hsa-miR-548n,30.758899094000007,23.877040686,-0.36537982761039167,0.021636124945707547,0.4734775711316256,False
hsa-miR-4454,12.809772052066668,12.099094430222223,-0.08234573189692496,0.021636124945707547,0.4734775711316256,False
hsa-miR-223-5p,74.14952462533333,52.688333863333334,-0.4929538847380224,0.021636124945707547,0.4734775711316256,False
hsa-miR-128-1-5p,48.925527016666656,36.26795588888889,-0.43189195602490393,0.021636124945707547,0.4734775711316256,False
hsa-miR-146b-3p,16.545269164733334,10.121277373333333,-0.7090273828049463,0.02711812503225164,0.4734775711316256,False
hsa-miR-221-3p,358.8525300466667,306.5834957833333,-0.2271110573728201,0.02711812503225164,0.4734775711316256,False
hsa-miR-142-5p,204.69549137333337,152.2526493966667,-0.4270119927394527,0.02711812503225164,0.4734775711316256,False
hsa-miR-433-3p,940.1939072333331,1131.0395765555556,0.2666191754644398,0.02711812503225164,0.4734775711316256,False
hsa-miR-143-5p,432.1670095733334,288.36415564999993,-0.5836970997762911,0.02711812503225164,0.4734775711316256,False
hsa-miR-1343-3p,9.716097540933333,14.06632955166667,0.533797044330635,0.02711812503225164,0.4734775711316256,False
hsa-miR-491-5p,168.5521622053333,216.68967236222224,0.36243526035111717,0.02711812503225164,0.4734775711316256,False
hsa-miR-409-3p,743.12917348,1070.078121238889,0.5260312123747148,0.02711812503225164,0.4734775711316256,False
hsa-miR-199b-5p,11.675912038066668,8.729495565777778,-0.4195650520815657,0.02711812503225164,0.4734775711316256,False
hsa-miR-873-3p,89.69814519,120.7537014961111,0.42891735505617046,0.03336772441838931,0.4734775711316256,False
hsa-miR-95-5p,21.50019535066667,31.999721707333336,0.5737095902561027,0.03336772441838931,0.4734775711316256,False
hsa-miR-548av-5p,34.996529844,28.222693202055556,-0.31035620931335917,0.03336772441838931,0.4734775711316256,False
hsa-miR-143-3p,29238.103058,18373.88052222222,-0.6701933609860067,0.03336772441838931,0.4734775711316256,False
hsa-miR-216b-5p,55.17507309133334,91.09251847888888,0.7233159332149581,0.03336772441838931,0.4734775711316256,False
hsa-miR-21-5p,36526.817707333335,27477.587474444445,-0.4107007271292922,0.03336772441838931,0.4734775711316256,False
hsa-miR-34a-5p,620.4077700266666,544.8657971944444,-0.1873158232853651,0.03336772441838931,0.4734775711316256,False
hsa-miR-543,163.41182303333332,203.58157979611113,0.3170946633560341,0.03336772441838931,0.4734775711316256,False
hsa-miR-146b-5p,601.8545625666667,420.81316413888885,-0.516235066955149,0.03976471788800762,0.4734775711316256,False
hsa-miR-454-3p,248.83277582,225.0281830722222,-0.1450708279002253,0.03976471788800762,0.4734775711316256,False
hsa-miR-145-3p,238.37738363933335,151.93005332,-0.6498400868279512,0.03976471788800762,0.4734775711316256,False
hsa-miR-935,55.525066592,71.35414392777778,0.3618579993558786,0.03976471788800762,0.4734775711316256,False
hsa-miR-330-5p,2801.489889333333,3486.8443655,0.3157276853438926,0.03976471788800762,0.4734775711316256,False
hsa-miR-155-5p,103.59741254066667,71.51939061055555,-0.5345816215467085,0.03976471788800762,0.4734775711316256,False
hsa-miR-1-3p,7778.130706666666,4741.223083388889,-0.7141642024182282,0.03976471788800762,0.4734775711316256,False
hsa-miR-152-3p,1728.4976556933334,1299.2695985500004,-0.4118178257301377,0.045955633851541444,0.48018948024467795,False
hsa-miR-873-5p,23.579504888533332,32.895696652999995,0.4803654403258264,0.045955633851541444,0.48018948024467795,False
hsa-miR-1185-1-3p,64.69094339066666,87.7158020261111,0.43927301620999604,0.045955633851541444,0.48018948024467795,False
hsa-miR-487a-3p,534.8312326133333,669.2703064777778,0.32350529050531485,0.045955633851541444,0.48018948024467795,False
hsa-miR-3182,42.167955606999996,26.67238744722222,-0.6608001119599409,0.045955633851541444,0.48018948024467795,False
hsa-miR-140-3p,9276.018371466665,8022.289498444445,-0.20949164800976838,0.045955633851541444,0.48018948024467795,False
hsa-miR-135a-3p,9.1829681426,15.767161209333333,0.7798904884668074,0.05518184436875573,0.4871224882207402,False
hsa-miR-1306-5p,20.310360882,22.981493727222226,0.17825669762243912,0.05518184436875573,0.4871224882207402,False
hsa-miR-9-5p,521316.49959333346,448205.22870000004,-0.2180000425234958,0.05518184436875573,0.4871224882207402,False
