miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
hsa-miR-744-5p,7099.67781276923,9389.0173628,0.4032206201645554,0.0003307623904141,0.0993969040621618,True,False,,False
hsa-miR-548n,31.296535336,24.091643692633337,-0.3774701261031303,0.0004010948516572,0.0993969040621618,True,False,,False
hsa-miR-618,57.21333670192308,92.28664779749998,0.689770445881007,0.0005846876709538,0.0993969040621618,True,False,,False
hsa-miR-197-3p,2694.987353230769,2398.8856687,-0.1679141026793438,0.0011207312577946,0.1428932353688221,False,False,KLF7,False
hsa-miR-491-5p,170.19701241038462,216.94199039666668,0.3501036095478724,0.0016294066916187,0.164682481257507,False,False,RORB,False
hsa-miR-20a-5p,3451.867749307692,2750.560148566666,-0.3276517400748719,0.0022637903587888,0.164682481257507,False,False,"RORA,NTRK2,BMPR2,LHX6,CLOCK,ARNTL2,LHX8,STAT3,RORC,BMP2,IL6ST,NPAS2,BMP2K",True
hsa-miR-93-5p,1782.4961249923076,1523.8580394533333,-0.2261704307867571,0.0026163332561423,0.164682481257507,False,False,"LHX8,LHX6,STAT3,ARNTL2,NTRK2",True
hsa-miR-548d-5p,114.54132943692306,93.862259785,-0.2872511539109341,0.0034319676980639,0.164682481257507,False,False,"RORB,RORA,BMP2K,CLOCK,KLF7,STAT1,NTRK2,STAT3,BMPR2",True
hsa-miR-1264,52.42093038757693,96.36255262333334,0.8783296513440408,0.0039406964004612,0.164682481257507,False,False,,False
hsa-miR-548ab,32.846368611,26.39846944133333,-0.3152795937405761,0.0041987144608418,0.164682481257507,False,False,,False
hsa-miR-146b-3p,13.948250274192306,10.206083126333333,-0.4506548584917844,0.0045361981778879,0.164682481257507,False,False,BMPR2,False
hsa-miR-539-5p,357.035554073077,468.3055154,0.3913822823778581,0.0049073673204044,0.164682481257507,False,False,"KLF7,RORA,LIFR,BMP2",False
hsa-miR-1343-3p,9.61526812473077,15.0166384328,0.6431628995681051,0.0049073673204044,0.164682481257507,False,False,CNTFR,False
hsa-miR-548av-5p,33.603886245,27.49817029513333,-0.2892924622961521,0.0056916411241925,0.164682481257507,False,False,"RORB,RORA,BMP2K,SMAD2,CLOCK,BMPR2,STAT3,NTRK2",True
hsa-miR-27b-5p,56.92319226038462,42.81753460766666,-0.4108148415414678,0.0065232529250892,0.164682481257507,False,False,"LIFR,CNTFR",False
hsa-miR-125a-5p,17367.992638846154,21265.907501,0.2921114022207245,0.006743097121211,0.164682481257507,False,False,"RORA,IL6R,LIFR,STAT3,RORB",True
hsa-miR-133a-3p,32.370977099807696,22.218046465566665,-0.5429689406284872,0.0074205188924612,0.164682481257507,False,False,IL6ST,False
hsa-miR-873-3p,87.85462435884617,123.67567701466668,0.49337166524968,0.0076773259529657,0.164682481257507,False,False,,False
hsa-miR-370-3p,11478.003488,14860.555982199998,0.3726163749132638,0.0084191604814716,0.164682481257507,False,False,BMP1,False
hsa-let-7i-5p,87440.32493269233,74600.337081,-0.2291166128471538,0.0087768050290431,0.164682481257507,False,False,"NGF,IL6R,CLOCK",False
hsa-miR-16-5p,533.5296997384614,400.3419735333333,-0.4143357012281612,0.0095534880393037,0.164682481257507,False,True,"CHAT,BMPR1A,CLOCK,RORB",True
hsa-miR-590-3p,204.73809557884613,160.01586342633334,-0.3555646332702791,0.0095534880393037,0.164682481257507,False,False,"SMAD2,BMPR2,STAT1,RORA,NR1D2,RORB,IL6ST,BMP5,BDNF,BMP3,LIFR,NPAS2,BMPR1B,BMP2K,KLF7,NTRK2",True
hsa-miR-1-3p,7694.654384576923,6439.956220499999,-0.2568056467014976,0.0100734843086173,0.164682481257507,False,False,"BDNF,RORB,CLOCK,BMPR1B,KLF4,BMP3",True
hsa-miR-21-5p,38806.13194807692,27610.435890333338,-0.4910709736145318,0.0108504403487371,0.164682481257507,False,False,"IL6R,BMPR2,STAT3,LIFR,CNTFR",True
hsa-miR-382-5p,697.4837954461539,842.5371989766667,0.2725806849518122,0.0108504403487371,0.164682481257507,False,True,"SLC5A7,IL6ST,RORA",True
hsa-miR-92b-5p,32.67333456307692,34.09434971066666,0.0614189679607148,0.0115795222933417,0.164682481257507,False,False,,False
hsa-miR-181b-3p,74.7397010571923,50.26337310233334,-0.5723673016121129,0.0115795222933417,0.164682481257507,False,False,"SMAD2,ARNTL2,IL6ST",False
hsa-miR-15b-5p,285.6392865769231,230.85109936333336,-0.3072318171920614,0.0123182767903882,0.164682481257507,False,True,"CHAT,BMPR1A,CLOCK,RORB",True
