miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
hsa-miR-197-3p,2769.8311049999998,2281.105745,-0.2800646811815106,0.0006441418143536,0.1723004118089307,False,False,KLF7,False
hsa-miR-618,52.91001001333333,89.531219398,0.75885014486171,0.0010175221169818,0.1723004118089307,False,False,,False
hsa-miR-92b-5p,26.42106122466667,36.91322684149999,0.4824494442517446,0.0010175221169818,0.1723004118089307,False,False,,False
hsa-miR-548n,30.408764562,23.842692521,-0.350940037708253,0.0022675858650186,0.1919889365715788,False,False,,False
hsa-miR-218-5p,16904.192219999997,23794.6875215,0.4932584311760291,0.0022675858650186,0.1919889365715788,False,False,,False
hsa-miR-127-3p,9050.340023533334,10641.761025850004,0.2336930107232238,0.0022675858650186,0.1919889365715788,False,False,,False
hsa-miR-15a-5p,55.01748618533334,38.1149764175,-0.5295322392118331,0.0033556757193989,0.2130854081818352,False,True,"CHAT,BMPR1A,CLOCK,RORB",True
hsa-miR-382-5p,682.6519247466665,866.491619265,0.344035640927899,0.0033556757193989,0.2130854081818352,False,True,"SLC5A7,IL6ST,RORA",True
hsa-miR-671-3p,84.30416586199999,99.7251797035,0.2423538948138199,0.0070022863331142,0.2234365560161008,False,False,,False
hsa-miR-181d-5p,225.3262645133333,297.62141910500003,0.4014628705024083,0.0070022863331142,0.2234365560161008,False,False,NR1D2,False
hsa-miR-96-5p,34.95469260626667,25.61395523985,-0.4485561005597924,0.0070022863331142,0.2234365560161008,False,True,"SLC18A3,PRIMA1,BMP8B,NR1D2,BMP2K,CLOCK",True
hsa-let-7b-3p,158.03724437266666,118.4593786345,-0.4158721722267868,0.0070022863331142,0.2234365560161008,False,False,"BDNF,BMPR1B,BMPR2,BMP3,CLOCK,LIFR,BMPER",True
hsa-miR-15b-5p,301.34114066666666,234.618411725,-0.3610814170623406,0.0099310672665835,0.2234365560161008,False,True,"CHAT,BMPR1A,CLOCK,RORB",True
hsa-miR-33a-3p,21.84132307866667,16.210305708300005,-0.4301489541009005,0.0099310672665835,0.2234365560161008,False,True,"SMAD2,SLC5A7,LIFR,ARNTL2,BMPR1A,BMPR2,LHX8,CLOCK",True
hsa-miR-181b-3p,81.69911589599998,49.911216588,-0.7109563963635228,0.0099310672665835,0.2234365560161008,False,False,"SMAD2,ARNTL2,IL6ST",False
hsa-miR-34a-5p,825.5298843266667,575.8539875250001,-0.5196173909547692,0.0099310672665835,0.2234365560161008,False,False,"BMP3,KLF4,IL6R,CLOCK,RORA",True
hsa-miR-10b-5p,505.8367504533333,473.6786035195,-0.0947633510517675,0.0099310672665835,0.2234365560161008,False,False,"RORA,BDNF,BMP2K,RORB,KLF4,KLF7",True
hsa-miR-1250-5p,65.20853448333334,42.7097668595,-0.6104947737883819,0.0136349079458644,0.2234365560161008,False,False,,False
hsa-miR-329-3p,623.5897481866667,808.28671426,0.3742699240703349,0.0136349079458644,0.2234365560161008,False,False,"SMAD2,STAT5B,BMPR2,RORA,IL6ST,BMP4,STAT5A,BMP5",True
hsa-miR-409-3p,790.6894614799999,1082.424079575,0.4530827376699253,0.0136349079458644,0.2234365560161008,False,False,"SMAD2,RORB,LIFR,BMPR2",False
hsa-miR-130b-3p,21.45020884653333,15.09814939285,-0.5066199676853391,0.0136349079458644,0.2234365560161008,False,False,"RORB,BMPR2,BMP3",False
hsa-miR-411-3p,697.1642186866666,986.8043230249998,0.5012655094925069,0.0136349079458644,0.2234365560161008,False,False,"LHX6,RORA,IL6ST,BMPR2",False
hsa-miR-424-3p,60.026688784,78.06501805050002,0.379072115126279,0.0136349079458644,0.2234365560161008,False,False,,False
hsa-miR-493-5p,9.247897973,14.01299022375,0.5995674578933063,0.0136349079458644,0.2234365560161008,False,True,"NR1D2,BMP5,RORA,PRIMA1,BMPR1A,CLOCK,STAT5B,KLF4",True
hsa-miR-365b-3p,145.96424709533332,101.295866363,-0.5270397320049156,0.0136349079458644,0.2234365560161008,False,False,"NR1D2,BDNF,RORA",False
hsa-miR-370-5p,35.938708946666665,44.0015824195,0.2920168252589299,0.0136349079458644,0.2234365560161008,False,False,,False
hsa-miR-365a-3p,145.96424709533332,101.295866363,-0.5270397320049156,0.0136349079458644,0.2234365560161008,False,False,"NR1D2,BDNF,RORA",False
hsa-miR-299-3p,12.719401799933332,19.68916781835,0.6303713141106266,0.0136349079458644,0.2234365560161008,False,False,"NTRK2,BMPR2",False
hsa-miR-2682-5p,47.11288519073334,64.0531410565,0.4431476343158875,0.0136349079458644,0.2234365560161008,False,False,,False
hsa-miR-758-5p,6.637093478933334,12.05431577985,0.8609262649751983,0.0136349079458644,0.2234365560161008,False,False,,False
hsa-miR-20a-5p,3396.5698522,2850.27052305,-0.2529796703310296,0.0136349079458644,0.2234365560161008,False,False,"RORA,NTRK2,BMPR2,LHX6,CLOCK,ARNTL2,LHX8,STAT3,RORC,BMP2,IL6ST,NPAS2,BMP2K",True
hsa-miR-708-5p,266.50797112666663,332.88262616000003,0.3208348912212813,0.0189922791013374,0.2353189703287668,False,False,"CNTFR,NTRK2",False
hsa-miR-133a-3p,35.2999471074,23.06254447845,-0.6141143282391424,0.0189922791013374,0.2353189703287668,False,False,IL6ST,False
hsa-miR-181a-2-3p,563.1808238133333,433.95605836,-0.3760492460932436,0.0189922791013374,0.2353189703287668,False,False,"BDNF,STAT1",False
hsa-miR-338-3p,749.4276420133335,501.204626385,-0.5803894596883641,0.0189922791013374,0.2353189703287668,False,False,NTRK1,False
hsa-miR-654-3p,277.95040516666666,381.982776155,0.4586801025997058,0.0189922791013374,0.2353189703287668,False,False,,False
hsa-let-7i-3p,67.12085069066667,53.589924779000015,-0.3247992096070202,0.0189922791013374,0.2353189703287668,False,False,,False
hsa-miR-548ab,32.09937489666666,26.232947335999995,-0.2911652955361861,0.0189922791013374,0.2353189703287668,False,False,,False
hsa-miR-1249-3p,540.4627945266667,425.27101358499993,-0.3458127817976351,0.0189922791013374,0.2353189703287668,False,False,,False
hsa-miR-129-5p,3972.728712666666,4551.535628150001,0.1962230948490582,0.0189922791013374,0.2353189703287668,False,True,"BDNF,CLOCK,KLF7,RORB,BMPR2,RORA,SMAD2,STAT5B,IL6ST,SLC5A7,BMP5,BCHE,STAT3",True
hsa-miR-93-5p,1805.1204515333327,1525.2003901449998,-0.2430963028273236,0.0189922791013374,0.2353189703287668,False,False,"LHX8,LHX6,STAT3,ARNTL2,NTRK2",True
hsa-miR-5699-5p,15.4688693382,11.304288162450002,-0.4524976025196032,0.0261145958601073,0.2503059376780101,False,False,STAT5B,False
hsa-miR-1180-3p,2046.9818369733327,2815.0807535,0.4596780068224806,0.0261145958601073,0.2503059376780101,False,False,,False
hsa-miR-379-5p,19367.713929200003,22978.7584165,0.2466471734100626,0.0261145958601073,0.2503059376780101,False,False,,False
hsa-let-7f-1-3p,27.490445143866665,20.37809458775001,-0.4319111065860452,0.0261145958601073,0.2503059376780101,False,False,"BMPR1B,BMPR2,BDNF,CLOCK,ARNTL,LIFR",True
hsa-miR-132-5p,641.1999598333333,981.283527985,0.6138957078694816,0.0261145958601073,0.2503059376780101,False,False,,False
hsa-miR-3065-3p,21.9887015148,33.3990018798,0.6030425766600782,0.0261145958601073,0.2503059376780101,False,False,,False
hsa-miR-379-3p,544.9229311933333,728.600517925,0.4190758176059308,0.0261145958601073,0.2503059376780101,False,False,"LHX6,RORA,IL6ST,BMPR2",False
hsa-miR-4787-3p,18.93225083893333,14.980736502099996,-0.337737388848133,0.0261145958601073,0.2503059376780101,False,False,,False
hsa-miR-370-3p,11693.1615904,14360.23668415,0.296414470048628,0.0261145958601073,0.2503059376780101,False,False,BMP1,False
hsa-miR-873-3p,91.67173120733332,119.094249039,0.3775549244115712,0.0261145958601073,0.2503059376780101,False,False,,False
hsa-miR-186-5p,4435.392154666667,3704.80445035,-0.2596642707003518,0.0261145958601073,0.2503059376780101,False,False,"BMP2K,KLF7,BMP3,BMPR1A,NTRK2,BMP5,RORA,NR1D2,RORB,CLOCK,BMPR2,SMAD2,RORC,IL6ST,BMPR1B",True
hsa-miR-487a-5p,27.29328162893333,39.2554037905,0.5243453964898075,0.0261145958601073,0.2503059376780101,False,False,"BMP2,NR1D2",False
hsa-miR-539-5p,379.3249991200001,453.5506893549999,0.2578293425844062,0.0346876950888512,0.2710976785405605,False,False,"KLF7,RORA,LIFR,BMP2",False
hsa-miR-193b-3p,177.70871332533335,109.52838055100004,-0.6982096770361066,0.0346876950888512,0.2710976785405605,False,False,,False
hsa-miR-15b-3p,15.967698281333332,10.8733794832,-0.5543559609388873,0.0346876950888512,0.2710976785405605,False,False,,False
hsa-let-7d-3p,254.01024440000003,221.214471645,-0.1994409145816984,0.0346876950888512,0.2710976785405605,False,False,,False
hsa-miR-942-5p,13.020717026733337,7.8409905264500015,-0.7317010753629996,0.0346876950888512,0.2710976785405605,False,False,"SMAD2,NTRK2,KLF7,BMPR1A,RORB,LHX6,BMPR2",True
hsa-miR-29c-3p,959.4595907666668,880.588471165,-0.1237540898484343,0.0346876950888512,0.2710976785405605,False,False,"RORA,CLOCK,KLF4",False
hsa-miR-335-3p,345.40570802,540.2912973350001,0.6454455197521227,0.0346876950888512,0.2710976785405605,False,True,"RORA,LIFR,BMP3,BDNF,SLC5A7,RORB,BMP2,BMPR2,BMP5,BMP7,KLF7,IL6ST,NR1D2",True
hsa-miR-125a-5p,16684.17665133333,20310.090047,0.2837161433814099,0.0346876950888512,0.2710976785405605,False,False,"RORA,IL6R,LIFR,STAT3,RORB",True
hsa-miR-3613-5p,61.63156540600001,44.598729501,-0.4666668229964745,0.0346876950888512,0.2710976785405605,False,False,"BMP1,CLOCK",False
hsa-miR-219a-2-3p,4022.589890066667,2739.019367035,-0.5544651931536126,0.0346876950888512,0.2710976785405605,False,False,RORA,False
hsa-miR-574-3p,977.4947752666666,690.7942937800001,-0.5008328254867056,0.0346876950888512,0.2710976785405605,False,False,,False
hsa-miR-7706,22.1543051684,15.830578675000002,-0.4848730868093192,0.0346876950888512,0.2710976785405605,False,False,,False
hsa-miR-1343-3p,10.14531976,15.49310796805,0.6108122458491128,0.046067145768647,0.2785965482199128,False,False,CNTFR,False
