miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
hsa-miR-129-1-3p,1014.9109639346153,847.0958089692306,-0.26075611142161215,0.001790788957505951,0.4526992408335673,False
hsa-miR-26a-5p,39715.221305769235,42363.475620512814,0.09312891453381944,0.0026525346142591832,0.4526992408335673,False
hsa-miR-506-3p,16.0126080575,30.14462194869231,0.9126923299825016,0.0026525346142591832,0.4526992408335673,False
hsa-miR-4646-3p,14.95928170326923,18.52477552769231,0.3084151576094114,0.0038818746792311787,0.49687995894159087,False
hsa-miR-199a-5p,17.112968737192308,20.22965695530769,0.24138179704648,0.008003510918941803,0.7911889880249012,False
hsa-miR-216b-5p,33.90432311423077,44.70598975933334,0.3989988962517428,0.011282512488211549,0.7911889880249012,False
hsa-miR-129-2-3p,1217.6518204807692,1023.6104456897435,-0.2504348881581038,0.011282512488211549,0.7911889880249012,False
hsa-miR-493-5p,12.825500083423076,11.154230609692307,-0.20142407594179002,0.015720802711091664,0.7911889880249012,False
hsa-miR-29a-5p,24.20596921307692,19.807061377820506,-0.2893480067498837,0.015720802711091664,0.7911889880249012,False
hsa-miR-1278,13.826418885192309,11.371731421897437,-0.2819756084201752,0.015720802711091664,0.7911889880249012,False
hsa-miR-455-3p,75.95873418269231,97.82891851,0.3650451291906398,0.021634073891305894,0.7911889880249012,False
hsa-miR-486-3p,14.970502269615386,12.36253570774359,-0.27614793747284816,0.021634073891305894,0.7911889880249012,False
hsa-miR-22-5p,132.62623986653847,144.2996917158974,0.12170197928838977,0.021634073891305894,0.7911889880249012,False
hsa-miR-670-3p,13.802643715807694,9.601337713282051,-0.5236372933546627,0.021634073891305894,0.7911889880249012,False
hsa-miR-423-3p,7151.370924769231,7716.643922589743,0.10975370100359783,0.029450097846078105,0.9178599069123176,False
hsa-miR-577,363.88296721115387,201.51693440051278,-0.8525734422884685,0.0395903167936984,0.9178599069123176,False
hsa-miR-2277-5p,28.961075656153845,27.099966326153844,-0.09582412827466147,0.0395903167936984,0.9178599069123176,False
hsa-miR-144-5p,284.0670765269231,222.1616861076923,-0.35462160063879544,0.0395903167936984,0.9178599069123176,False
hsa-miR-3909,15.703786836615384,19.77508342189744,0.3325712858811709,0.052650463819510995,0.9178599069123176,False
hsa-miR-106a-5p,156.72350837076925,141.25315855564105,-0.14993847093843105,0.052650463819510995,0.9178599069123176,False
hsa-miR-376c-3p,131.9743188776923,117.20043167256411,-0.17127933674400442,0.052650463819510995,0.9178599069123176,False
hsa-miR-135b-5p,486.85112046538455,433.9645630461539,-0.16590342326582075,0.052650463819510995,0.9178599069123176,False
hsa-miR-125a-5p,17272.03954034615,19811.28399615385,0.1978839350835635,0.052650463819510995,0.9178599069123176,False
hsa-miR-15b-5p,252.00148121153845,233.2283851,-0.11168883093957938,0.06919640563368801,0.9178599069123176,False
hsa-miR-214-3p,22.385236611615387,19.566012135051285,-0.19419782589156398,0.06919640563368801,0.9178599069123176,False
hsa-miR-6514-3p,8.69127066576923,10.544118427846154,0.2787994594762604,0.06919640563368801,0.9178599069123176,False
hsa-miR-22-3p,448.3723700307692,493.24637910512826,0.1376110822941623,0.06919640563368801,0.9178599069123176,False
hsa-miR-509-3p,22.393922617576926,32.89841741223077,0.5549109252639761,0.06919640563368801,0.9178599069123176,False
hsa-miR-508-3p,73.55647896115384,114.84095704620512,0.6427129317894584,0.06919640563368801,0.9178599069123176,False
hsa-miR-132-3p,882.0709288307692,756.3703576333332,-0.22180184524913038,0.06919640563368801,0.9178599069123176,False
hsa-miR-676-3p,18.18586202873077,16.75746970761539,-0.11801298676106153,0.06919640563368801,0.9178599069123176,False
hsa-miR-374a-3p,838.1135788653846,789.1430347769231,-0.08685895009611677,0.06919640563368801,0.9178599069123176,False
hsa-miR-138-5p,226.97173374615383,253.31927205974358,0.15844419820013567,0.06919640563368801,0.9178599069123176,False
hsa-let-7f-1-3p,25.325504962307697,23.093118787179485,-0.1331280089657847,0.06919640563368801,0.9178599069123176,False
hsa-miR-3182,25.9914193655,22.712350453410256,-0.1945584048510529,0.06919640563368801,0.9178599069123176,False
hsa-miR-127-5p,928.19801605,850.1755134307692,-0.12667190647624693,0.08997226189066287,0.9178599069123176,False
hsa-miR-132-5p,1901.3405271038462,1660.6400251923076,-0.19527756350706227,0.08997226189066287,0.9178599069123176,False
hsa-miR-148b-5p,217.37767161538466,234.2593959076923,0.10790315543187923,0.08997226189066287,0.9178599069123176,False
hsa-miR-18a-3p,10.53685973496154,11.893347110923076,0.1747098163385048,0.08997226189066287,0.9178599069123176,False
hsa-miR-574-5p,21.859725852076924,17.557526994692306,-0.31618565463213333,0.08997226189066287,0.9178599069123176,False
hsa-miR-21-5p,29673.751398846154,26261.625047179485,-0.17623113421139713,0.08997226189066287,0.9178599069123176,False
hsa-miR-1180-3p,5250.934556269231,5736.90718574359,0.1276989625079743,0.08997226189066287,0.9178599069123176,False
hsa-miR-30c-2-3p,39.30506644846154,49.044971992307694,0.31938995257314584,0.08997226189066287,0.9178599069123176,False
hsa-miR-98-3p,62.97307270230769,55.27408753769232,-0.18813175950846617,0.08997226189066287,0.9178599069123176,False
hsa-miR-98-5p,8788.33161346154,7661.039314307692,-0.19804918377689518,0.11555451096735947,0.9178599069123176,False
hsa-miR-500a-3p,219.4789325538462,241.39110841794877,0.1372900714329548,0.11555451096735947,0.9178599069123176,False
hsa-miR-548d-5p,101.20023933961541,89.23782640615384,-0.18148542307987903,0.11555451096735947,0.9178599069123176,False
hsa-miR-6842-3p,379.1514669923077,360.70440814974364,-0.07195725059138347,0.11555451096735947,0.9178599069123176,False
hsa-miR-212-3p,224.6314085038462,206.73991015897437,-0.11974274185010536,0.11555451096735947,0.9178599069123176,False
hsa-miR-345-5p,55.61434298115384,65.82039494230769,0.24307768001647823,0.11555451096735947,0.9178599069123176,False
hsa-miR-532-3p,30.61737337192308,35.21897353358974,0.20200234099553516,0.11555451096735947,0.9178599069123176,False
hsa-miR-504-5p,371.7721259884615,393.3499513410257,0.08139479842357389,0.11555451096735947,0.9178599069123176,False
hsa-miR-628-3p,130.92079521153846,142.04836177717948,0.11768792279763218,0.11555451096735947,0.9178599069123176,False
hsa-let-7f-5p,233591.11557307694,217922.45734358975,-0.10017052694528417,0.11555451096735947,0.9178599069123176,False
hsa-miR-223-5p,57.29477238461538,48.25864675205128,-0.24761605178029544,0.11555451096735947,0.9178599069123176,False
hsa-miR-668-3p,21.60176431426923,25.63906856923077,0.2471947031950048,0.11555451096735947,0.9178599069123176,False
hsa-miR-130a-3p,88.67079430230768,83.8958159751282,-0.07986013623448063,0.11555451096735947,0.9178599069123176,False
hsa-miR-130b-3p,17.793269321615387,15.273531381897433,-0.22029794948169013,0.14700100071642586,0.9178599069123176,False
hsa-miR-885-5p,73.24954061961539,82.84942539435897,0.17767197982762717,0.14700100071642586,0.9178599069123176,False
hsa-miR-509-5p,18.027717898115387,32.46410251179487,0.8486285460899792,0.14700100071642586,0.9178599069123176,False
hsa-miR-548a-3p,25.826778412076926,32.6487264208718,0.33815902006251797,0.14700100071642586,0.9178599069123176,False
hsa-miR-27a-3p,2170.2593070769235,2252.143665307692,0.053431431391357975,0.14700100071642586,0.9178599069123176,False
hsa-miR-877-3p,40.02738374192308,47.76014919538461,0.2548200215695875,0.14700100071642586,0.9178599069123176,False
hsa-miR-452-5p,44.428672962307694,39.10623444769231,-0.1840924250354501,0.14700100071642586,0.9178599069123176,False
hsa-miR-451a,17087.739200384614,13579.713878153847,-0.3315084507343897,0.14700100071642586,0.9178599069123176,False
hsa-miR-548ay-5p,107.59310200730769,96.09898233461537,-0.16299252861806401,0.14700100071642586,0.9178599069123176,False
hsa-miR-101-3p,69299.89680115384,65042.48429794872,-0.09147084174774278,0.14700100071642586,0.9178599069123176,False
hsa-miR-129-5p,5471.915923884615,5051.0194900512815,-0.11547145473477372,0.14700100071642586,0.9178599069123176,False
hsa-miR-744-5p,5362.620587346154,6101.172892974359,0.18614842951067878,0.14700100071642586,0.9178599069123176,False
hsa-miR-301b-3p,13.291775558384616,11.010751723256416,-0.27162086978315436,0.14700100071642586,0.9178599069123176,False
hsa-miR-6726-3p,18.355908613269232,22.100691469948718,0.2678469790102582,0.14700100071642586,0.9178599069123176,False
hsa-miR-1-3p,2042.4109362307693,2189.7286226871797,0.10047891702300049,0.14700100071642586,0.9178599069123176,False
hsa-miR-1224-3p,104.1102818596154,109.81269995128206,0.07693235791152997,0.14700100071642586,0.9178599069123176,False
