miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
hsa-miR-30b-5p,9899.003345818182,7785.3599988000005,-0.3465195269234531,0.0012007983365049935,0.38938401102246084,False
hsa-miR-670-3p,16.366374598909093,8.21062221344,-0.9951713174083063,0.002286011806394095,0.38938401102246084,False
hsa-miR-548ab,65.63551928181818,52.70989546319999,-0.31640292338221343,0.002286011806394095,0.38938401102246084,False
hsa-miR-214-3p,24.656607316545454,19.63472819892,-0.32856667530806494,0.00684641434984945,0.6524455206053104,False
hsa-miR-3909,13.356203753727273,20.36941084808,0.6088942457938247,0.00684641434984945,0.6524455206053104,False
hsa-miR-3117-3p,117.51614693727271,80.91064500760001,-0.5384575709903947,0.010063273476870416,0.6524455206053104,False
hsa-miR-3177-3p,24.19691715,33.2043574804,0.4565493318635072,0.012006571926090448,0.6524455206053104,False
hsa-miR-101-3p,70886.3929490909,65213.066893999996,-0.12034765084357701,0.01481703317075933,0.6524455206053104,False
hsa-miR-548n,58.954538240909095,48.32882251799999,-0.28671902878529565,0.017519186448716084,0.6524455206053104,False
hsa-miR-212-3p,222.11306501818183,203.056392676,-0.12941380954089876,0.019190929368904874,0.6524455206053104,False
hsa-miR-125a-5p,15187.68129,19016.87539352,0.32437859095704624,0.019190929368904874,0.6524455206053104,False
hsa-miR-34a-5p,652.5078012636363,536.5908422279999,-0.2821727174487574,0.024670744580120862,0.6524455206053104,False
hsa-miR-130b-3p,19.042353834545455,14.326650069080001,-0.4105105112318044,0.024670744580120862,0.6524455206053104,False
hsa-miR-125b-1-3p,1525.7971752727274,1735.6950199199998,0.18595027619916848,0.024670744580120862,0.6524455206053104,False
hsa-miR-145-5p,179.4062797909091,157.95131502799998,-0.18375044172820054,0.024670744580120862,0.6524455206053104,False
hsa-miR-744-5p,4740.1486664545455,6159.581399160001,0.37790000227214193,0.02579607420770813,0.6524455206053104,False
hsa-let-7e-5p,8347.882302454545,10210.25392156,0.2905365803678599,0.02579607420770813,0.6524455206053104,False
hsa-miR-423-3p,6644.400873999999,7489.424003079999,0.17271565062946515,0.02579607420770813,0.6524455206053104,False
hsa-miR-4742-3p,14.264046794909092,11.32659095984,-0.33266963214347545,0.030134461397956613,0.6524455206053104,False
hsa-miR-664a-5p,7.345968423363636,10.174868404,0.4699855358368734,0.030134461397956613,0.6524455206053104,False
hsa-miR-126-5p,1628.6152528181817,1367.1082480520001,-0.252518338576019,0.030134461397956613,0.6524455206053104,False
hsa-miR-29a-5p,25.96979067818182,17.693431012359998,-0.5536205510405052,0.030134461397956613,0.6524455206053104,False
hsa-miR-569,13.330519330909095,10.355925383999999,-0.36427651053989685,0.034905557823178834,0.6524455206053104,False
hsa-let-7d-5p,6537.984344545455,7354.43297868,0.16976819253108033,0.034905557823178834,0.6524455206053104,False
hsa-miR-651-5p,178.46922296363638,154.4673342748,-0.20837352396584397,0.034905557823178834,0.6524455206053104,False
hsa-miR-150-5p,723.2891773545455,455.797383116,-0.6661799230024847,0.034905557823178834,0.6524455206053104,False
hsa-miR-106a-5p,151.83326538999998,131.8345383564,-0.20375952684383591,0.034905557823178834,0.6524455206053104,False
hsa-miR-6843-3p,34.44217302090909,43.83973748560001,0.3480629914727551,0.03770660503631773,0.6524455206053104,False
hsa-miR-132-5p,1981.9382759090906,1600.9979196,-0.30794059978453703,0.03770660503631773,0.6524455206053104,False
hsa-miR-301a-3p,14.232851381181819,11.498030261399999,-0.307837984614562,0.042114585487941336,0.6524455206053104,False
hsa-miR-455-3p,68.16701172727272,92.38629487479999,0.4386051094075789,0.042114585487941336,0.6524455206053104,False
hsa-miR-127-5p,962.4387404454545,846.323248244,-0.1854859179991415,0.042114585487941336,0.6524455206053104,False
hsa-miR-873-3p,49.72128279363637,64.0169318156,0.36459001552909154,0.047319439740757474,0.6524455206053104,False
hsa-miR-143-5p,251.7114057090909,216.323354904,-0.21858115900810926,0.047319439740757474,0.6524455206053104,False
hsa-miR-15a-5p,52.62191295545454,38.514154272,-0.4502749498205372,0.047319439740757474,0.6524455206053104,False
hsa-miR-652-3p,1458.9072167272725,1281.7628799919999,-0.18675873900741458,0.047319439740757474,0.6524455206053104,False
hsa-miR-200c-3p,41.616453783636366,52.152402122000005,0.32557966877037003,0.05722847023638744,0.6524455206053104,False
hsa-miR-142-3p,381.59429223636363,290.7274952492,-0.392372072837329,0.05722847023638744,0.6524455206053104,False
hsa-miR-320c,300.01210152727276,384.07608056399994,0.3563714231162276,0.05722847023638744,0.6524455206053104,False
hsa-miR-320b,365.22536040909097,460.07256146399993,0.33307447104916754,0.05722847023638744,0.6524455206053104,False
hsa-miR-15b-5p,246.42630615454544,235.23741393600002,-0.06703873726089693,0.05722847023638744,0.6524455206053104,False
hsa-miR-132-3p,896.2410285272728,713.360347196,-0.32925574787201306,0.05722847023638744,0.6524455206053104,False
hsa-miR-26a-5p,38643.16922272728,40409.7683336,0.06449066262867298,0.05722847023638744,0.6524455206053104,False
hsa-miR-125b-5p,92855.97270636364,104916.28896640001,0.17617206783916473,0.06582683319089833,0.6524455206053104,False
hsa-miR-320e,553.3379110727274,687.036606692,0.3122261996460054,0.06582683319089833,0.6524455206053104,False
hsa-miR-185-5p,2175.721857272727,2773.0676615600005,0.34998868262103144,0.06582683319089833,0.6524455206053104,False
hsa-miR-506-3p,18.142712426454544,34.7019939848,0.9356284006522504,0.06582683319089833,0.6524455206053104,False
hsa-miR-324-5p,142.28209875454542,120.43017070840001,-0.2405572925364483,0.07034101776626178,0.6524455206053104,False
hsa-miR-432-5p,298.3109083727273,348.57161675200007,0.22463836562458184,0.07034101776626178,0.6524455206053104,False
hsa-miR-628-3p,127.67233393636364,135.9872395904,0.09102534914473814,0.07034101776626178,0.6524455206053104,False
hsa-miR-216b-5p,29.436836837272725,43.81569025528,0.573824933137904,0.07034101776626178,0.6524455206053104,False
hsa-miR-770-5p,9.703715014,12.162109665120001,0.32578441736423613,0.07788488602137755,0.6524455206053104,False
hsa-miR-320d,25.19409768363636,30.9430980176,0.29653185869848997,0.07788488602137755,0.6524455206053104,False
hsa-miR-5699-5p,12.871229890363635,9.388260484400002,-0.4552201384312209,0.07788488602137755,0.6524455206053104,False
hsa-miR-502-3p,144.79634560000002,177.17847101199996,0.29117812056175474,0.07788488602137755,0.6524455206053104,False
hsa-miR-4787-3p,17.26960554381818,14.409413103639999,-0.2612235549083053,0.07788488602137755,0.6524455206053104,False
hsa-miR-450b-5p,27.886898906090906,33.94136546319999,0.28345709382045037,0.07788488602137755,0.6524455206053104,False
hsa-miR-19a-3p,29.079727910909092,20.233352136079997,-0.5232784140662039,0.07788488602137755,0.6524455206053104,False
hsa-miR-376a-5p,71.48947548636363,60.33660993400001,-0.2446972276684729,0.07788488602137755,0.6524455206053104,False
hsa-miR-424-3p,56.108527959090914,65.3870217252,0.22078424898330073,0.07788488602137755,0.6524455206053104,False
hsa-miR-2355-3p,14.724497930727274,16.410349689359997,0.1563875391437235,0.07788488602137755,0.6524455206053104,False
hsa-miR-504-5p,352.5560525363636,387.93034784,0.1379449941012414,0.0857438480369187,0.6539568111472457,False
hsa-miR-144-5p,250.43410457272728,215.534960016,-0.21650914941587107,0.0857438480369187,0.6539568111472457,False
hsa-miR-598-3p,2225.555808181818,2044.0535680120001,-0.12273267323111625,0.0857438480369187,0.6539568111472457,False
hsa-miR-4326,16.929595221636365,26.478653621119996,0.6452822867609402,0.0857438480369187,0.6539568111472457,False
hsa-miR-99b-5p,38966.01874727272,44428.81507240001,0.18927912944156589,0.0857438480369187,0.6539568111472457,False
hsa-miR-1185-5p,108.88990380272729,88.9154406028,-0.29236431755998105,0.0857438480369187,0.6539568111472457,False
hsa-miR-4646-3p,15.954505157454546,17.92030059704,0.16763097462194665,0.09215209714130035,0.6824597339015143,False
hsa-miR-376c-3p,135.3716311027273,107.28856449759998,-0.335429122346655,0.09215209714130035,0.6824597339015143,False
hsa-miR-204-3p,80.4414912718182,106.1808288724,0.4005115760978244,0.1020780815487351,0.7311064789390394,False
hsa-miR-143-3p,21610.374604545454,20075.3282936,-0.10630050032471772,0.1020780815487351,0.7311064789390394,False
hsa-miR-6716-3p,22.330082322727275,29.9969512268,0.4258273084200548,0.10587451945496851,0.7311064789390394,False
hsa-miR-500a-3p,193.0830673,240.96419482800005,0.3195971399155031,0.10587451945496851,0.7311064789390394,False
hsa-miR-320a,1569.0775165454545,1792.4822082399999,0.19204217215779984,0.10587451945496851,0.7311064789390394,False
hsa-miR-877-5p,46.00853959454545,51.648863765600005,0.16683494821570033,0.11697632905020217,0.7367051832673499,False
hsa-miR-18a-3p,10.092617166454545,10.66770174408,0.0799490592301697,0.11697632905020217,0.7367051832673499,False
hsa-miR-339-5p,77.14010293272727,60.379915051999994,-0.3534123439063084,0.11697632905020217,0.7367051832673499,False
hsa-miR-2277-5p,26.763997481818183,26.305545503999998,-0.024926645732045394,0.11697632905020217,0.7367051832673499,False
hsa-miR-17-5p,1014.9207955636364,864.2152233440002,-0.23190459419838483,0.11697632905020217,0.7367051832673499,False
hsa-let-7c-5p,123971.28942272728,146022.04980079998,0.2361801923841682,0.12398560814284165,0.7367051832673499,False
hsa-miR-22-3p,462.5804901909091,449.532768648,-0.041278135417089246,0.12398560814284165,0.7367051832673499,False
hsa-miR-200b-3p,122.98482092636364,155.218943666,0.33582437594509784,0.12398560814284165,0.7367051832673499,False
hsa-let-7a-5p,127140.39732909092,149584.94239239997,0.2345424549691657,0.12398560814284165,0.7367051832673499,False
hsa-miR-185-3p,72.26859003272727,90.96584601679999,0.33195622608957276,0.12398560814284165,0.7367051832673499,False
hsa-miR-148b-5p,207.12141375454547,225.67983770400002,0.12380081570395074,0.12398560814284165,0.7367051832673499,False
hsa-miR-1287-5p,118.98339276818182,134.85708556560002,0.18067110271568954,0.12398560814284165,0.7367051832673499,False
hsa-miR-873-5p,17.545690296454545,22.380787901519998,0.3511441178687287,0.13542345671999523,0.7809130995701131,False
hsa-let-7f-1-3p,23.843367454545458,21.7367899896,-0.13344910126649268,0.14670774473332848,0.7809130995701131,False
hsa-miR-125a-3p,31.68808220181818,37.977338416399995,0.26119845111336115,0.14670774473332848,0.7809130995701131,False
hsa-miR-30e-5p,2579.720296090909,2242.43156552,-0.20215069350523862,0.14670774473332848,0.7809130995701131,False
hsa-miR-1-3p,1730.2696022727278,2317.972445708,0.42186656761873387,0.14670774473332848,0.7809130995701131,False
hsa-miR-485-3p,2251.550024181818,2456.9530389760002,0.12595175163190397,0.14670774473332848,0.7809130995701131,False
hsa-miR-378e,46.534596192727264,44.8169401652,-0.05425953466032318,0.14670774473332848,0.7809130995701131,False
hsa-miR-378d,1283.8117564545455,1292.435299968,0.009658382643911168,0.14670774473332848,0.7809130995701131,False
hsa-miR-532-3p,27.699271762727275,32.7351583732,0.2409929116234073,0.14670774473332848,0.7809130995701131,False
hsa-miR-140-3p,6771.114574909091,7226.903223040001,0.09398424351077317,0.14670774473332848,0.7809130995701131,False
hsa-miR-493-3p,123.03765600636362,132.56715736080002,0.10762347767989677,0.1574936682981568,0.821216984697532,False
hsa-miR-6873-3p,8.326234284818183,10.41889957116,0.32346685140611076,0.1574936682981568,0.821216984697532,False
hsa-miR-30a-5p,21535.47976,20463.2877648,-0.07367750733392775,0.17115158718574286,0.828882997050274,False
hsa-miR-29b-3p,9183.925624636364,8194.99778792,-0.16436739860112404,0.17115158718574286,0.828882997050274,False
hsa-miR-664b-3p,32.20967016545455,28.343828085200002,-0.18445926709487903,0.17115158718574286,0.828882997050274,False
hsa-miR-2110,124.18775311727272,150.27409978000003,0.27507346963857326,0.17115158718574286,0.828882997050274,False
hsa-miR-1278,13.645259745545456,11.068952783279999,-0.301881120021227,0.17115158718574286,0.828882997050274,False
hsa-miR-6868-3p,58.349415523545446,92.00001962231998,0.6569159641092526,0.17115158718574286,0.828882997050274,False
hsa-miR-6726-3p,16.48656719890909,22.005490472800002,0.41657249294612875,0.17115158718574286,0.828882997050274,False
hsa-miR-6833-3p,15.125483332363636,13.338816585159998,-0.18135056737632294,0.17971364553351088,0.828882997050274,False
