miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
hsa-miR-22-5p,126.88106536466668,158.82674142857144,0.3239770475248065,0.0005545988615598407,0.21721219713500717,False
hsa-miR-129-1-3p,1109.4946138333332,829.8309051785715,-0.41901337058381927,0.0012507420180518647,0.21721219713500717,False
hsa-miR-26a-5p,41147.594878,45137.024495000005,0.1335032108892822,0.0012507420180518647,0.21721219713500717,False
hsa-miR-129-2-3p,1352.6086086,1003.0299549142856,-0.4313797489992659,0.0049403316917391304,0.5550050171389528,False
hsa-miR-2110,163.87170011133333,128.77696004142857,-0.34769223047686193,0.00669487237805233,0.5550050171389528,False
hsa-miR-493-5p,14.7536515636,10.553658073928572,-0.4833289213154721,0.008616744259449582,0.5550050171389528,False
hsa-miR-486-3p,18.759542052333334,11.230557030928571,-0.7401951234185096,0.008616744259449582,0.5550050171389528,False
hsa-let-7f-5p,268990.13351333333,203958.23837142857,-0.39927947379743145,0.01037128494576256,0.5550050171389528,False
hsa-miR-138-5p,214.79816320666663,291.0817854778571,0.4384429087228412,0.01164959316007641,0.5550050171389528,False
hsa-miR-374a-3p,865.3399188133334,759.7346760214285,-0.1877712862248888,0.01224929331000113,0.5550050171389528,False
hsa-miR-1278,14.1850956858,11.647750795928571,-0.2843244879044535,0.01224929331000113,0.5550050171389528,False
hsa-miR-374b-3p,21.6608884,15.039603763785717,-0.5263258568728122,0.013848493709801124,0.5550050171389528,False
hsa-miR-1185-5p,87.33538263933333,115.25620619071428,0.4002062734500731,0.013848493709801124,0.5550050171389528,False
hsa-miR-659-5p,45.27390458533332,36.49124445428571,-0.31112938346299934,0.017046894509401556,0.5910753882839039,False
hsa-miR-34a-5p,455.71367749333336,539.9352723785714,0.24465879555718395,0.017046894509401556,0.5910753882839039,False
hsa-miR-664a-5p,13.638841136266667,8.802117961642855,-0.6317984555351077,0.021367541203598628,0.5910753882839039,False
hsa-let-7g-3p,18.883123504666667,20.679198575000008,0.13108285067204228,0.021367541203598628,0.5910753882839039,False
hsa-miR-181d-5p,199.4951935,170.1353033357143,-0.2296714540715845,0.021367541203598628,0.5910753882839039,False
hsa-miR-185-5p,2973.338363733333,2705.577597142857,-0.1361470311941524,0.026248485664288612,0.5910753882839039,False
hsa-miR-98-5p,10041.379060533332,8068.516905857143,-0.3155820017804256,0.026248485664288612,0.5910753882839039,False
hsa-let-7g-5p,255666.07700000002,207071.04100714283,-0.30413494357491544,0.031129430124978597,0.5910753882839039,False
hsa-miR-1237-3p,7.2254158144,10.977600944,0.6034102801967411,0.031129430124978597,0.5910753882839039,False
hsa-miR-551b-3p,57.93352571866667,79.626352745,0.45884750981182787,0.035450076819175114,0.5910753882839039,False
hsa-miR-124-3p,5374.907979933333,6996.5289785714285,0.38039931404485827,0.035450076819175114,0.5910753882839039,False
hsa-let-7d-3p,312.98208224,275.2413513428572,-0.18538283535500888,0.035450076819175114,0.5910753882839039,False
