tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
tRF-23-DRFU8U767,21.76542764407692,30.443458828743587,0.4840939134470927,0.0017907889575059,0.7055708492573447,False,False,SMAD2,False
tRF-19-W3FJIKE5,20.68082313388462,15.87204172792308,-0.3818058849307668,0.0157208027110916,0.9999450191425834,False,False,,False
tRF-22-INVDRI2Q2,60.58279079076922,48.59901355666666,-0.3179810075896006,0.0294500978460781,0.9999450191425834,False,True,"SMAD2,BMPR1A,BMPR2,SLC5A7,RORA,BMPR1B",True
tRF-22-UJJKIWRNK,16.80468060253846,14.782952366769235,-0.1849286973146502,0.0294500978460781,0.9999450191425834,False,False,"SMAD2,NKX2-1,RORB,GBX2,ARNTL2,NPAS2",True
tRF-22-Z3M8ZLSSP,10.90646388376923,21.916979467435898,1.0068655601728391,0.0294500978460781,0.9999450191425834,False,False,ARNTL,False
tRF-23-BE7XO8Q6DI,43.27284192361538,40.24746707438461,-0.1045638803736448,0.0294500978460781,0.9999450191425834,False,True,"SMAD2,RORA,BMPR2,LIFR,BMP5,CLOCK,NR1D2,LHX8,SLC5A7,KLF7,ARNTL2,KLF4,BMPR1B,NTRK2,LIF,IL6ST,BMP3",True
tRF-20-W47W1R7H,20.241078318076923,26.874199235641026,0.4089356178393002,0.0294500978460781,0.9999450191425834,False,False,,False
tRF-23-INVDRI2QD1,70.23505839423078,64.65859348076923,-0.1193492183103765,0.0294500978460781,0.9999450191425834,False,True,"SMAD2,BMPR1A,BMPR2,SLC5A7,RORA,BMPR1B",True
tRF-18-8R6Q46D2,93.5483347976923,143.6756761420513,0.6190319603669252,0.0294500978460781,0.9999450191425834,False,False,,False
tRF-23-OB9ZFH69U,82.22895220153845,79.68275573000001,-0.045378903429432,0.0294500978460781,0.9999450191425834,False,False,"SMAD2,RORA,CLOCK,BMPR2,NR1D2,BMP5,LHX8,KLF7,LIFR,ARNTL2,BMP2,BMP3,KLF4,LIF,BMPR1A,PCYT1A,RORB",True
tRF-21-YO0Y3KQ9D,17.5241608565,26.05170006841025,0.5720321597094564,0.0526504638195109,0.9999450191425834,False,False,"SMAD2,BMPR2,RORB",False
tRF-19-B1RHODE2,10.15504628473077,13.61662514205128,0.4231723629088679,0.0526504638195109,0.9999450191425834,False,False,,False
tRF-19-PS5P4PJ4,321.9487566692308,264.71519032435896,-0.2823900941380266,0.069196405633688,0.9999450191425834,False,False,,False
tRF-21-9NH5SYNXD,11.788520495499998,9.46529017828205,-0.3166640253665145,0.069196405633688,0.9999450191425834,False,False,,False
tRF-20-U4727OFI,8.297147821730768,10.729537704102562,0.3709005225557122,0.069196405633688,0.9999450191425834,False,False,,False
tRF-18-8R6546D2,247.80128350384615,330.0898801700001,0.4136752493439672,0.069196405633688,0.9999450191425834,False,False,,False
tRF-19-DWY2MJJ1,483.485840755,424.4028401548718,-0.1880393289420663,0.069196405633688,0.9999450191425834,False,True,"SMAD2,SLC5A7,LHX8,RORA,BMPR2,LIF,RORB,LIFR,BMPR1B,ARNTL2",True
tRF-21-UJJKIWRND,15.157255350269228,13.237938607,-0.1953300512100342,0.0899722618906628,0.9999450191425834,False,False,"SMAD2,NKX2-1,RORB,GBX2,ARNTL2,NPAS2",True
tRF-18-07QSNHD2,9.802342575423076,12.27069374505128,0.3240183440725332,0.0899722618906628,0.9999450191425834,False,False,"NTRK1,LIF",False
tRF-18-O7M8LO04,77.28613372269231,53.74414530374359,-0.5241019953154282,0.0899722618906628,0.9999450191425834,False,False,,False
tRF-20-9NS334L2,9.944245228461538,14.881625854999998,0.5815983738222648,0.0899722618906628,0.9999450191425834,False,True,"CHAT,RORA",True
tRF-19-Q99P9PJZ,19.348243548115384,17.36206135,-0.1562643579081291,0.0899722618906628,0.9999450191425834,False,False,,False
tRF-18-XSXMSL00,13.680534083384618,16.59974283048718,0.2790363373209108,0.0899722618906628,0.9999450191425834,False,False,,False
tRF-19-J9ZH0S2E,26.41856532646154,25.281346957461537,-0.0634787919406347,0.0899722618906628,0.9999450191425834,False,False,"SMAD2,RORB,CLOCK",False
tRF-20-B4ZPEK45,406.4321843476922,411.4862923064102,0.0178297214268443,0.0899722618906628,0.9999450191425834,False,True,"SMAD2,LHX8,ARNTL2,BMPR2,SLC5A7,RORA,LIFR,NR1D2,LIF,CLOCK,BMPR1A,BMPR1B",True
tRF-20-DWY2MJ8F,103.953950195,93.26939827205128,-0.1564688658955146,0.0899722618906628,0.9999450191425834,False,True,"SMAD2,SLC5A7,LHX8,RORA,BMPR2,LIF,LIFR,RORB,BMPR1B,ARNTL2",True
tRF-22-7OFIZ9WUJ,9.465052859884617,14.41746599153846,0.6071351511709961,0.0899722618906628,0.9999450191425834,False,False,"SMAD2,RORA,BMP5,NR1D2,BMPR1A,BMPR2,NTRK2,BMP2K,IL6ST",True
tRF-19-3L7L731D,12.920840234076923,10.399460666666668,-0.3131911808882108,0.0899722618906628,0.9999450191425834,False,False,,False
tRF-18-H6QE3005,12.599462945846154,11.042535103666667,-0.1902908212846883,0.0899722618906628,0.9999450191425834,False,False,,False
tRF-18-W9RKM80E,25.483769801384614,36.443680245179486,0.5160899457282149,0.1155545109673594,0.9999450191425834,False,False,,False
tRF-18-ME6KM80E,68.03154634923077,99.98183512358976,0.5554621255365157,0.1155545109673594,0.9999450191425834,False,False,SMAD2,False
tRF-22-WB8689SV2,8.797674025615386,12.005942979102562,0.4485546690454587,0.1155545109673594,0.9999450191425834,False,False,,False
tRF-22-9N1EWJQ72,25.271344263153846,32.96628828807692,0.3834890536149027,0.1155545109673594,0.9999450191425834,False,False,"NR1D2,NTRK2",False
tRF-19-2DN1RJKJ,11.11018866246154,14.86689525402564,0.4202200765048118,0.1155545109673594,0.9999450191425834,False,False,"SMAD2,BMPR2",False
tRF-20-U0EZY9X1,23.24014844492308,38.55093103376923,0.7301464188317306,0.1155545109673594,0.9999450191425834,False,False,"SMAD2,NTRK2,RORA,BMP3",True
tRF-23-WPMN1E8Y0E,25.72126870153846,21.74755249120513,-0.2421087587573884,0.1155545109673594,0.9999450191425834,False,False,,False
tRF-21-BE7XO8Q6D,215.4252161030769,214.48857301820516,-0.006286341614774,0.1155545109673594,0.9999450191425834,False,True,"SMAD2,RORA,BMPR2,LIFR,BMP5,CLOCK,LHX8,NR1D2,SLC5A7,KLF7,ARNTL2,KLF4,BMPR1B,NTRK2,LIF,IL6ST,BMP3",True
tRF-18-3FPD4805,12.890799634653847,15.10771884038462,0.2289440812087653,0.1155545109673594,0.9999450191425834,False,False,,False
tRF-22-OB9ZFH691,189.3996500384615,198.78837192128205,0.0697997041820031,0.1155545109673594,0.9999450191425834,False,False,"SMAD2,RORA,CLOCK,BMPR2,BMP5,NR1D2,LHX8,KLF7,LIFR,ARNTL2,BMP2,BMP3,KLF4,LIF,BMPR1A,PCYT1A,RORB",True
tRF-21-J9ZH0SR90,11.793371198615386,14.802022124282052,0.3278180984274907,0.1155545109673594,0.9999450191425834,False,False,"SMAD2,RORB,CLOCK,IL6R",True
tRF-19-9N1EWJI5,53.90632800307692,56.41459224769231,0.0656137403901491,0.1470010007164258,0.9999450191425834,False,False,"NR1D2,NTRK2",False
tRF-21-MN1E8Y7ZD,34.78373045503846,39.080990913205135,0.1680543820094362,0.1470010007164258,0.9999450191425834,False,False,,False
tRF-18-RXSINH0P,20.052815896153845,16.71008106084615,-0.2630861079299373,0.1470010007164258,0.9999450191425834,False,False,NTRK2,False
tRF-20-8B3VMKNR,12.424871193961538,16.27976547394872,0.3898490205636391,0.1470010007164258,0.9999450191425834,False,False,"BMPR2,ARNTL2",False
tRF-18-MBQ4NKDJ,105.9573123107692,99.56846006743592,-0.0897224316049438,0.1470010007164258,0.9999450191425834,False,False,,False
tRF-21-MNH5SYNXD,17.544298803807695,14.844094161153848,-0.241113230752334,0.1470010007164258,0.9999450191425834,False,False,,False
tRF-20-OB9ZFH69,41.72779338346153,43.12517409,0.0475216495906467,0.1470010007164258,0.9999450191425834,False,False,"SMAD2,RORA,CLOCK,BMPR2,BMP5,NR1D2,KLF7,LHX8,LIFR,ARNTL2,BMP2,KLF4,BMP3,LIF,BMPR1A,PCYT1A,RORB",True
tRF-18-EO7N980E,10.152657815346153,11.605950248128206,0.1930071965021778,0.1470010007164258,0.9999450191425834,False,False,,False
tRF-18-73V2Y8DM,13.856648778423075,14.3912557935641,0.0546141036070753,0.1470010007164258,0.9999450191425834,False,False,"NR1D2,SMAD2",False
tRF-18-B4ZPEKD5,13.067107341615383,13.061933376743587,-0.0005713530504465,0.1470010007164258,0.9999450191425834,False,True,"SMAD2,LHX8,ARNTL2,BMPR2,SLC5A7,RORA,LIFR,NR1D2,CLOCK,LIF,BMPR1A,BMPR1B",True
tRF-20-D112Z4R9,16.029173319576923,15.10796913594872,-0.0853902809777666,0.1470010007164258,0.9999450191425834,False,False,"SMAD2,GBX2",False
tRF-22-EXEY0VWUJ,222.80553268615387,284.9912099728205,0.3551323647101849,0.1470010007164258,0.9999450191425834,False,False,"BDNF,NR1D2,BMPR2,LIFR",True
tRF-21-Q622EVUID,34.83917303819231,31.22445274376924,-0.1580340931183217,0.1846544779013988,0.9999450191425834,False,False,SMAD2,False
tRF-22-VF4YO9XEJ,114.77645959192309,134.81214648051284,0.2321237095299739,0.1846544779013988,0.9999450191425834,False,False,"CLOCK,SMAD2",False
tRF-19-4PW3FJF2,18.687583318038463,16.19661052246154,-0.2063880807781473,0.1846544779013988,0.9999450191425834,False,False,,False
tRF-20-VBY9PYKH,9.64301738496154,12.281325612846151,0.3489097355075237,0.1846544779013988,0.9999450191425834,False,False,"RORA,NTRK2,LIFR,SMAD2,RORB,STAT1",True
tRF-19-RPM8301Z,16.2927928395,18.61067017228205,0.1918960823856128,0.1846544779013988,0.9999450191425834,False,False,,False
tRF-23-VF4YO9XED2,13.09017816026923,14.187073436615382,0.1160922826572092,0.1846544779013988,0.9999450191425834,False,False,"CLOCK,SMAD2",False
tRF-20-JMRPFQJD,16.000646146230768,18.67592176630769,0.2230492843021787,0.1846544779013988,0.9999450191425834,False,False,,False
tRF-20-S8V0J8O9,14.184607386692308,11.921192825769232,-0.2507976210318166,0.1846544779013988,0.9999450191425834,False,False,,False
tRF-22-NONU3IND2,79.58975915269231,89.38052970641024,0.167377784231065,0.2295825740977057,0.9999450191425834,False,False,"LHX6,SMAD2,NR1D2,CNTF",True
tRF-18-JB5Y130K,26.414012332423077,18.553473034769237,-0.5096141949287647,0.2295825740977057,0.9999450191425834,False,False,"SMAD2,IL6ST",False
tRF-19-XSXMSL24,26.86975483623077,25.62571286094872,-0.0683910196989989,0.2295825740977057,0.9999450191425834,False,False,,False
tRF-19-BE7XO8I5,35.584652553846155,33.2246396246923,-0.0990015984493188,0.2295825740977057,0.9999450191425834,False,True,"SMAD2,RORA,BMPR2,LIFR,BMP5,CLOCK,LHX8,NR1D2,SLC5A7,KLF7,ARNTL2,KLF4,BMPR1B,NTRK2,LIF,BMP3",True
tRF-22-V29K9UV34,20.92034494680769,21.70697392253846,0.0532519801788033,0.2295825740977057,0.9999450191425834,False,False,"RORA,BMPR1A,BDNF,SMAD2",True
tRF-20-F6RE987S,14.974312154653846,12.350930721076924,-0.2778699721677853,0.2295825740977057,0.9999450191425834,False,True,"SMAD2,CHAT",True
tRF-19-1SS2P4IR,36.007938804615385,30.56240280230769,-0.2365570461170403,0.2295825740977057,0.9999450191425834,False,False,,False
tRF-20-VMMV5BU6,15.644088246807694,20.26663848597436,0.3734892375751326,0.2295825740977057,0.9999450191425834,False,False,,False
tRF-21-WE884U1DD,25.60495284692308,27.159197385384616,0.0850179430906346,0.2295825740977057,0.9999450191425834,False,False,,False
tRF-22-877343RX4,17.425979836192308,22.148786312769232,0.345987866663962,0.2295825740977057,0.9999450191425834,False,False,SMAD2,False
tRF-20-BE7XO8Q6,36.211293988076925,32.10594804769231,-0.1735991312706213,0.2295825740977057,0.9999450191425834,False,True,"SMAD2,RORA,BMPR2,LIFR,BMP5,CLOCK,LHX8,NR1D2,SLC5A7,KLF7,ARNTL2,KLF4,BMPR1B,NTRK2,LIF,BMP3,IL6ST",True
tRF-18-R29P4P04,301.2054481988461,261.2566305361538,-0.2052802132977547,0.2295825740977057,0.9999450191425834,False,False,,False
tRF-19-5BF9000W,656.0352222692309,745.9982557717949,0.1853989826567836,0.2295825740977057,0.9999450191425834,False,False,"SMAD2,KLF7,BMPR1B,RORA,BMPR1A,BMPR2,CNTF",True
tRF-23-W47W1R7HX,22.122709695923074,27.485981147948724,0.3131678745507136,0.2295825740977057,0.9999450191425834,False,False,,False
tRF-21-WB8689SVD,9.980530397115386,10.893279800564104,0.1262500008400868,0.2820645017646165,0.9999450191425834,False,False,,False
tRF-18-40KK5Y04,73.61799367461539,59.591568317,-0.3049502157485753,0.2820645017646165,0.9999450191425834,False,False,"ARNTL2,NKX2-1,RORB",False
tRF-22-WR645J7KQ,72.81438507,67.7621187166154,-0.1037445105532359,0.2820645017646165,0.9999450191425834,False,False,,False
tRF-18-YR66EFD2,21.35780910353846,24.859322731846152,0.219023329977313,0.2820645017646165,0.9999450191425834,False,False,,False
tRF-23-76DRR4KR0J,85.1413095426923,69.0910183731795,-0.3013611033752825,0.2820645017646165,0.9999450191425834,False,False,"SMAD2,CNTFR,RORB,BMPR2,BMP5,KLF7,NR1D2,CLOCK",True
tRF-21-RE987S1RD,64.59754092661538,48.54765906066667,-0.4120775146037658,0.2820645017646165,0.9999450191425834,False,False,,False
tRF-19-UP0O51K2,15.110224442269232,14.10642124251282,-0.09917306310055,0.2820645017646165,0.9999450191425834,False,False,"NR1D2,KLF7,BMP6,IL6R",True
tRF-23-RPFQRDWXDD,31.627753037115387,28.33134602715385,-0.1587919185976583,0.2820645017646165,0.9999450191425834,False,False,SMAD2,False
tRF-18-9N15WV0E,25.291660756038464,24.433638834871797,-0.0497930372667241,0.2820645017646165,0.9999450191425834,False,False,"NR1D2,NTRK2,ARNTL2,SMAD2",True
tRF-23-O045DBNIR,21.68949046323077,23.146919171999997,0.0938240240990158,0.2820645017646165,0.9999450191425834,False,False,"SMAD2,IL6ST,BMPR1A,KLF7,ARNTL2",True
tRF-22-40KK5Y935,11.0360404115,12.787442955179486,0.2125051594796145,0.2820645017646165,0.9999450191425834,False,False,,False
tRF-21-9M739P8W0,9.166071685076924,11.596762144,0.3393465823909745,0.2820645017646165,0.9999450191425834,False,False,,False
tRF-22-83ML5F923,10.868791832884616,13.253672283794872,0.2862005719173384,0.2820645017646165,0.9999450191425834,False,False,,False
tRF-19-DRFU8U25,20.49773024673077,19.928073255923078,-0.040661936094243,0.2820645017646165,0.9999450191425834,False,False,SMAD2,False
tRF-18-HSRVK7D2,37.57996549815385,49.89236024094872,0.408855177812697,0.2820645017646165,0.9999450191425834,False,False,,False
tRF-19-9N15WV2P,24.892307671538465,21.349737350897435,-0.2214816617030033,0.2820645017646165,0.9999450191425834,False,False,"NR1D2,NTRK2,ARNTL2,SMAD2",True
tRF-20-S3M8309N,32.97669042157692,29.928001441641022,-0.1399506750173182,0.2820645017646165,0.9999450191425834,False,False,,False
tRF-21-JYSWRYVMD,15.928731867500002,24.195158491589737,0.6030869753889321,0.2820645017646165,0.9999450191425834,False,False,"NTRK2,BMP7",False
tRF-20-RX6N38Z9,16.071840283615384,19.236985177153844,0.259347585215548,0.2820645017646165,0.9999450191425834,False,False,,False
tRF-21-NONU3INDD,158.99143513846153,180.51026694410257,0.1831318464194717,0.2820645017646165,0.9999450191425834,False,False,"LHX6,SMAD2,NR1D2,CNTF",True
tRF-20-RE987S1R,16.622834637000004,15.057091265615384,-0.1427233245279549,0.2820645017646165,0.9999450191425834,False,False,,False
tRF-19-F6RE9825,19.76927823342308,15.6568899,-0.3364625372185128,0.2820645017646165,0.9999450191425834,False,True,"SMAD2,CHAT",True
tRF-22-I7XUK87SI,12.103069672423077,13.232751602692309,0.1287400839289105,0.3429457307815138,0.9999450191425834,False,True,"SMAD2,RORB,BCHE,CLOCK,NTRK2,IL6R",True
tRF-21-B4ZPEK45B,68.81910503738462,70.49040918615385,0.0346178494793623,0.3429457307815138,0.9999450191425834,False,True,"SMAD2,LHX8,ARNTL2,BMPR2,SLC5A7,RORA,LIFR,NR1D2,LIF,CLOCK,BMPR1A,BMPR1B",True
tRF-22-DRFU8U76F,13.90113910980769,16.48707895417948,0.246132709044299,0.3429457307815138,0.9999450191425834,False,False,SMAD2,False
tRF-22-12Z4R95MJ,101.30323951553844,78.57843346176924,-0.3664749983025253,0.3429457307815138,0.9999450191425834,False,False,,False
tRF-19-S998LOJX,14.503734875076928,17.952424249435897,0.3077542167466034,0.3429457307815138,0.9999450191425834,False,False,,False
tRF-19-BZOS4YE2,212.22850189153849,206.40221529820516,-0.0401599653413926,0.3429457307815138,0.9999450191425834,False,False,"LHX6,BDNF,SMAD2",False
tRF-23-WP9N1EWJDW,26.977224453076925,27.374659993794875,0.0210991213718223,0.3429457307815138,0.9999450191425834,False,False,"ARNTL2,RORC,SMAD2",False
tRF-20-40KK5Y93,20.457353771615388,19.18611493966667,-0.0925569346530021,0.3429457307815138,0.9999450191425834,False,False,"NKX2-1,ARNTL2,RORB",False
tRF-22-DWY2MJ8F5,29.863322489230768,26.61629545479487,-0.1660648975350467,0.3429457307815138,0.9999450191425834,False,True,"SMAD2,SLC5A7,LHX8,RORA,BMPR2,LIF,LIFR,RORB,BMPR1B,ARNTL2",True
tRF-23-PS5P4PW3X,26.67130219215384,29.61989369320513,0.151278198409857,0.3429457307815138,0.9999450191425834,False,False,,False
tRF-18-HRH7MSD2,10.701385323307694,11.341984231615385,0.0838754861897763,0.3429457307815138,0.9999450191425834,False,True,"SMAD2,NR1D2,COLQ",True
tRF-22-R2Z4R95MJ,107.87680970884615,87.28299985666668,-0.3056121697619689,0.3429457307815138,0.9999450191425834,False,False,,False
tRF-23-9M739P8WD8,24.145377864807696,30.956978549333336,0.3585176277619704,0.3429457307815138,0.9999450191425834,False,False,,False
tRF-23-9KIWRNL3DJ,109.96618662384614,87.49692421876922,-0.3297557714417056,0.3429457307815138,0.9999450191425834,False,False,"NTRK2,BMP7",False
tRF-22-UE02K0F75,46.18433791461538,43.45987401769232,-0.0877196937774886,0.3429457307815138,0.9999450191425834,False,False,"BMP2,CNTFR,SMAD2,LIFR,RORA,IL6,BMPR1B,BDNF,KLF7,BMP3,BMPR2,LIF,KLF16,LHX8,BMPR1A,BMP2K,CLOCK,KLF4,BMP5,NR1D2,RORB,STAT1,IL6ST",True
tRF-18-4E6L1F0P,14.869969458576923,30.03221116917949,1.0141090152734118,0.3429457307815138,0.9999450191425834,False,False,,False
tRF-21-D112Z4R90,16.73375942715385,12.322206288512822,-0.4415010060350486,0.3429457307815138,0.9999450191425834,False,False,"SMAD2,GBX2,KLF16",False
tRF-21-WB08Q2B5D,11.2019903035,12.11991473692308,0.1136244649549804,0.3429457307815138,0.9999450191425834,False,False,,False
tRF-21-V47PU9XWE,14.226109544423077,16.20848311025641,0.1882079030884913,0.3429457307815138,0.9999450191425834,False,False,"BMP2,SMAD2",False
tRF-20-S998LO9D,29.702605452,25.81683136497436,-0.2022775448580418,0.3429457307815138,0.9999450191425834,False,False,"BMPR2,SMAD2",False
tRF-18-PS5P4P0K,64.22406237384615,63.58656616666667,-0.0143919211457097,0.3429457307815138,0.9999450191425834,False,False,,False
tRF-21-9N15WV7W0,38.638693528884616,33.9519854477436,-0.1865503708536087,0.3429457307815138,0.9999450191425834,False,False,"NR1D2,NTRK2,ARNTL2",False
tRF-23-2YU04DYJDE,50.92076165769231,59.37440449125641,0.2215871397676005,0.3429457307815138,0.9999450191425834,False,False,"SMAD2,ARNTL,ARNTL2",False
tRF-18-HRF8X7D2,49.22016519923078,46.48316855415384,-0.0825410856672235,0.4109096859481566,0.9999450191425834,False,False,"SMAD2,BMPR1A,ARNTL2",False
tRF-19-9M739PJK,15.889342325999998,21.609809892717948,0.4436269689864724,0.4109096859481566,0.9999450191425834,False,False,,False
tRF-23-XBINVDRID1,13.801454716576924,12.59613372497436,-0.1318393607724362,0.4109096859481566,0.9999450191425834,False,True,"SMAD2,RORA,RORB,PCYT1A,BMP3,LIFR,LHX8,BMPR1A,CLOCK,BDNF,BMPR2,SLC5A7,PRIMA1,BMP5",True
tRF-18-F8DHXYD9,23.17395558896154,20.71279984592308,-0.1619817379180919,0.4109096859481566,0.9999450191425834,False,False,,False
tRF-23-EXEY0VWUD2,130.05006316192308,140.6861946046154,0.1134136653400856,0.4109096859481566,0.9999450191425834,False,False,"BDNF,NR1D2,BMPR2,LIFR",True
tRF-18-D112Z4DZ,11.47314779296154,9.424361824410258,-0.2837944320534613,0.4109096859481566,0.9999450191425834,False,False,,False
