tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
tRF-18-WB0Q37DW,7.606462553727272,12.0588186774,0.6647910049489512,0.0120065719260904,0.9367856015834578,False,False,,False
tRF-19-F6RE9825,27.21960098872728,18.706281335720004,-0.5411231281280617,0.0148170331707593,0.9367856015834578,False,True,"SMAD2,CHAT",True
tRF-22-12Z4R95MJ,139.44811831454547,89.05383193623999,-0.6469788709243556,0.0191909293689048,0.9367856015834578,False,False,,False
tRF-20-W47W1R7H,19.745602764545453,27.4922910112,0.4774957268322586,0.0213999145573442,0.9367856015834578,False,False,,False
tRF-22-9N1EWJQ72,15.730729457727271,32.41316023708001,1.0429941159736629,0.0246707445801208,0.9367856015834578,False,False,"NR1D2,NTRK2",False
tRF-18-YMEMXZ01,15.965319485545452,14.04785537268,-0.1845915262474942,0.0246707445801208,0.9367856015834578,False,False,,False
tRF-21-9NH5SYNXD,13.373255144727272,9.92109992352,-0.4307786883363937,0.0246707445801208,0.9367856015834578,False,False,,False
tRF-22-Z8R3WE8ZJ,14.982738405636365,10.88403667968,-0.4610876066297815,0.0301344613979566,0.9367856015834578,False,False,,False
tRF-19-PR183OJX,10.42663955409091,15.492368978519998,0.5712835067914153,0.0301344613979566,0.9367856015834578,False,False,,False
tRF-22-18YKISQI3,51.40587881,98.85541212916,0.9433865962788976,0.0377066050363177,0.9367856015834578,False,False,"BMP2,SMAD2",False
tRF-21-JYSWRYVMD,14.52671603190909,24.56475348208,0.7578811627306963,0.0377066050363177,0.9367856015834578,False,False,"NTRK2,BMP7",False
tRF-18-W9RKM80E,18.94486812672727,33.281749806120004,0.8129241885202072,0.0421145854879413,0.9367856015834578,False,False,,False
tRF-20-73VL4YMY,16.88358201881818,38.90137729208,1.2042002157861766,0.0421145854879413,0.9367856015834578,False,False,"NR1D2,NTRK2,SMAD2",False
tRF-21-MNH5SYNXD,19.907392488454544,15.43192273268,-0.3673864412718406,0.0473194397407574,0.9367856015834578,False,False,,False
tRF-21-73V2Y8L9E,16.668143307363636,24.531271272399994,0.5575285908946999,0.0473194397407574,0.9367856015834578,False,False,"NR1D2,SMAD2",False
tRF-22-UJJKIWRNK,20.746141004545454,15.903248163000002,-0.3835215460852108,0.0473194397407574,0.9367856015834578,False,False,"SMAD2,NKX2-1,RORB,GBX2,ARNTL2,NPAS2",True
tRF-18-8R6Q46D2,78.70738850363637,117.7010080724,0.5805556992572098,0.0473194397407574,0.9367856015834578,False,False,,False
tRF-18-HSQSD2D2,81.76956471727273,59.6379096292,-0.4553342699564231,0.0572284702363874,0.9367856015834578,False,False,,False
tRF-18-YSQSD2D2,457.8208234272728,366.319310524,-0.3216813289013931,0.0572284702363874,0.9367856015834578,False,False,NTRK1,False
tRF-21-9N15WV7W0,46.05649846363636,37.3022634588,-0.30414155733075,0.0572284702363874,0.9367856015834578,False,False,"NR1D2,NTRK2,ARNTL2",False
tRF-23-W47W1R7HX,22.097250651818182,28.8377237092,0.3840904105598204,0.0572284702363874,0.9367856015834578,False,False,,False
tRF-18-MBQ4NKDJ,75.11729011000001,103.4003637352,0.4610243375111933,0.0658268331908983,0.9367856015834578,False,False,,False
tRF-23-1SS2PMFI0Q,27.23335325454545,20.89460050324,-0.382244457835049,0.0658268331908983,0.9367856015834578,False,False,,False
tRF-23-9KIWRNL3DJ,152.83000760454544,97.97666743868,-0.6414177130114185,0.0703410177662617,0.9367856015834578,False,False,"NTRK2,BMP7",False
tRF-18-F8DHXYD9,24.441272443636365,23.4774876372,-0.0580413639978507,0.0703410177662617,0.9367856015834578,False,False,,False
tRF-21-WB0Q37Q5D,61.76858412727274,71.0406166432,0.2017708432462317,0.0703410177662617,0.9367856015834578,False,False,,False
tRF-23-9NS334L2DB,10.708367503727272,22.41626632436,1.0658074441989045,0.0703410177662617,0.9367856015834578,False,True,"CHAT,RORA",True
tRF-21-83ML5F82D,15.462150718272728,13.35728479068,-0.2111142328624762,0.0778848860213775,0.9367856015834578,False,False,,False
tRF-19-B1RHODE2,9.510469558818182,11.49275667916,0.2731364097598905,0.0778848860213775,0.9367856015834578,False,False,,False
tRF-23-9M739P8WD8,21.364515506,32.167128855760005,0.5903705703197151,0.0778848860213775,0.9367856015834578,False,False,,False
tRF-20-8W1W188M,23.94559167754545,20.159080387360003,-0.2483302561393454,0.0857438480369187,0.9367856015834578,False,False,,False
tRF-21-RE987S1RD,86.75934937727273,49.83520896756,-0.7998538561088555,0.0857438480369187,0.9367856015834578,False,False,,False
tRF-23-VF4YO9XED2,11.720882736454548,14.477808264959998,0.3047619876208807,0.0857438480369187,0.9367856015834578,False,False,"CLOCK,SMAD2",False
tRF-23-739P8WQ07,8.576239467727273,16.7610260356,0.96669337239292,0.0857438480369187,0.9367856015834578,False,False,,False
tRF-19-RQ59WIK4,14.066666647272728,12.48409352888,-0.1721894253659415,0.0857438480369187,0.9367856015834578,False,False,,False
tRF-18-NBRRX30K,12.784366055636363,8.74428244712,-0.5479687157103843,0.0921520971413003,0.9367856015834578,False,False,,False
tRF-18-HRF8X7D2,52.43693923000001,49.10580309664,-0.0946899515558268,0.1020780815487351,0.9367856015834578,False,False,"SMAD2,BMPR1A,ARNTL2",False
tRF-19-BZOS4YE2,251.43850137363637,201.3616762928,-0.3204164467204382,0.1169763290502021,0.9367856015834578,False,False,"LHX6,BDNF,SMAD2",False
tRF-22-EXEY0VWUJ,173.82387924272732,307.15047361480003,0.8213193203336662,0.1169763290502021,0.9367856015834578,False,False,"BDNF,NR1D2,BMPR2,LIFR",True
tRF-21-V47PU9XWE,8.51897903018182,16.866054940599998,0.9853701151167852,0.1169763290502021,0.9367856015834578,False,False,"BMP2,SMAD2",False
tRF-22-VF4YO9XEJ,118.4934261163636,139.85898119959998,0.2391658788254123,0.1239856081428416,0.9367856015834578,False,False,"CLOCK,SMAD2",False
tRF-18-73V2Y8DM,11.254882656909093,15.40724390488,0.4530577958392068,0.1239856081428416,0.9367856015834578,False,False,"NR1D2,SMAD2",False
tRF-21-W3FJHPEZE,66.76930731545454,68.8787186354,0.0448732308761599,0.1239856081428416,0.9367856015834578,False,False,,False
tRF-20-Z3M8ZLSS,10.027699197636364,23.47356102644,1.2270460954640847,0.1239856081428416,0.9367856015834578,False,False,ARNTL,False
tRF-18-J0DPZODE,22.657599109090903,17.97435935844,-0.3340546443626095,0.1239856081428416,0.9367856015834578,False,False,"SMAD2,BMPR2,STAT5B,BMP5,NTRK2,CLOCK,KLF7,STAT5A",True
tRF-19-4PW3FJF2,26.290577244545453,18.61890920712,-0.4977772638226705,0.1239856081428416,0.9367856015834578,False,False,,False
tRF-18-JB5Y130K,31.99686442090909,20.1679421384,-0.6658666488094527,0.1239856081428416,0.9367856015834578,False,False,"SMAD2,IL6ST",False
tRF-20-RE987S1R,18.698835421545457,16.2158758482,-0.2055414722928192,0.1239856081428416,0.9367856015834578,False,False,,False
tRF-18-W3FJIKW,10.713033458454545,14.71295283484,0.4577197736498446,0.1239856081428416,0.9367856015834578,False,False,,False
tRF-22-R2Z4R95MJ,145.20077301545456,93.8355529218,-0.6298425863982589,0.1239856081428416,0.9367856015834578,False,False,,False
tRF-20-F6RE987S,17.525222815454548,14.4953483902,-0.2738427783143971,0.1239856081428416,0.9367856015834578,False,True,"SMAD2,CHAT",True
tRF-18-EY0VWUD2,330.8526929,287.1120026864,-0.2045753785727324,0.1354234567199952,0.9367856015834578,False,False,"NTRK1,KLF4",False
tRF-20-9N1EWJQ7,30.362253897636364,39.4421464824,0.3774591757174299,0.1467077447333284,0.9367856015834578,False,False,"NR1D2,NTRK2",False
tRF-18-8R6546D2,199.4106274327273,277.1742458892,0.4750509141847843,0.1467077447333284,0.9367856015834578,False,False,,False
tRF-23-RPFQRDWXDD,35.01937542863636,32.23599728912,-0.1194807364858041,0.1467077447333284,0.9367856015834578,False,False,SMAD2,False
tRF-18-83ML5F04,31.77450239363636,23.16590518636,-0.4558664765516607,0.1467077447333284,0.9367856015834578,False,False,,False
tRF-19-S8V0J8HW,11.116192288363637,16.4590547042,0.5662187839127046,0.1467077447333284,0.9367856015834578,False,False,,False
tRF-18-H6QE3005,16.227463700454546,12.7023362458,-0.3533436634638391,0.1467077447333284,0.9367856015834578,False,False,,False
tRF-20-DWY2MJ8F,119.57417980363635,89.2747129772,-0.4215823998731034,0.1574936682981568,0.9367856015834578,False,True,"SMAD2,SLC5A7,LHX8,RORA,BMPR2,LIF,LIFR,RORB,BMPR1B,ARNTL2",True
tRF-19-J6K6UDE2,31.265173803090907,29.05822058592,-0.1056101766530117,0.1574936682981568,0.9367856015834578,False,False,BDNF,False
tRF-20-J9ZH0SR9,10.797889461,13.9713550922,0.371722602634883,0.1574936682981568,0.9367856015834578,False,False,"SMAD2,CLOCK,RORB",False
tRF-23-INVDRI2QD1,75.70110188181818,69.8362715036,-0.1163377629677198,0.1711515871857428,0.9367856015834578,False,True,"SMAD2,BMPR1A,BMPR2,SLC5A7,RORA,BMPR1B",True
tRF-22-WB0Q37Q52,77.67129619818182,96.78706832839998,0.3174327603970521,0.1711515871857428,0.9367856015834578,False,False,,False
tRF-22-Z3M8ZLSSP,10.630201917272728,22.44430049228,1.0781801327059828,0.1711515871857428,0.9367856015834578,False,False,ARNTL,False
tRF-23-DRFU8U767,21.604080395545456,27.4672103412,0.3464065709429826,0.1711515871857428,0.9367856015834578,False,False,SMAD2,False
tRF-20-RXSINHZ4,21.656268110272723,19.38269169476,-0.1600157204769603,0.1711515871857428,0.9367856015834578,False,False,NTRK2,False
tRF-18-40KK5Y04,82.7210740890909,60.28752435544,-0.4563954305823525,0.1797136455335108,0.9367856015834578,False,False,"ARNTL2,NKX2-1,RORB",False
tRF-19-9N1EWJI5,39.7884351209091,55.56784911479999,0.4819012394871409,0.1797136455335108,0.9367856015834578,False,False,"NR1D2,NTRK2",False
tRF-18-H5KQBFD2,83.45525300454545,81.020271242,-0.0427199464639711,0.1797136455335108,0.9367856015834578,False,False,,False
tRF-21-5BF900BYD,711.2845654181818,570.0279788439999,-0.319394124770417,0.1947248980308589,0.9367856015834578,False,False,"SMAD2,KLF7,BMPR1B,RORA,BMPR1A,BMPR2,CNTF",True
tRF-19-BX1WZ42E,50.60178769,45.55830889360001,-0.1514741584360868,0.1947248980308589,0.9367856015834578,False,True,"SMAD2,IL6ST,BCHE",True
tRF-18-XSXMSL00,13.615519482000002,17.08701139608,0.3276480569480906,0.1947248980308589,0.9367856015834578,False,False,,False
tRF-21-Z3M8ZLSSE,23.00829452272727,24.49257751908,0.090190557875343,0.1947248980308589,0.9367856015834578,False,False,ARNTL,False
tRF-21-J9ZH0SR90,11.132132930545454,12.297228078879998,0.1436031126437842,0.1947248980308589,0.9367856015834578,False,False,"SMAD2,RORB,CLOCK,IL6R",True
tRF-20-I8W47W1R,11.485735111,49.49577265572,2.1074621173218104,0.2087483662926963,0.9367856015834578,False,False,ARNTL,False
tRF-18-9N1EWJDW,24.35827747090909,36.7025868404,0.591469634765085,0.2087483662926963,0.9367856015834578,False,False,"NR1D2,NTRK2",False
tRF-18-KK5Y930K,18.96470576090909,15.68764930016,-0.2736877989331816,0.2087483662926963,0.9367856015834578,False,False,,False
tRF-18-S5S8R6D2,22.140917070909094,18.73962904864,-0.240622584302363,0.2087483662926963,0.9367856015834578,False,False,,False
tRF-20-B2JK7PP9,25.04764213181818,19.73518395628,-0.3439048342387103,0.2087483662926963,0.9367856015834578,False,True,"SMAD2,COLQ,RORA,NTRK2,LIFR",True
tRF-18-H9R8B7D2,631.2049569,545.7780087192,-0.2097942703708479,0.2087483662926963,0.9367856015834578,False,False,,False
tRF-18-4PW3FJDD,21.22042617581818,18.225220748,-0.2195173416889941,0.2087483662926963,0.9367856015834578,False,False,,False
tRF-20-U0EZY9X1,20.94085517136364,38.9680375256,0.8959709181093212,0.2087483662926963,0.9367856015834578,False,False,"SMAD2,NTRK2,RORA,BMP3",True
tRF-21-OB9ZFH69B,41.54769750818182,45.86714436332,0.142692561765183,0.2087483662926963,0.9367856015834578,False,False,"SMAD2,RORA,CLOCK,BMPR2,BMP5,NR1D2,LHX8,KLF7,LIFR,ARNTL2,BMP2,BMP3,KLF4,LIF,BMPR1A,PCYT1A,RORB",True
tRF-21-YDZDL9X1B,282.49911382727265,236.5373465212,-0.2561783554679726,0.2087483662926963,0.9367856015834578,False,False,"LHX6,SMAD2,CLOCK,NR1D2",True
tRF-18-LY7L73DD,18.199239840181814,15.11736969088,-0.267671048828058,0.2243205958690485,0.9367856015834578,False,False,"BMP1,BMP4",False
tRF-22-WR645J7KQ,77.77021036090909,71.00215023928,-0.1313549250786527,0.2243205958690485,0.9367856015834578,False,False,,False
tRF-18-PS5P4P0K,76.35022273000001,61.99521693,-0.3004754530439113,0.2243205958690485,0.9367856015834578,False,False,,False
tRF-20-S8V0J8O9,15.295694867363636,12.47714146904,-0.2938381999480044,0.2243205958690485,0.9367856015834578,False,False,,False
tRF-21-NONU3INDD,119.16951043090909,190.163472208,0.6742249820207284,0.2243205958690485,0.9367856015834578,False,False,"LHX6,SMAD2,NR1D2,CNTF",True
tRF-18-BX1WZ4DZ,16.179237893272727,12.35202375824,-0.3893962200268754,0.2243205958690485,0.9367856015834578,False,True,"SMAD2,IL6ST,BCHE",True
tRF-20-2YU04DYJ,60.82052923727274,53.8883194272,-0.1745857749814217,0.2396558135532812,0.9367856015834578,False,False,"SMAD2,ARNTL,ARNTL2",False
tRF-22-40KK5Y935,13.017072968363635,14.36432186216,0.1420848058586643,0.2396558135532812,0.9367856015834578,False,False,,False
tRF-19-73V2Y81W,27.955562425454545,44.555101312400005,0.6724552516027851,0.2396558135532812,0.9367856015834578,False,False,"NR1D2,SMAD2",False
tRF-19-OSM83OJX,37.56123867854546,58.7772670656,0.6460136399880811,0.2396558135532812,0.9367856015834578,False,False,,False
tRF-19-3L7L731D,16.908148867636363,12.494858396079998,-0.4363841682418869,0.2396558135532812,0.9367856015834578,False,False,,False
