miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
hsa-miR-129-1-3p,1001.3790116824562,901.5245854247524,-0.1515493818485325,0.005409361490983922,0.8680057213458328,False
hsa-miR-412-5p,20.198130635456142,14.062059865534655,-0.5224138342582929,0.005455720363769956,0.8680057213458328,False
hsa-miR-129-2-3p,1187.025810540351,1074.8731362277229,-0.14318491183098203,0.008456187433273588,0.8680057213458328,False
hsa-miR-21-5p,30390.99945842105,27403.139690099008,-0.14930292291615643,0.009260760051634342,0.8680057213458328,False
hsa-miR-6505-5p,39.91411789473685,36.84847212910891,-0.11529432654786209,0.010132362505982484,0.8680057213458328,False
hsa-miR-127-5p,918.7967816263158,862.7536128019801,-0.09079719323873903,0.010132362505982484,0.8680057213458328,False
hsa-miR-493-5p,13.14685873836842,11.695827839217822,-0.16872414818396608,0.018003873789900315,0.9854121783017723,False
hsa-miR-124-3p,5467.244092736842,5795.23566720792,0.0840535424943134,0.022725829188243507,0.9854121783017723,False
hsa-miR-153-5p,30.20102854868421,34.37831872168317,0.18690130737950028,0.027614344426027726,0.9854121783017723,False
hsa-miR-98-5p,8640.878276105264,7974.899886128714,-0.11571155029916369,0.027614344426027726,0.9854121783017723,False
hsa-miR-455-3p,82.66221777666665,96.72753115891088,0.22669850564412108,0.028509949056910955,0.9854121783017723,False
hsa-miR-671-3p,114.2092452654386,104.81282147633665,-0.1238642331787645,0.030873459717685736,0.9854121783017723,False
hsa-miR-380-5p,52.50853926982457,46.71600947237624,-0.16863501897786204,0.0327864732192672,0.9854121783017723,False
hsa-miR-4742-3p,13.251750033631577,11.742116017287131,-0.1744904790507782,0.033409414325709985,0.9854121783017723,False
hsa-miR-369-5p,129.83525031526315,141.4938361540594,0.12405707809181354,0.03399268079414475,0.9854121783017723,False
hsa-miR-93-3p,22.622367268105265,24.10896556239604,0.09181984600643833,0.03446523843056337,0.9854121783017723,False
hsa-miR-7-5p,61784.86474701755,59898.89070891089,-0.04472418330804295,0.035050437613825314,0.9854121783017723,False
hsa-miR-181d-5p,176.70182649473688,165.86557528356437,-0.09130246056410662,0.03648007097213546,0.9854121783017723,False
hsa-miR-26a-5p,40113.953120175436,41455.63812346535,0.047464180241348686,0.0378911416698019,0.9854121783017723,False
hsa-miR-655-3p,38.92124125249123,35.3241971180297,-0.13990095041720796,0.038372721969830215,0.9854121783017723,False
hsa-miR-374a-3p,791.0349457385964,761.7818612158416,-0.05436349408155472,0.042851715595470186,0.9854121783017723,False
hsa-miR-146b-5p,722.0363344649121,679.018771790099,-0.08861997954627832,0.04601278327758229,0.9854121783017723,False
hsa-miR-224-5p,16.532416703333336,16.368005410009903,-0.014419105700369528,0.04621194138259099,0.9854121783017723,False
hsa-miR-199a-5p,18.206008939017543,20.773790551623765,0.19034979170804522,0.05198457335577977,0.9854121783017723,False
hsa-miR-24-2-5p,109.39740059385967,116.43141069792077,0.08990186047181581,0.05787724834620789,0.9854121783017723,False
hsa-miR-130b-5p,133.75138101438597,126.4324164221782,-0.08118737949647681,0.06293838477344593,0.9854121783017723,False
hsa-miR-1-3p,2130.9981634736846,2092.1528782,-0.026541073456899156,0.0638853632574854,0.9854121783017723,False
hsa-miR-3912-3p,11.699831902964911,12.655936508990099,0.11332646530279078,0.0638853632574854,0.9854121783017723,False
hsa-miR-216b-5p,42.754528203263156,43.54955875361386,0.026580875112914626,0.07064106343697563,0.9854121783017723,False
hsa-miR-200a-3p,122.910181587193,109.25111059118811,-0.16995648458364787,0.07462481861850634,0.9854121783017723,False
hsa-let-7f-5p,234802.055947193,213116.20471089112,-0.13980474541251908,0.07875162024931237,0.9854121783017723,False
hsa-miR-125b-5p,106801.63587999999,112156.95595633665,0.07058535396713594,0.0800382500088398,0.9854121783017723,False
hsa-miR-126-3p,15181.19444877193,15685.630105970291,0.04715817897028174,0.0808217471899001,0.9854121783017723,False
hsa-miR-101-3p,65745.11561403508,62937.33122445544,-0.06296771226312892,0.0808217471899001,0.9854121783017723,False
hsa-miR-6747-3p,39.15457640115789,35.12806109940595,-0.1565569911867506,0.08221756593709051,0.9854121783017723,False
hsa-miR-744-3p,29.37830041298246,32.45988573474257,0.14390698549118763,0.08663212048199986,0.9854121783017723,False
hsa-miR-6516-3p,39.18936600947369,35.700654834158414,-0.13451169683745512,0.08717923473484657,0.9854121783017723,False
hsa-miR-143-3p,20043.347235964917,19863.938055346534,-0.012971790841923792,0.08809640924737061,0.9854121783017723,False
hsa-miR-151a-5p,11393.623045982456,9498.274411762377,-0.26248923867653673,0.08883503827706618,0.9854121783017723,False
hsa-miR-151b,9676.29156466842,7954.4776183207905,-0.2826870511941575,0.08883503827706618,0.9854121783017723,False
hsa-miR-511-5p,32.94193619173684,28.556017504059408,-0.20613056182662337,0.08947891848625822,0.9854121783017723,False
hsa-miR-381-3p,824.7698303280702,830.7881830207922,0.010489135096934277,0.0910226001563812,0.9854121783017723,False
hsa-miR-1226-3p,54.63786910350878,50.401927867722755,-0.11642230140749987,0.09185715466611533,0.9854121783017723,False
hsa-miR-345-5p,61.01768228350877,64.75500256534653,0.08576426953864136,0.09431594399317467,0.9854121783017723,False
hsa-miR-375,279.9088864964912,172.86895960702967,-0.6952784484999546,0.09431594399317467,0.9854121783017723,False
hsa-miR-542-3p,146.8527752145614,136.3627691167327,-0.10692072820624343,0.09678877987761014,0.9854121783017723,False
