tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
tRF-18-XSXMSL00,12.232923696555558,16.279280606098364,0.4122676947427122,0.008029648747221452,0.8671393434406521,False
tRF-20-W47W1R7H,23.01335926518518,28.620338685344265,0.314569155177975,0.010441158432192732,0.8671393434406521,False
tRF-21-9M739P8W0,9.338956776185185,11.724994733065573,0.3282539692927,0.011357288830616707,0.8671393434406521,False
tRF-18-W9RKM80E,22.269245939259257,31.50844194585246,0.5006857088643075,0.011704096900785887,0.8671393434406521,False
tRF-19-2LNOZ7I2,26.14546028648148,13.394187535819674,-0.9649533959279784,0.01717711406782141,0.8671393434406521,False
tRF-23-FSXMSL730H,11.124625645666665,13.612069847590163,0.29112967051043315,0.02021051444217481,0.8671393434406521,False
tRF-18-EY0VWUD2,383.1888380592593,266.502603087541,-0.5239059125941967,0.022729005211018505,0.8671393434406521,False
tRF-22-8BWS72092,22.073611207407406,20.350435333262293,-0.11726301479848988,0.022729005211018505,0.8671393434406521,False
tRF-19-BZOS4YE2,288.68281030740735,198.25709687313116,-0.5421126944650316,0.027651557804195925,0.8671393434406521,False
tRF-21-73V2Y8L9E,17.573165788740738,23.053098905737713,0.3915865826589515,0.029884791914234654,0.8671393434406521,False
tRF-22-9M739P8WM,8.117241186333333,11.1492312782459,0.4578828562094932,0.0323814527782601,0.8671393434406521,False
tRF-19-S8V0J8HW,13.775906046222222,17.144934155688524,0.3156351552008885,0.033490034500931576,0.8671393434406521,False
tRF-19-69M8LOJX,48.12684125444444,68.15210367524591,0.5019164529894296,0.03466178747918047,0.8671393434406521,False
tRF-23-4PW3FJHPW,21.02662413166666,25.88085162811476,0.29966785006796837,0.036137809402006504,0.8671393434406521,False
tRF-20-RLXN48Z8,10.134867714037037,14.95006099242623,0.5608241121972943,0.03860400299907418,0.8671393434406521,False
tRF-22-83ML5F923,10.981703208518516,14.642587293524588,0.4150686686216627,0.04173125334470995,0.8671393434406521,False
tRF-22-BZBZOS4Y1,57.10245269222223,36.59498161363935,-0.6419068935472136,0.04292286056759598,0.8671393434406521,False
tRF-18-4E6L1F0P,34.51805995040741,30.037141711081965,-0.20060384699915268,0.04651130522851521,0.8671393434406521,False
tRF-21-YDU37Y93E,25.575002773037042,29.77131696295082,0.21918864559700868,0.057250862808150504,0.8671393434406521,False
tRF-22-DWY2MJ8F5,37.674090524814815,27.742737529508197,-0.44146253132548274,0.05819167960395788,0.8671393434406521,False
tRF-21-OB9ZFH69B,82.09622493925926,49.303187026475406,-0.7356349761261747,0.06163238899808998,0.8671393434406521,False
tRF-18-69M8LO04,20.45471207881482,28.37834553018033,0.4723572521581749,0.06628285211187734,0.8671393434406521,False
tRF-20-BE7XO8Q6,63.099903108888896,34.59242358462295,-0.8671816958129694,0.06827078779475737,0.8671393434406521,False
tRF-23-INVDRI2QD1,84.87021615407409,66.8733586794754,-0.34382677408544726,0.06827078779475737,0.8671393434406521,False
tRF-22-7O58J0K8O,23.421873448185185,17.44874637288525,-0.4247330895551231,0.06989583926340515,0.8671393434406521,False
tRF-21-739P8WQ0B,11.22117649211111,13.495259328655738,0.26622875605109186,0.0704477912258411,0.8671393434406521,False
tRF-19-9M739PJK,16.629475789185182,23.0756297304918,0.47262732806139685,0.07701640397506437,0.8671393434406521,False
tRF-19-MBQ4NK12,17.396840696444443,13.854261669065574,-0.3284955055873464,0.07701640397506437,0.8671393434406521,False
tRF-21-PS5P4PW3B,13.158503673074074,17.768999356295083,0.43336699821154623,0.07874041647797292,0.8671393434406521,False
tRF-19-BE7XO8I5,70.00773742888889,35.65060522791803,-0.9735878120974402,0.07874041647797292,0.8671393434406521,False
tRF-23-S3M8309NS,60.580785073703694,61.566597791311466,0.02328757221217348,0.08091752633484639,0.8671393434406521,False
tRF-18-H5KQBFD2,113.49506849851852,81.7519262409836,-0.4733049830479201,0.08451291898627278,0.8671393434406521,False
tRF-23-79MP9PMNDD,11.412965262666667,14.533200678295083,0.3486787912872438,0.08911255807546925,0.8671393434406521,False
tRF-23-J9ZH0SR9D7,21.335801264962967,19.7928643845082,-0.10829588040681593,0.08911255807546925,0.8671393434406521,False
tRF-23-O045DBNIR,32.741833292222225,24.27710160691803,-0.43153891247124765,0.09131582594624377,0.8671393434406521,False
tRF-18-MBQ4NKDJ,101.55914226185186,94.46734688114755,-0.10443246984487597,0.09131582594624377,0.8671393434406521,False
tRF-22-V29K9UV34,18.990467640703702,22.33981501901639,0.2343418075598347,0.10126621705734751,0.8671393434406521,False
tRF-19-2DN1RJKJ,12.28434913748148,14.308169832081969,0.22001772642923934,0.10509521387802712,0.8671393434406521,False
tRF-20-JMRPFQJD,16.85027567377778,19.690746470704926,0.2247456100718006,0.10776576569084184,0.8671393434406521,False
tRF-18-UIX1Q7DR,98.3440008337037,60.341054240442624,-0.7046971455638875,0.10776576569084184,0.8671393434406521,False
tRF-20-S998LO9D,18.86959707885185,26.089366196196718,0.467398278866475,0.11521778029995666,0.8671393434406521,False
tRF-23-9NS334L2DB,34.54134348425925,31.447531912606557,-0.13537740259051034,0.11798625103670946,0.8671393434406521,False
tRF-23-WPMN1E8Y0E,21.757417558407404,20.842303951983613,-0.061992564747735734,0.12317432329441924,0.8671393434406521,False
tRF-18-W3FJIKW,15.133242390592592,15.278927591098364,0.013822158967833342,0.12317432329441924,0.8671393434406521,False
tRF-19-RXSINHKN,10.054160144777777,11.660141577409837,0.21379273196530368,0.126144853943304,0.8671393434406521,False
tRF-19-OB9ZFHIW,26.678416807925924,15.693849754590163,-0.7654737607038316,0.13084665850093802,0.8671393434406521,False
tRF-19-Z3M8ZL2J,64.37576947462964,75.33879600544263,0.22687520603970057,0.13084665850093802,0.8671393434406521,False
tRF-21-JMRPFQRDE,108.3031800048148,135.17190937786884,0.31971976639582067,0.13203692756596397,0.8671393434406521,False
