tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
tRF-19-BE7XO8I5,45.06789852359375,29.58599988927659,-0.6071855267491486,3.9590179024614976e-08,1.5796481430821372e-05,True,True,"SMAD2,RORA,BMPR2,LIFR,BMP5,CLOCK,LHX8,NR1D2,SLC5A7,KLF7,ARNTL2,KLF4,BMPR1B,NTRK2,LIF,BMP3",True
tRF-23-OB9ZFH69U,88.74947472578125,69.71355275893617,-0.3482994282995646,8.511775954484786e-06,0.0016980993029197,True,False,"SMAD2,RORA,CLOCK,BMPR2,NR1D2,BMP5,LHX8,KLF7,LIFR,ARNTL2,BMP2,BMP3,KLF4,LIF,BMPR1A,PCYT1A,RORB",True
tRF-18-W9RKM80E,22.9452817305,41.56763485659575,0.8572631420668033,8.307317435420692e-05,0.0110487321891095,True,False,,False
tRF-20-BE7XO8Q6,40.5939749475,30.285844588872337,-0.4226219703880716,0.0002872243215953,0.0286506260791342,True,True,"SMAD2,RORA,BMPR2,LIFR,BMP5,CLOCK,LHX8,NR1D2,SLC5A7,KLF7,ARNTL2,KLF4,BMPR1B,NTRK2,LIF,BMP3,IL6ST",True
tRF-22-INVDRI2Q2,58.9351331596875,43.2456051103617,-0.4465744037070758,0.000451274715249,0.0314794662618063,True,True,"SMAD2,BMPR1A,BMPR2,SLC5A7,RORA,BMPR1B",True
tRF-20-OB9ZFH69,56.1977817915625,42.129291696382985,-0.4156895256660542,0.0004733754325083,0.0314794662618063,True,False,"SMAD2,RORA,CLOCK,BMPR2,BMP5,NR1D2,KLF7,LHX8,LIFR,ARNTL2,BMP2,KLF4,BMP3,LIF,BMPR1A,PCYT1A,RORB",True
tRF-23-Q9B1XSRI0J,47.01126603014063,88.88561303125532,0.9189433909040492,0.0006307614279667,0.0359534013941059,True,False,"RORB,SMAD2,GBX2",False
tRF-21-OB9ZFH69B,55.40296829015625,46.34654977972341,-0.2575013297849153,0.0008036643072191,0.0400827573225565,True,False,"SMAD2,RORA,CLOCK,BMPR2,BMP5,NR1D2,LHX8,KLF7,LIFR,ARNTL2,BMP2,BMP3,KLF4,LIF,BMPR1A,PCYT1A,RORB",True
tRF-21-YO0Y3KQ9D,21.33592446585937,28.83858566919149,0.4347157896840619,0.0010189872033623,0.045175099349063,True,False,"SMAD2,BMPR2,RORB",False
tRF-23-32VIJMRP9,11.914530260203126,16.800549224936173,0.4957863235081747,0.0016909083260328,0.0625526376310619,True,False,,False
tRF-20-9NS334L2,11.030014388078126,15.375089083170211,0.4791600965912472,0.0017245088068713,0.0625526376310619,True,True,"CHAT,RORA",True
tRF-20-9M739P8W,27.183757321125,41.57460906742554,0.6129578194375558,0.0034203212698835,0.1074690381323414,False,False,,False
tRF-22-7O58J0K8O,18.564090053234374,13.863795890106385,-0.4211922813878823,0.0041727487888896,0.1074690381323414,False,False,"SMAD2,IL6ST,BMPR2",False
tRF-23-DWY2MJ8F02,21.054457035953124,15.973391189829783,-0.3984550380293594,0.0042264878349024,0.1074690381323414,False,True,"SMAD2,SLC5A7,LHX8,RORA,BMPR2,LIF,LIFR,RORB,BMPR1B,ARNTL2",True
tRF-22-DWY2MJ8F5,32.5351712823125,24.47115849593618,-0.4109177467972866,0.0043788746746249,0.1074690381323414,False,True,"SMAD2,SLC5A7,LHX8,RORA,BMPR2,LIF,LIFR,RORB,BMPR1B,ARNTL2",True
tRF-22-BE7XO8Q62,78.70701478000001,59.58011654510638,-0.4016612763191176,0.0047735817810798,0.1074690381323414,False,True,"SMAD2,RORA,BMPR2,LIFR,BMP5,CLOCK,NR1D2,LHX8,SLC5A7,KLF7,ARNTL2,KLF4,BMPR1B,NTRK2,LIF,IL6ST,BMP3",True
tRF-21-2Q2RJO01B,16.891281533171878,13.908389592297874,-0.2803234043195353,0.0049879303400888,0.1074690381323414,False,False,,False
tRF-19-Z3M8ZL2J,53.77706277481251,84.17022955055319,0.6463190924340445,0.0051474403809494,0.1074690381323414,False,False,ARNTL,False
tRF-23-INVDRI2QD1,67.66598422375,58.42476938504254,-0.2118506370036685,0.0051474403809494,0.1074690381323414,False,True,"SMAD2,BMPR1A,BMPR2,SLC5A7,RORA,BMPR1B",True
tRF-18-ME6KM80E,76.18428767406249,102.24209295659574,0.4244238839283873,0.0053869192046286,0.1074690381323414,False,False,SMAD2,False
tRF-23-3JVIJMRP9,77.22369839090625,126.64450915497876,0.7136689739225162,0.006321005891734,0.120099111942947,False,False,,False
tRF-23-2IUIX1Q7DR,34.11606913379688,24.12668784985107,-0.4998215546982223,0.008057567861153,0.1404883789444164,False,False,"SMAD2,BMPR2,LIFR,KLF4",True
tRF-19-S8V0J8HW,14.939217497328125,18.800484573340423,0.3316652640971682,0.0085799753540598,0.1404883789444164,False,False,,False
tRF-18-HSRVK7D2,38.95400736821875,55.6540791792766,0.514715681889431,0.0090078615588441,0.1404883789444164,False,False,,False
tRF-20-JMRPFQJD,16.44080042596875,19.98544605378724,0.281669233699553,0.0094102551482777,0.1404883789444164,False,False,,False
tRF-22-WB8HWKS52,13.70853650503125,11.104964587531914,-0.3038697679010438,0.0094102551482777,0.1404883789444164,False,False,,False
tRF-20-B2JK7PP9,19.255334365468748,24.370530566595747,0.3398794845706447,0.0098009733756476,0.1404883789444164,False,True,"SMAD2,COLQ,RORA,NTRK2,LIFR",True
tRF-20-8B3VMKNR,15.398393163984377,20.01438436753192,0.3782574275645451,0.0102109348104964,0.1404883789444164,False,False,"BMPR2,ARNTL2",False
tRF-18-B4ZPEKD5,17.92972629653125,13.238362216574467,-0.4376288149076179,0.0102109348104964,0.1404883789444164,False,True,"SMAD2,LHX8,ARNTL2,BMPR2,SLC5A7,RORA,LIFR,NR1D2,CLOCK,LIF,BMPR1A,BMPR1B",True
tRF-18-UIX1Q7DR,70.61967658462501,54.46032937840425,-0.3748645061445064,0.0137919138978799,0.1719679264141903,False,False,"LHX6,SMAD2,CLOCK",False
tRF-22-73V2Y8L95,19.216895918890625,23.615260129851062,0.29734410912683,0.0137919138978799,0.1719679264141903,False,False,"NR1D2,SMAD2",False
tRF-20-9N1EWJQ7,34.49228335459375,41.75257858638298,0.2755916624309211,0.0137919138978799,0.1719679264141903,False,False,"NR1D2,NTRK2",False
tRF-22-S3M8309NF,28.426469486687505,22.306958615787234,-0.3497411036781956,0.0153119747709789,0.1840603411911968,False,False,,False
tRF-20-NONU3IND,40.679917830171874,33.09913799270213,-0.2975231199484787,0.0166069480774012,0.1840603411911968,False,False,"LHX6,SMAD2,NR1D2,CNTF",True
tRF-19-7P59N3K5,22.120171731093752,28.045838248085108,0.3424241176039047,0.0166069480774012,0.1840603411911968,False,False,"RORA,BMPR2",False
tRF-19-V29K9U2Y,76.12036758765625,65.12425930648936,-0.2250874695170717,0.0166069480774012,0.1840603411911968,False,False,"BMPR1A,RORA,BDNF,SMAD2",True
tRF-23-V29K9UV3D9,23.25136208635937,19.907870563170214,-0.2239763210547334,0.0191699430735699,0.2012844022724844,False,False,"RORA,BMPR1A,BDNF,SMAD2",True
tRF-18-BS5EOBD3,15.887704505640622,9.24233230761702,-0.7815818280583646,0.0191699430735699,0.2012844022724844,False,False,,False
tRF-20-RPM830MM,29.96673034034375,34.53247771008511,0.2045921709971603,0.02116227104245,0.2104425276432186,False,False,,False
tRF-20-1SS2PMFI,24.12827578973437,24.841172990361702,0.0420084746263764,0.02116227104245,0.2104425276432186,False,False,,False
tRF-22-08F4BDNZ5,12.789655928078126,9.55536952448936,-0.4205938816590184,0.0221518450150756,0.2104425276432186,False,False,,False
tRF-18-BX1WZ4DZ,14.06890494025,10.10118221212766,-0.4779858885384547,0.0221518450150756,0.2104425276432186,False,True,"SMAD2,IL6ST,BCHE",True
tRF-21-B4ZPEK45B,83.858953152375,57.908056312808526,-0.5342007470102681,0.023192937310457,0.2124141350933771,False,True,"SMAD2,LHX8,ARNTL2,BMPR2,SLC5A7,RORA,LIFR,NR1D2,LIF,CLOCK,BMPR1A,BMPR1B",True
tRF-20-DWY2MJ8F,109.5941744196875,84.29780278489362,-0.378604179493605,0.0238201517856883,0.2124141350933771,False,True,"SMAD2,SLC5A7,LHX8,RORA,BMPR2,LIF,LIFR,RORB,BMPR1B,ARNTL2",True
tRF-20-VMMV5BU6,20.6006409018125,24.45454250323404,0.2474132534583493,0.0247345268728482,0.2124141350933771,False,False,,False
tRF-20-ML5F82NZ,8.99961566671875,11.66469875944681,0.3742137534136622,0.0252927728224856,0.2124141350933771,False,False,,False
tRF-22-YDU37Y93Q,50.51167204842187,41.73139379,-0.2754836928789572,0.0263157780111708,0.2124141350933771,False,False,"SMAD2,NR1D2,RORA",False
tRF-21-JMRPFQRDE,105.12541708328123,123.44414350191488,0.2317468686933717,0.0277039468951781,0.2124141350933771,False,False,,False
tRF-22-S8V0J6OZQ,14.18505672865625,19.77509284438298,0.4793125479635076,0.0283748182895744,0.2124141350933771,False,False,,False
tRF-23-40KK5Y930K,19.4994524335,16.177441873127666,-0.2694501185409343,0.0283748182895744,0.2124141350933771,False,False,"NKX2-1,ARNTL2,RORB",False
tRF-23-9M739P8WD8,24.225430370359376,38.5655883412766,0.6707918245640796,0.0283748182895744,0.2124141350933771,False,False,,False
tRF-20-Z3M8ZLSS,15.54815348534375,22.89126168506383,0.5580537267268619,0.0289148032591142,0.2124141350933771,False,False,ARNTL,False
tRF-22-76DRR4KR5,20.704432413703127,17.536284370361702,-0.2395965550513858,0.0289148032591142,0.2124141350933771,False,False,"SMAD2,CNTFR,RORB,BMPR2,BMP5,KLF7,NR1D2,CLOCK",True
tRF-19-9M739PJK,15.558891759031251,25.09756812785107,0.6898082759565138,0.0301039032221135,0.2124141350933771,False,False,,False
tRF-18-3FPD4805,12.2284485235625,16.171531011553192,0.4032148954367627,0.0301039032221135,0.2124141350933771,False,False,,False
tRF-22-8BWS72092,22.835950933078124,19.43662494753192,-0.2325291421579018,0.0301039032221135,0.2124141350933771,False,False,"SMAD2,ARNTL2,BMP8B,BMP5,IL6ST",True
tRF-19-VMMV5B2V,14.32971544884375,17.92230940310638,0.3227465880840769,0.0315549544895513,0.2124141350933771,False,False,,False
tRF-23-BE7XO8Q6DI,48.99233732192187,32.208658522744685,-0.6051075469024036,0.0315549544895513,0.2124141350933771,False,True,"SMAD2,RORA,BMPR2,LIFR,BMP5,CLOCK,NR1D2,LHX8,SLC5A7,KLF7,ARNTL2,KLF4,BMPR1B,NTRK2,LIF,IL6ST,BMP3",True
tRF-18-XSXMSL00,14.23710156684375,16.677886382404253,0.2282809972310384,0.0324743414553784,0.2124141350933771,False,False,,False
tRF-22-MEF91SS2M,11.688920866765624,19.440272109085107,0.7339066678317083,0.0324743414553784,0.2124141350933771,False,False,,False
tRF-20-J9ZH0SR9,16.462066508875,15.05638850031915,-0.1287696913346008,0.0324743414553784,0.2124141350933771,False,False,"SMAD2,CLOCK,RORB",False
tRF-20-Q89P9L84,17.762525829843753,22.486496549702128,0.3402221558610856,0.0343395402005414,0.2157631624746291,False,False,"BMPER,BMP1,SMAD2",False
tRF-22-BZBZOS4Y1,45.625002269484376,32.261577730319146,-0.5000076364130059,0.0343395402005414,0.2157631624746291,False,False,"NR1D2,LIFR,SMAD2,RORB",True
tRF-23-17NSRJ7K05,18.92780457209375,28.24237945923404,0.5773545595984277,0.0349075674336983,0.2157631624746291,False,False,,False
tRF-19-RQ59WIK4,9.240322084734377,13.07604220570213,0.5009108939859876,0.0356901471762544,0.2157631624746291,False,False,,False
tRF-18-S3M83004,77.9731542771875,65.75293139893617,-0.2459222834867338,0.0356901471762544,0.2157631624746291,False,False,,False
tRF-22-9N1EWJQ72,28.718801330890628,32.66108138253191,0.1855770231582543,0.0370551609770959,0.2176327894553386,False,False,"NR1D2,NTRK2",False
tRF-20-B4ZPEK45,488.55038508078127,381.7250061787233,-0.3559736593697575,0.0374521392622307,0.2176327894553386,False,True,"SMAD2,LHX8,ARNTL2,BMPR2,SLC5A7,RORA,LIFR,NR1D2,LIF,CLOCK,BMPR1A,BMPR1B",True
tRF-18-4PW3FJDD,13.357080553359376,17.675925799234044,0.4041810664708403,0.0384349909266875,0.2176327894553386,False,False,,False
