tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
tRF-19-BE7XO8I5,47.5760557,29.46601768,-0.691183576,3.29e-05,0.013261928,True,True,"SMAD2,RORA,BMPR2,LIFR,BMP5,CLOCK,LHX8,NR1D2,SLC5A7,KLF7,ARNTL2,KLF4,BMPR1B,NTRK2,LIF,BMP3",True
tRF-22-DWY2MJ8F5,35.54628766,25.02605725,-0.506267879,0.000162947,0.02529235,True,True,"SMAD2,SLC5A7,LHX8,RORA,BMPR2,LIF,LIFR,RORB,BMPR1B,ARNTL2",True
tRF-20-JMRPFQJD,15.68292151,21.76947355,0.473112181,0.000188281,0.02529235,True,False,,False
tRF-20-OB9ZFH69,55.2018434,40.9397558,-0.431213948,0.000462489,0.042165286,True,False,"SMAD2,RORA,CLOCK,BMPR2,BMP5,NR1D2,KLF7,LHX8,LIFR,ARNTL2,BMP2,KLF4,BMP3,LIF,BMPR1A,PCYT1A,RORB",True
tRF-18-W9RKM80E,20.41436626,35.82892481,0.811539969,0.000523143,0.042165286,True,False,,False
tRF-23-Q9B1XSRI0J,41.77735629,87.58113103,1.067898881,0.000652856,0.043850152,True,False,"RORB,SMAD2,GBX2",False
tRF-18-UIX1Q7DR,89.00148791,50.96536288,-0.804312361,0.001000604,0.050405402,True,False,"LHX6,SMAD2,CLOCK",False
tRF-20-NONU3IND,47.44840871,31.88504589,-0.573479746,0.001200607,0.050405402,True,False,"LHX6,SMAD2,NR1D2,CNTF",True
tRF-23-OB9ZFH69U,91.42369919,71.14909717,-0.361722744,0.001362487,0.059575241,True,False,"SMAD2,RORA,CLOCK,BMPR2,NR1D2,BMP5,LHX8,KLF7,LIFR,ARNTL2,BMP2,BMP3,KLF4,LIF,BMPR1A,PCYT1A,RORB",True
tRF-20-BE7XO8Q6,44.57318712,34.26610386,-0.379393959,0.001478294,0.059575241,True,True,"SMAD2,RORA,BMPR2,LIFR,BMP5,CLOCK,LHX8,NR1D2,SLC5A7,KLF7,ARNTL2,KLF4,BMPR1B,NTRK2,LIF,BMP3,IL6ST",True
tRF-21-YO0Y3KQ9D,17.18800584,27.88243478,0.697954375,0.004018033,0.147206114,False,False,"SMAD2,BMPR2,RORB",False
