tRF,LA2CN2_1,LA2CN2_2,LA2CN2_3,LA2CN2_4,LA2CO2_1,LA2CO2_2,LA2CO2_3,LA2CO2_4,LA5CN2_1,LA5CN2_2,LA5CN2_3,LA5CN2_4,LA5CO2_1,LA5CO2_2,LA5CO2_3,LA5CO2_4
tRF-16-026ZEDD,5.244167413,1.174999992,6.483369712,10.86019083,1.59654389,4.643319322,11.04055578,6.003871038,2.434302321,2.74313177,3.012054634,0.629039421,0.756730267,2.215657879,0,1.62712457
tRF-16-04SXQ3E,0,0,0,0,0,0,0,0,1.21715116,0,0,0.629039421,1.513460534,0.738552626,0,0.813562285
tRF-16-078SUXD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-07QSNHD,0,1.174999992,2.593347885,4.34407633,3.193087779,1.16082983,1.380069473,2.401548415,7.302906963,2.74313177,2.409643707,1.258078841,7.567302671,5.169868384,7.281427681,8.135622848
tRF-16-085830E,0,0,0,0,0,0,0,0,0,0,0,0.629039421,0.756730267,0.738552626,0,0
tRF-16-08F4BDD,10.48833483,5.874999961,12.96673942,17.37630532,12.77235112,16.25161763,15.1807642,13.20851628,3.651453481,3.291758124,6.024109267,1.887118262,2.270190801,2.954210505,2.912571072,3.254249139
tRF-16-08P2B5D,1.311041853,3.524999977,2.593347885,5.430095413,4.789631669,2.321659661,1.380069473,3.602322623,0.60857558,0.548626354,1.80723278,0.629039421,3.783651335,2.215657879,2.912571072,0
tRF-16-08P2F5D,36.70917189,39.94999974,27.23015279,30.40853431,43.10668502,35.98572475,26.22131998,26.41703257,22.51729647,21.94505416,18.0723278,20.12926146,33.29613175,42.0974997,39.31970948,42.30523881
tRF-16-08Q2B5D,4136.337047,4480.27497,3538.623189,3415.530015,3392.655765,3361.763189,2964.389228,3387.384039,1227.496945,1210.818363,1164.460321,1138.561351,1797.234384,1756.278145,1875.695771,2029.837901
tRF-16-08R959D,1.311041853,0,0,0,0,1.16082983,0,0,0,0,0.602410927,0,0.756730267,0,0,0.813562285
tRF-16-08R9D9D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0DFKN50,0,0,0,2.172038165,0,0,0,1.200774208,0,0,0,1.258078841,0,1.477105253,0,0
tRF-16-0HJBRRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0HLBRRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0HLBRRE,0,0,0,0,0,0,0,0,0,0,0.602410927,0,0,0,0,0
tRF-16-0L9RQ40,0,0,1.296673942,1.086019083,0,0,1.380069473,0,0.60857558,0,1.204821853,1.258078841,0.756730267,2.954210505,2.912571072,0.813562285
tRF-16-0MXZU50,0,0,0,3.258057248,0,0,0,0,0,1.097252708,0,0,0,0,0,0
tRF-16-0NL7250,0,1.174999992,0,0,0,0,0,0,0.60857558,0,0,0,0,1.477105253,0,0
tRF-16-0NL725B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-0P5830E,40.64229745,44.64999971,53.16363164,51.04289688,44.70322891,41.7898739,24.84125051,67.24335562,79.11482543,89.4260957,81.32547511,110.710938,42.37689495,67.208289,50.96999376,51.25442394
tRF-16-0PRMQ0E,0,0,1.296673942,1.086019083,0,0,0,0,1.825726741,0.548626354,1.204821853,0.629039421,0,2.215657879,1.456285536,0.813562285
tRF-16-0RSSX7D,1.311041853,1.174999992,0,1.086019083,0,1.16082983,1.380069473,0,0.60857558,0.548626354,0.602410927,1.887118262,1.513460534,0,0,0
tRF-16-0RYNURD,1.311041853,0,1.296673942,0,1.59654389,0,1.380069473,1.200774208,0,0.548626354,1.80723278,1.887118262,0.756730267,0,1.456285536,0.813562285
tRF-16-0UFMQKE,0,0,0,0,0,0,0,0,0,0.548626354,0,0,0,0,0,0
tRF-16-0UQ2B5D,7.866251119,7.049999954,5.18669577,6.516114495,1.59654389,4.643319322,5.520277891,2.401548415,3.042877901,0,0,1.258078841,3.026921068,1.477105253,0,5.694935993
tRF-16-0VL8K80,0,1.174999992,0,1.086019083,0,0,0,0,0,0,0,0,0,0,1.456285536,0
tRF-16-113KYOE,0,0,0,0,0,1.16082983,0,0,0,0,0,0,0,0,0,0
tRF-16-113KYUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-113KYUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1293WEE,1.311041853,23.49999985,23.34013096,21.72038165,17.56198278,25.53825627,11.04055578,20.41316153,8.520058123,12.61840614,8.433752974,10.06463073,9.080763205,9.601184142,1.456285536,12.20343427
