,LFC
COLQ,-0.11344218585652929
CHAT,-0.23028837287355072
PRIMA1,0.20672784586081733
ACHE,0.318115799184578
SLC18A3,-10.814576207770795
BCHE,0.10886593361879841
SLC5A7,-0.13462486032618298
STAT5A,0.3423030722221699
BMP1,0.21059447242082538
STAT1,-0.20057969412104815
STAT3,-0.00805309345970795
BMP6,-0.05934101465854712
BMPER,-0.09852191298240795
LIFR,-0.04087275894192749
NKX2-1,0.4149306323367175
BMP2K,-0.03484176450389355
RORB,-0.1293648526540829
KLF4,0.632429081913927
BMP3,-0.2472722988645595
BMP5,-0.0344295206134373
CNTFR,0.1446266189312857
KLF16,0.32048763451906637
BDNF,0.017036017433659904
GBX2,-0.049739752096262815
BMP8A,0.1664674090580793
BMPR2,0.13844404158590898
LHX8,0.40748301198260106
BMP8B,-0.18140115942743085
LHX6,0.06446627701450909
BMP4,-0.0964299908219971
ARNTL2,-0.056897588290791445
NTRK1,-0.10281504433979423
LIF,2.99363107084312
NGF,0.5634023524632938
NGFR,0.901023413048231
RORA,0.006329555649867432
BMP10,-0.1809592891899322
SMAD2,0.03271163110746676
IL6R,0.000825057749264005
KLF7,-0.006593473532420878
NPAS2,0.05697546677091215
BMPR1B,-0.19829435141644758
NR1D1,0.24611713571252491
GBX1,-0.20831669654504678
CLOCK,0.009287518225711748
BMP15,-1.0325115789244352
RORC,-0.5614896431039792
NR1D2,0.045560177062328594
ARNTL,0.006452849179748484
BMPR1A,0.05981152868192766
STAT5B,0.12142856841840971
IL6ST,0.09516425468024023
BMP7,0.0675669596753252
BMP2,0.24666437235085464
NTRK2,-0.08428006815249295
IL6,-1.16453252689836
CNTF,0.07718940633573067
PCYT1A,-0.022076528972862282
