,LFC
COLQ,-0.13073031332010565
CHAT,-1.0253400512130717
PRIMA1,0.6518669668556528
ACHE,0.29092686732818973
SLC18A3,0.0
BCHE,0.6526222795472335
SLC5A7,0.7441884377566199
STAT5A,-1.70023359380776
BMP1,0.2528149418225106
STAT1,-0.17307894984076597
STAT3,0.05075506604676283
BMP6,0.09980782322041384
BMPER,-0.2284495394851062
LIFR,-0.21979192138928896
NKX2-1,1.1082158495608512
BMP2K,-0.16957156519772984
RORB,0.16430179950768048
KLF4,0.7101683603208451
BMP3,-0.1951471784235048
BMP5,-0.27922216041939946
CNTFR,0.3125901128021469
KLF16,0.04985368681214294
BDNF,-0.6939004263872847
GBX2,-0.550424929645459
BMP8A,0.02848894721530472
BMPR2,0.1109736097936788
LHX8,2.727344405931487
BMP8B,-1.1352124991065613
LHX6,-0.048767809779873814
BMP4,0.9374843714456462
ARNTL2,-0.3788074075132425
NTRK1,0.037617541853120384
LIF,16.203114836221484
NGF,0.6735210420496909
NGFR,1.144164767887793
RORA,0.2468564256052477
BMP10,-0.9186461611878636
SMAD2,-0.046608140212221066
IL6R,-0.5945101058869007
KLF7,0.007333585692985027
NPAS2,-0.10185628760943125
BMPR1B,0.1790166125103796
NR1D1,0.39572960721932776
GBX1,0.05425982407267319
CLOCK,0.08843947059037081
BMP15,2.050647653250383
RORC,-3.893661855449915
NR1D2,0.03840335585906556
ARNTL,0.03317851397114651
BMPR1A,0.02229103117494321
STAT5B,0.1435037338497639
IL6ST,0.08303859639247983
BMP7,-0.202512971147267
BMP2,-0.14058101971665513
NTRK2,-0.013757517480671038
IL6,1.6591555565688698
CNTF,-0.33371774274834337
PCYT1A,0.002140715541599298
