,LFC
COLQ,-0.1847511578980406
CHAT,-0.610286542970536
PRIMA1,0.3453628640758347
ACHE,0.033477209625981386
SLC18A3,0.0
BCHE,0.00494879955326082
SLC5A7,-0.3279839375585724
STAT5A,0.16338924996665496
BMP1,0.14624472176346462
STAT1,0.19553292523737625
STAT3,0.20128614615964624
BMP6,-0.08479431368870212
BMPER,0.15315226764122394
LIFR,0.06388144649276759
NKX2-1,2.1185398985600123
BMP2K,0.14103227072350968
RORB,-0.22374435130863105
KLF4,0.14292682602651818
BMP3,-0.8283836836992011
BMP5,-0.31316795588028784
CNTFR,-0.03156985112246758
KLF16,0.3667459521775788
BDNF,-0.5421401906625415
GBX2,1.2510771964303957
BMP8A,0.3469471264031121
BMPR2,0.11554562294582932
LHX8,16.984145513934
BMP8B,0.12434308356660537
LHX6,-0.1813489869417564
BMP4,-0.423070651473823
ARNTL2,0.05706823685172006
NTRK1,0.2648231716546888
LIF,2.2093948578780678
NGF,0.09396970598249624
NGFR,0.004749202871729622
RORA,0.07408744789414236
BMP10,0.0
SMAD2,0.1648396071013458
IL6R,0.14118982065686733
KLF7,0.07854214866464267
NPAS2,0.22283648495381747
BMPR1B,0.1838335877137519
NR1D1,0.3457702393662914
GBX1,0.212826379240506
CLOCK,0.02981042484051463
BMP15,0.0
RORC,0.4458265236405788
NR1D2,0.06832905598115054
ARNTL,-0.005753286716777477
BMPR1A,0.06647629653817795
STAT5B,0.13187042667693927
IL6ST,0.030598297246824394
BMP7,0.05268577902303943
BMP2,0.056319999237453185
NTRK2,0.051886334828356674
IL6,0.1155909523214957
CNTF,0.14629388270308585
PCYT1A,0.048862826638311194
