,LFC
COLQ,-0.07075925252924564
CHAT,-0.03203710413538953
PRIMA1,0.3073579911039994
ACHE,0.375141061744701
SLC18A3,0.0
BCHE,-0.40932307815682945
SLC5A7,0.10757072426232148
STAT5A,0.19744233832932837
BMP1,0.3292421836061221
STAT1,0.13424550450363357
STAT3,0.5128309050728147
BMP6,0.1859390385961771
BMPER,-0.03759352963240749
LIFR,0.10818095266573031
NKX2-1,-0.5131242090837017
BMP2K,0.10546025221860635
RORB,0.01962834122354401
KLF4,0.7363023259658914
BMP3,-0.2379982880117809
BMP5,-0.384432161424974
CNTFR,0.02998099568669928
KLF16,0.21662528198124778
BDNF,-0.628475164597674
GBX2,1.8551874910158181
BMP8A,-0.2089198271229056
BMPR2,0.12998130377559405
LHX8,-0.8964470500444959
BMP8B,0.20214115926052614
LHX6,-0.18948015007036448
BMP4,-0.3706362029861705
ARNTL2,-0.08318626392575022
NTRK1,-0.22148507695508338
LIF,17.661005745142987
NGF,0.4354753334533407
NGFR,0.4088744042208228
RORA,0.00552403941992006
BMP10,0.0
SMAD2,0.13554999832607906
IL6R,0.32139729595715577
KLF7,0.07959499911248823
NPAS2,-0.08285458697588723
BMPR1B,-0.22869847578781496
NR1D1,0.23137030538760017
GBX1,0.2649066453698898
CLOCK,-0.12520365632462227
BMP15,2.2168453634991714
RORC,0.319203444464391
NR1D2,0.2460235826126614
ARNTL,-0.0036115794548400963
BMPR1A,0.2333459462838668
STAT5B,0.20537537920301344
IL6ST,0.17194295170114723
BMP7,0.21754547649619282
BMP2,0.18486040240406906
NTRK2,0.16000854691064426
IL6,16.289992470477124
CNTF,0.4935948502926203
PCYT1A,-0.019719573303532918
