,LFC
COLQ,-0.15285010695223722
CHAT,0.9657846544779053
PRIMA1,-0.17382189563257244
ACHE,0.18160198946446973
SLC18A3,0.0
BCHE,0.2554167664564817
SLC5A7,-0.8364133166562292
STAT5A,0.2369301568875793
BMP1,0.25993085867999605
STAT1,-0.10795783618637929
STAT3,0.058583885684921164
BMP6,0.11934608399640731
BMPER,-0.18745992019811575
LIFR,-0.006928781224165386
NKX2-1,18.020233929947988
BMP2K,-0.03878710266213122
RORB,-0.03421467512606108
KLF4,-0.9465773808420882
BMP3,-0.32021611234188635
BMP5,-0.9309285484797118
CNTFR,0.11499050203969641
KLF16,-0.036130986018893904
BDNF,-0.3820573170425182
GBX2,-16.48003413962321
BMP8A,0.05977597893424938
BMPR2,0.14021870327886526
LHX8,-18.695971463189725
BMP8B,-0.9326061902764748
LHX6,-0.273883566698577
BMP4,-0.14761261055868546
ARNTL2,-0.20340019107117344
NTRK1,-0.8049061190728186
LIF,0.0
NGF,0.006599803821495631
NGFR,0.45081043824165073
RORA,0.16430165572378064
BMP10,0.0
SMAD2,-0.04275457442801497
IL6R,0.024317648605766098
KLF7,0.0013440174661826592
NPAS2,-0.035939256439783365
BMPR1B,-0.05807954153524208
NR1D1,0.0431133893229397
GBX1,0.3223057210517181
CLOCK,-0.06480200311747597
BMP15,0.0
RORC,-0.4401426442777455
NR1D2,0.05188158378964755
ARNTL,0.030479852292265932
BMPR1A,0.06322523191706468
STAT5B,0.05863556792607186
IL6ST,-0.01844483466388342
BMP7,-0.2446126307957322
BMP2,-0.24313657894074223
NTRK2,0.10329043233033065
IL6,16.38323362272005
CNTF,-0.18150421811673487
PCYT1A,-0.035035237388162846
