,LFC
COLQ,-0.21484763643907748
CHAT,20.609782235761738
PRIMA1,0.659764533186622
ACHE,0.2961214713251273
SLC18A3,0.0
BCHE,0.014843839960187824
SLC5A7,2.1501200173985766
STAT5A,1.736115169443626
BMP1,0.2828885143484622
STAT1,-0.0965818191877306
STAT3,-0.09144734035291507
BMP6,-0.8958440549553874
BMPER,-0.20800524816674296
LIFR,-0.04419787020544435
NKX2-1,1.2540666855747542
BMP2K,-0.34188068373978164
RORB,0.4510639067033607
KLF4,1.037895855049777
BMP3,0.23884374210051273
BMP5,0.4719268754236149
CNTFR,0.16027973597311132
KLF16,0.23752102181243115
BDNF,-0.6820107932954044
GBX2,1.0990330530981982
BMP8A,0.265561579602881
BMPR2,0.07352248542318537
LHX8,0.0
BMP8B,-0.4924997652306504
LHX6,-0.11950364854128556
BMP4,-0.2658101565579683
ARNTL2,-0.4031171345401632
NTRK1,-0.31166961239859026
LIF,0.0
NGF,0.6115513603101321
NGFR,-0.7658997592943493
RORA,0.3947670091251435
BMP10,0.0
SMAD2,-0.08699389418515344
IL6R,-0.17521577159362903
KLF7,-0.05166700554255488
NPAS2,-0.16152766539092403
BMPR1B,-0.12903270911519016
NR1D1,0.08825329472770445
GBX1,-1.2328368732093598
CLOCK,0.03665181773562265
BMP15,0.0
RORC,-1.4688936009134743
NR1D2,-0.14712377070919186
ARNTL,0.011376167604303822
BMPR1A,-0.08948544348199658
STAT5B,0.16401680432317728
IL6ST,-0.011368445351028336
BMP7,-0.7959193698564295
BMP2,0.736340277840827
NTRK2,-0.016872307642388975
IL6,0.0
CNTF,0.8755490894115668
PCYT1A,-0.14173955259092905
