,LFC
COLQ,-0.015813795437012727
CHAT,-0.7149676276460967
PRIMA1,-0.13922204059563253
ACHE,0.3233374634638292
SLC18A3,0.0
BCHE,-0.10390232104571495
SLC5A7,-0.7856501712421712
STAT5A,0.48389211401375315
BMP1,0.16873421141867948
STAT1,-0.468488745089994
STAT3,0.11188091501309261
BMP6,-0.1553856859493587
BMPER,-0.3446629043216006
LIFR,-0.02143960203042332
NKX2-1,0.6967336805297409
BMP2K,-0.3433521863051606
RORB,-0.11164690397910493
KLF4,1.0285540458166345
BMP3,0.6285241151226519
BMP5,0.12263926947131357
CNTFR,0.26166333311385814
KLF16,0.05283669354668343
BDNF,-0.7617968259857478
GBX2,-1.7114304810436045
BMP8A,0.10081097892599107
BMPR2,0.14887671332628225
LHX8,0.7177380874235886
BMP8B,-0.6237909012912692
LHX6,0.006460357916079247
BMP4,-0.6349535024793032
ARNTL2,-0.1334881031909407
NTRK1,-0.47521855075349057
LIF,13.28732144980149
NGF,1.0597960516960245
NGFR,-0.18494451691547367
RORA,0.49547779340130726
BMP10,-14.34246987092402
SMAD2,0.0009418034260689923
IL6R,-0.4218399807215042
KLF7,-0.05944366178828991
NPAS2,-0.1307264976099966
BMPR1B,0.37046615299706576
NR1D1,0.052948049488363964
GBX1,0.3548686548931905
CLOCK,-0.016874366243755247
BMP15,0.37479631739320424
RORC,-1.1547058003969832
NR1D2,-0.05734946213790317
ARNTL,-0.07996549354423776
BMPR1A,0.04363841443644241
STAT5B,0.15870664807836987
IL6ST,-0.1314727780123582
BMP7,0.13404706635218663
BMP2,0.8711068238365929
NTRK2,-0.2613990547176349
IL6,0.016393611743282917
CNTF,0.06025968875020256
PCYT1A,-0.13655141153883685
