,LFC
COLQ,-0.019693012852698956
CHAT,-0.2663715355426542
PRIMA1,-0.12586032013459428
ACHE,0.42820947061297565
SLC18A3,0.0
BCHE,0.006982363595086551
SLC5A7,0.8814226115400366
STAT5A,-0.12535938823808465
BMP1,0.41719397987005874
STAT1,-0.37762684376997924
STAT3,0.017432561172157225
BMP6,0.22551296978623855
BMPER,-0.3361319118124457
LIFR,-0.008825402404108671
NKX2-1,3.6665913280916387
BMP2K,-0.2094280526476357
RORB,0.2764348367077285
KLF4,0.5587886005097599
BMP3,0.12950068335014828
BMP5,-0.4136866856525741
CNTFR,0.058079000108457374
KLF16,0.3592608286069088
BDNF,-0.27721644075926627
GBX2,-16.970107620061313
BMP8A,0.2820256460335974
BMPR2,0.1299100888152258
LHX8,-0.23977577911887987
BMP8B,0.05484174368898478
LHX6,-0.3441151658474431
BMP4,0.01776038963659012
ARNTL2,-0.22604695976290257
NTRK1,-0.5966616660291405
LIF,-14.4864350869695
NGF,0.41173082253166154
NGFR,-0.8702768209811331
RORA,0.2537297891273255
BMP10,0.0
SMAD2,-0.04338777686493713
IL6R,0.8647208495841585
KLF7,-0.08956115170721254
NPAS2,-0.048885138689879065
BMPR1B,0.018282117466903048
NR1D1,0.005895232458361215
GBX1,0.005878282237862351
CLOCK,-0.06028738845433631
BMP15,-1.3971280132600477
RORC,-1.4889712288410306
NR1D2,-0.12481963368452544
ARNTL,-0.2176500720193199
BMPR1A,-0.010648841968221493
STAT5B,0.09169259839810535
IL6ST,0.09743904443882324
BMP7,0.24931241741937374
BMP2,-0.1005997012823039
NTRK2,-0.14966748304086566
IL6,2.4865474890717745
CNTF,-0.6998408296794559
PCYT1A,-0.031081753029480127
