,LFC
COLQ,-0.014007529218351246
CHAT,0.043407306331168474
PRIMA1,0.22078820244684508
ACHE,0.5813059350189527
SLC18A3,0.0
BCHE,-0.4865973342152408
SLC5A7,0.24917755001837366
STAT5A,0.4685224070050264
BMP1,0.3358016391890304
STAT1,-0.5615827743670934
STAT3,-0.037031067545656236
BMP6,-0.0016862549698463108
BMPER,-0.18357206299978024
LIFR,0.17543191212438775
NKX2-1,1.3797122580089594
BMP2K,-0.30009372856756994
RORB,0.6232342453146675
KLF4,0.2472361089996912
BMP3,0.5028116524630136
BMP5,-0.3136457302366335
CNTFR,0.6126152608382442
KLF16,0.042043687895801984
BDNF,-0.8477552062330479
GBX2,-0.6166278496706971
BMP8A,0.09304630336703874
BMPR2,0.09262585778647575
LHX8,0.8420731059184317
BMP8B,-0.6206527751858071
LHX6,-0.11629192874004482
BMP4,0.3391214520547634
ARNTL2,-0.5986044171742968
NTRK1,-0.8957659920736061
LIF,0.0
NGF,0.883861909257617
NGFR,1.020139387105346
RORA,0.5636581362717459
BMP10,-0.47757404091843214
SMAD2,-0.12323463547374536
IL6R,-0.6480705271737388
KLF7,-0.2114579870432676
NPAS2,-0.17325849059522783
BMPR1B,0.491853079993448
NR1D1,0.34493823879533836
GBX1,0.2844114176495743
CLOCK,0.018579434189137867
BMP15,-18.001741580481063
RORC,0.23446756337392
NR1D2,0.0992561188186662
ARNTL,0.07014210049316305
BMPR1A,0.047540704877030195
STAT5B,0.18175782817508998
IL6ST,-0.027219627897844333
BMP7,0.5430650466139598
BMP2,-0.17998462370078092
NTRK2,0.036831585005522936
IL6,15.360539689164192
CNTF,0.1814616438178119
PCYT1A,-0.03750673904702357
