,LFC
COLQ,-0.36804341811678215
CHAT,0.5706580212741643
PRIMA1,1.5381671452871941
ACHE,0.13788919504559224
SLC18A3,0.0
BCHE,0.3034946680958754
SLC5A7,-0.5535014330756999
STAT5A,-0.178220762790411
BMP1,0.09178195696128753
STAT1,-0.5913077356989955
STAT3,-0.011727634334450756
BMP6,-0.3484643453121519
BMPER,-0.013122442161793193
LIFR,-0.13366638889795948
NKX2-1,1.160031703866511
BMP2K,-0.3298211713367405
RORB,0.6321710153264724
KLF4,2.896524814572983
BMP3,-0.30284082690888803
BMP5,0.13823557836222658
CNTFR,-0.09281177388917897
KLF16,0.25742203274657055
BDNF,-0.3384756301312222
GBX2,-15.246279495760437
BMP8A,-0.07847469813482208
BMPR2,-0.035030559609584976
LHX8,-0.04651342946273615
BMP8B,-0.40382043649492344
LHX6,-0.02821109848661529
BMP4,-0.20827498853951937
ARNTL2,-0.35604577631112727
NTRK1,-0.13614556663428082
LIF,0.0
NGF,-0.10789374935068032
NGFR,0.5126733012678482
RORA,0.2067961189348535
BMP10,0.0
SMAD2,-0.12933919818576825
IL6R,0.43714134496592916
KLF7,0.11478293280049605
NPAS2,-0.001288534522810196
BMPR1B,-0.20572874740138475
NR1D1,-0.02907436178647402
GBX1,-0.24461218608424737
CLOCK,-0.25761930872087696
BMP15,2.906625037954262
RORC,0.4801111821208018
NR1D2,-0.11968260875550114
ARNTL,-0.1907086542336799
BMPR1A,-0.15393800874094143
STAT5B,-0.1156581764140902
IL6ST,-0.47119351295970463
BMP7,-0.12667441277432376
BMP2,-0.6338355287223659
NTRK2,0.01715627878457054
IL6,0.0
CNTF,0.28426294943941643
PCYT1A,-0.3289868367514483
