,LFC
COLQ,-0.22403630950409067
CHAT,0.7834646881913802
PRIMA1,0.7126626825168632
ACHE,-0.03798569740015897
SLC18A3,0.0
BCHE,0.11167824007059417
SLC5A7,0.3924848064010869
STAT5A,-0.3665320259207622
BMP1,-0.2852093681237432
STAT1,-0.426013753184905
STAT3,0.006778271650683497
BMP6,-0.4371407362381432
BMPER,0.30797128478770797
LIFR,-0.042361924485207016
NKX2-1,-0.1690126703792151
BMP2K,-0.1183938939458811
RORB,0.6746604547688083
KLF4,-0.10651264665860621
BMP3,0.00280170504533053
BMP5,0.07769999057655488
CNTFR,-0.27386633397980953
KLF16,-0.032328950642262995
BDNF,0.4991561780561422
GBX2,0.0
BMP8A,-0.08540058930518306
BMPR2,0.023861417955486856
LHX8,0.2398148184956709
BMP8B,-0.4012181849536649
LHX6,-0.3441236463798587
BMP4,0.685365023099048
ARNTL2,-0.22053642335058002
NTRK1,-0.29835968073623675
LIF,-15.391669687587624
NGF,-0.10845609455360712
NGFR,3.41799994870979
RORA,-0.01831106847203525
BMP10,0.0
SMAD2,-0.11769729573521538
IL6R,-0.20796831672331456
KLF7,-0.16410027226844373
NPAS2,0.04066086276798794
BMPR1B,0.12639176002159933
NR1D1,-0.42053259894753986
GBX1,0.5566934862815406
CLOCK,-0.22672063886170893
BMP15,-16.666129069087496
RORC,-2.3668871635422915
NR1D2,-0.3128258473320838
ARNTL,-0.24681169132222142
BMPR1A,-0.030224713238902343
STAT5B,-0.21663657271435194
IL6ST,-0.4777822369302964
BMP7,-0.05262708672919351
BMP2,0.3582235045359439
NTRK2,-0.08476820750784052
IL6,-17.185747698718938
CNTF,-0.12477759618777533
PCYT1A,-0.2746106148510137
