,LFC
COLQ,0.2624055010661466
CHAT,-18.66463102519678
PRIMA1,0.3426531494969525
ACHE,0.19991675764021952
SLC18A3,0.0
BCHE,0.38794726877700797
SLC5A7,1.2233745028345901
STAT5A,-0.06581311951182722
BMP1,0.29539729447011087
STAT1,0.2900241351043031
STAT3,0.24273561814558545
BMP6,0.04241712938069121
BMPER,0.23096782219186004
LIFR,-0.04065358168425492
NKX2-1,-0.07640625355816587
BMP2K,0.1179479486973095
RORB,-0.4432026623858573
KLF4,0.2006365339064902
BMP3,-1.2569545025529805
BMP5,0.2600041785300888
CNTFR,0.4463978164875422
KLF16,0.1797438483165676
BDNF,-0.41245043880277893
GBX2,-14.268148816801581
BMP8A,0.04570340929567688
BMPR2,0.12015228976825461
LHX8,-15.340028719526723
BMP8B,0.25055529406269156
LHX6,-0.1751693924916464
BMP4,-0.6952185595210053
ARNTL2,-0.2149313560242777
NTRK1,0.0881042720331956
LIF,-16.134125429643685
NGF,-0.005889801794230119
NGFR,0.7899162506803815
RORA,-0.19784660161394133
BMP10,0.0
SMAD2,-0.0475665922370547
IL6R,0.15975587175097325
KLF7,-0.06152253501093035
NPAS2,0.214165100808062
BMPR1B,0.10173329813416995
NR1D1,0.11410249384562968
GBX1,0.2756999866625674
CLOCK,-0.05149823117484896
BMP15,-14.411312952824797
RORC,-0.2325408644771627
NR1D2,0.10451360013451537
ARNTL,0.020216227862138197
BMPR1A,0.1877873581612002
STAT5B,0.14751562881119945
IL6ST,0.22860955358343857
BMP7,1.1313980417410658
BMP2,0.06474854764323161
NTRK2,0.3661439877540233
IL6,-16.836956845174527
CNTF,-0.1655464745680711
PCYT1A,-0.20591435109123826
