,LFC
COLQ,-0.20547779340379912
CHAT,-0.544584986576927
PRIMA1,1.341954801997398
ACHE,-0.08969383935325473
SLC18A3,0.0
BCHE,-0.032495957571504
SLC5A7,-0.49733920187789915
STAT5A,0.02232755260391309
BMP1,-0.14780667503476952
STAT1,-0.3706207863707361
STAT3,0.21892776012106802
BMP6,-0.5768412763319678
BMPER,0.3385110163705534
LIFR,0.027432239129093993
NKX2-1,0.7791987259651817
BMP2K,-0.04577238305749467
RORB,0.25672571914067305
KLF4,1.9937736052124586
BMP3,0.1351932837853067
BMP5,0.18073612025063765
CNTFR,0.26878979746792614
KLF16,0.33896764912868793
BDNF,0.1828797062660967
GBX2,-15.845808808177448
BMP8A,0.6376715363369598
BMPR2,0.052660498716597184
LHX8,2.6214172418359385
BMP8B,-0.5259710261385854
LHX6,-0.258442820847133
BMP4,0.4114341281187074
ARNTL2,0.0963854931306808
NTRK1,-0.5211712968763956
LIF,0.0
NGF,-0.2919560214494654
NGFR,0.4285328889494732
RORA,-0.09069898821387525
BMP10,18.0728926541284
SMAD2,-0.047741118046839726
IL6R,2.295177923232817
KLF7,0.12067128907764696
NPAS2,-0.1834540889553457
BMPR1B,0.0641047517976287
NR1D1,-0.25749287533223786
GBX1,0.6970117559352359
CLOCK,-0.18216168465055105
BMP15,0.10369682438176318
RORC,1.5868939335038847
NR1D2,-0.09805596388970762
ARNTL,-0.01007628425915109
BMPR1A,-0.04330895001734981
STAT5B,0.053460240728254976
IL6ST,-0.22296906263069166
BMP7,0.504512730017043
BMP2,-0.030883275665740523
NTRK2,-0.1380089736071435
IL6,0.3795960427145133
CNTF,-0.13156047535800625
PCYT1A,-0.16902410887976677
