,LFC
COLQ,-0.2958987691175636
CHAT,-20.80457978681668
PRIMA1,0.9453224030198274
ACHE,0.8417332729001488
SLC18A3,0.0
BCHE,-0.2248613312603711
SLC5A7,0.0
STAT5A,0.6805923800833614
BMP1,0.3651632894864684
STAT1,-0.3612562556692424
STAT3,0.11889978731702522
BMP6,0.23354869375081147
BMPER,0.05670908602500601
LIFR,0.25764513511793824
NKX2-1,0.0
BMP2K,-0.07379956196071592
RORB,-0.2620742262320003
KLF4,0.027162652795910375
BMP3,22.92723559812179
BMP5,-0.14940806641354282
CNTFR,0.22836049620931193
KLF16,-0.9702658845522089
BDNF,0.28476850539228993
GBX2,0.0
BMP8A,0.4862884208522542
BMPR2,-0.05217889665963431
LHX8,0.0
BMP8B,-1.5987954812816327
LHX6,-0.7188799425423088
BMP4,0.10737516943060124
ARNTL2,0.2534650672725795
NTRK1,0.04713194033773744
LIF,-0.4121645316933161
NGF,-0.07475658129950939
NGFR,2.555898003755479
RORA,-0.019200329050867347
BMP10,0.0
SMAD2,-0.06893633285182023
IL6R,0.32489215305159574
KLF7,-0.047988501451307286
NPAS2,0.16931774155039309
BMPR1B,-0.2756919258339073
NR1D1,-0.27474894836210334
GBX1,19.730457260636747
CLOCK,0.008454869190522721
BMP15,0.0
RORC,0.0
NR1D2,0.12265242097231863
ARNTL,0.33893910756484597
BMPR1A,-0.07485261597151337
STAT5B,0.14486254045816027
IL6ST,0.24398769807789186
BMP7,0.08039236507724536
BMP2,0.2977180079211305
NTRK2,0.07782561757266598
IL6,0.4737325778320991
CNTF,0.8447491407963484
PCYT1A,-0.06195820936002801
