,LFC
COLQ,-0.221904324438258
CHAT,-0.6966540662767817
PRIMA1,0.6095577781831202
ACHE,-0.18979244902662726
SLC18A3,-1.1170661075519819
BCHE,-0.24979446976890968
SLC5A7,0.16682872502808704
STAT5A,-0.0883613707631327
BMP1,0.11574598954659973
STAT1,-0.34151869589785394
STAT3,-0.03254304807204518
BMP6,-0.007664311741654829
BMPER,-0.21956418187290166
LIFR,0.19438984647837926
NKX2-1,0.24954212075330534
BMP2K,-0.21842950032690114
RORB,0.41240987690086145
KLF4,1.5316040269882045
BMP3,0.14530160735824801
BMP5,0.25654036867697066
CNTFR,0.12261317874268647
KLF16,0.2062732194187194
BDNF,-0.0948467981756045
GBX2,1.515510781709311
BMP8A,-0.05264811014457224
BMPR2,-0.0015942627045480728
LHX8,0.749672445770421
BMP8B,-0.1615940543103225
LHX6,-0.021627764496326248
BMP4,-0.15804366130873304
ARNTL2,-0.36798329476056096
NTRK1,-0.5714995325798621
LIF,0.0
NGF,0.2867795446939941
NGFR,1.1303914240779975
RORA,0.1367957151831
BMP10,0.699056782908079
SMAD2,-0.10776748617013915
IL6R,-0.003674808079883212
KLF7,-0.05016649099463711
NPAS2,0.08733829907572624
BMPR1B,0.04730857996330754
NR1D1,-0.152720286290111
GBX1,0.5973640799408605
CLOCK,-0.11798286197579526
BMP15,-16.09549671068419
RORC,-0.5742811659501609
NR1D2,-0.15628309404831434
ARNTL,-0.13759869865353544
BMPR1A,-0.06631588643155001
STAT5B,0.0070788810040392945
IL6ST,-0.2834813472513876
BMP7,-0.1456323114554884
BMP2,-0.2029724897636378
NTRK2,-0.04029231827117195
IL6,0.26450666972654097
CNTF,-0.30243969533116655
PCYT1A,-0.199358562501437
