,Dementia_n,Dementia_p,Dementia_l
84,NPAS2,1.3272165027907524e-84,0.44068506
90,RORA,1.9135873429198427e-81,0.14502524
161,BMPR1A,2.0222094473285507e-54,0.19367597
167,STAT3,6.81925263513132e-52,0.27946883
398,BMPR2,2.138283910941135e-25,0.15532953
575,NR1D1,1.1101548703869665e-17,0.4608703
1053,NR1D2,9.45550586085232e-09,0.1302047
1304,SMAD2,1.2687332287704157e-06,0.09942796
1566,PCYT1A,4.247273165801506e-05,0.1426343
1739,ARNTL,0.0001818724136461282,0.12915154
1820,BMP1,0.000384088157393288,0.29002222
2422,KLF4,0.015547174983896718,1.5232022
2660,STAT5A,0.0390966285560094,0.39796877
2837,PRIMA1,0.06688464334378724,0.44041646
4389,NGF,0.704668298295934,1.0380857
4418,STAT1,0.7179643716323912,0.046019908
4699,KLF7,0.8622192987188616,0.015830094
5235,STAT5B,1.0,0.025377762
5298,KLF16,1.0,0.27459392
5320,BMP2,1.0,0.47803763
6019,BMP7,1.0,0.016248703
6154,BMP6,1.0,1.0145097
6315,CNTFR,1.0,0.028061576
7920,ACHE,1.0,0.05828805
7977,RORC,1.0,0.79661876
8642,LHX6,1.0,0.25008965
8697,CNTF,1.0,0.15702432
8821,LIF,1.0,1.048228
9028,BMP5,1.0,0.91459537
10183,NTRK1,1.0,-0.025530078
10980,GBX1,1.0,0.31493002
11624,SLC5A7,1.0,0.77658784
11915,BMP8A,1.0,-0.03457794
14301,NKX2-1,1.0,0.19957024
14389,LHX8,1.0,16.009068
15116,BMP8B,1.0,-0.1124449
15397,SLC18A3,1.0,15.100997
16457,BMP3,1.0,0.17912589
19480,BMP10,1.0,-1.4844302
19737,GBX2,1.0,-0.78871506
20000,IL6,1.0,-0.37474552
20975,BMP15,1.0,-2.154596
23122,BCHE,1.0,-0.04830019
23577,NGFR,1.0,0.022555664
23780,CHAT,1.0,-0.5421731
24262,CLOCK,1.0,-0.00072102295
25191,BMP4,1.0,-0.30171013
28856,ARNTL2,1.0,-0.13236591
29049,BMP2K,1.0,-0.023661185
32166,BDNF,0.48620133419951694,-0.9920324
33473,COLQ,0.058286447316676177,-0.12743503
33615,BMPER,0.040532134753508364,-0.1330232
33869,IL6R,0.020182046762107313,-0.10813844
34329,NTRK2,0.0030946685703663428,-0.023201197
34446,RORB,0.001459507360250148,-0.060185418
35270,LIFR,2.469262831154303e-07,-0.082495876
36308,IL6ST,6.155014960732414e-35,-0.23034333
36395,BMPR1B,1.2742677959960556e-46,-0.17429428
