,Dementia_n,Dementia_p,Dementia_l
37,RORA,1.6953498230843603e-42,0.24685642
192,BMPR2,2.630403753562754e-17,0.11097361
688,NGF,1.7613781777882477e-05,0.67352104
715,CLOCK,2.9737927394236363e-05,0.08843947
1221,NR1D1,0.005357723549759537,0.3957296
1354,CNTFR,0.011857721081201984,0.31259012
1766,STAT5B,0.07422161934704136,0.14350374
2303,ACHE,0.3108938705618378,0.29092687
2414,IL6ST,0.37277098092594074,0.0830386
2807,BCHE,0.6135103412693114,0.6526223
2872,BMP4,0.6474774673282988,0.9374844
3217,ARNTL,0.8387207673008079,0.033178516
3319,NR1D2,0.8839749748849444,0.038403355
3651,BMPR1A,1.0,0.02229103
3825,RORB,1.0,0.1643018
4187,STAT3,1.0,0.050755065
4495,BMP8A,1.0,0.028488947
5311,BMP1,1.0,0.25281495
5982,PRIMA1,1.0,0.651867
7690,LHX8,1.0,2.7273445
8641,SLC5A7,1.0,0.7441884
8725,KLF4,1.0,0.71016836
9285,NGFR,1.0,1.1441648
9376,BMPR1B,1.0,0.17901662
9754,GBX1,1.0,0.054259825
9939,NKX2-1,1.0,1.1082158
11295,IL6,1.0,1.6591556
11818,LIF,1.0,16.203115
12031,LHX6,1.0,-0.04876781
12501,BMP15,1.0,2.0506477
12944,GBX2,1.0,-0.55042493
14891,SLC18A3,1.0,0.0
17653,KLF16,1.0,0.049853686
17721,BMP10,1.0,-0.91864616
19416,BMP6,1.0,0.09980782
20752,BMP2,1.0,-0.14058103
20925,CHAT,1.0,-1.0253401
21686,BMP7,1.0,-0.20251296
22956,RORC,1.0,-3.8936617
23064,KLF7,1.0,0.0073335855
23175,NTRK1,1.0,0.03761754
25344,CNTF,1.0,-0.33371773
25806,STAT5A,1.0,-1.7002336
26449,NTRK2,1.0,-0.013757518
26780,BMP8B,1.0,-1.1352125
27388,BMP5,1.0,-0.27922216
28825,PCYT1A,0.8930394948410463,0.0021407155
31700,SMAD2,0.15508850159799673,-0.04660814
33346,BDNF,0.01043577192254138,-0.6939004
33348,STAT1,0.010399549639906146,-0.17307895
33415,BMP3,0.00879976443343988,-0.19514717
34627,IL6R,0.0001294981830450792,-0.5945101
34695,NPAS2,8.534154862749896e-05,-0.10185629
35207,COLQ,1.8499960681679467e-06,-0.13073032
35311,BMP2K,6.687514385700533e-07,-0.16957156
35786,LIFR,2.445452678629577e-10,-0.21979192
36212,ARNTL2,1.1906084091560181e-17,-0.3788074
36383,BMPER,4.5503601216098686e-26,-0.22844954
