,Dementia_n,Dementia_p,Dementia_l
215,NPAS2,3.4681504659836313e-12,0.22283648
295,STAT3,2.2876461553195846e-10,0.20128615
353,RORA,1.874825656025097e-09,0.07408745
384,SMAD2,5.161213436726065e-09,0.16483961
747,BMPER,1.7783922463521536e-06,0.15315227
900,STAT1,5.969552869041554e-06,0.19553292
1164,STAT5B,3.6842611483142066e-05,0.13187043
1584,BMPR2,0.0002397477588301368,0.11554562
1794,BMP2K,0.00048765435149873606,0.14103226
1958,BMP8A,0.0008097417994709776,0.34694713
2700,KLF7,0.0053266227282983,0.07854215
2914,NR1D2,0.00818319951597461,0.06832906
3439,PRIMA1,0.021368721397009263,0.34536287
3664,BMP1,0.02855967165784256,0.14624472
4315,PCYT1A,0.0645595076692117,0.048862826
4431,BMPR1A,0.07284118217462876,0.06647629
4717,BMP8B,0.09630926553346578,0.12434308
5041,NR1D1,0.1306028873263643,0.34577024
5059,LIFR,0.1323384581909061,0.06388145
5097,NTRK2,0.1376978581172478,0.051886335
6465,NGF,0.3763814535191511,0.0939697
6874,BMP7,0.4714760686610387,0.05268578
6926,ARNTL,0.4856510877235765,-0.0057532866
7141,IL6R,0.5446373163022098,0.14118981
7213,CNTFR,0.5660162572039085,-0.03156985
7413,CLOCK,0.6237799808768472,0.029810425
7615,ACHE,0.6865221407226074,0.03347721
8012,STAT5A,0.7996995293156487,0.16338925
8265,KLF16,0.8837151246473898,0.36674595
8430,BMP2,0.9280487137352624,0.05632
8592,IL6ST,0.9770609587975838,0.030598298
8807,ARNTL2,1.0,0.057068236
9628,BMPR1B,1.0,0.18383358
10673,BCHE,1.0,0.0049487995
15332,RORC,1.0,0.44582653
15515,NGFR,1.0,0.004749203
16426,NTRK1,1.0,0.26482317
18615,GBX1,1.0,0.21282639
19200,LHX6,1.0,-0.181349
19361,KLF4,1.0,0.14292683
19567,IL6,1.0,0.11559095
20108,NKX2-1,1.0,2.1185398
20401,CNTF,1.0,0.14629388
20993,BMP6,1.0,-0.08479431
21355,LIF,1.0,2.209395
21978,LHX8,1.0,16.984146
23235,GBX2,1.0,1.2510772
25039,SLC18A3,1.0,0.0
26438,BMP15,1.0,0.0
26525,BMP10,1.0,0.0
27895,BMP5,1.0,-0.31316796
27940,SLC5A7,1.0,-0.32798395
27958,CHAT,1.0,-0.61028653
31396,BMP3,1.0,-0.8283837
33595,RORB,1.0,-0.22374435
33636,BMP4,1.0,-0.42307064
34542,BDNF,1.0,-0.5421402
35880,COLQ,0.5693573566061053,-0.18475115
