,Dementia_n,Dementia_p,Dementia_l
118,BMPR2,1.925861947144747e-16,0.11864389
330,RORA,2.5884590026808904e-06,0.051201157
1065,STAT5B,0.14534587965715665,0.052844774
1196,CNTFR,0.22498456859316499,0.14524598
1400,NR1D2,0.372499024401778,0.04580384
2325,KLF7,1.0,0.06382649
2445,NR1D1,1.0,0.06214209
2639,IL6R,1.0,0.73153955
2672,STAT3,1.0,0.03462886
3427,PRIMA1,1.0,0.567278
3831,BMP1,1.0,0.11344435
3855,CNTF,1.0,0.8801551
3953,BMP6,1.0,0.089540854
3958,LHX6,1.0,0.013729173
4831,RORB,1.0,0.071711086
6328,BMP2,1.0,-0.12540796
6367,SLC5A7,1.0,0.63410413
7062,BMP3,1.0,0.06896157
7748,KLF4,1.0,0.616456
8316,GBX1,1.0,0.53181076
8351,NGFR,1.0,0.3187385
8679,STAT5A,1.0,0.011454618
10941,BMP15,1.0,2.259384
11149,IL6,1.0,1.533721
12982,KLF16,1.0,-0.01575796
13206,BMP10,1.0,0.0
14527,SLC18A3,1.0,0.0
16384,NKX2-1,1.0,-0.05577517
16563,NTRK1,1.0,-0.057935942
16666,GBX2,1.0,1.4983591
17029,LIF,1.0,-14.702928
18968,BMP4,1.0,0.075984724
19672,LHX8,1.0,-2.4048917
20579,CHAT,1.0,-0.64582944
20693,RORC,1.0,-0.60349894
21194,BMP5,1.0,-0.73054105
21922,BMP7,1.0,-0.07545217
24823,BMP8B,1.0,-0.22067851
26264,SMAD2,1.0,-0.0020710358
27285,BMP8A,1.0,-0.26474664
27295,BDNF,1.0,-0.56452936
28319,BMPR1B,1.0,-0.1916797
28398,ACHE,1.0,-0.079142876
30856,BCHE,0.7269087802864067,-0.2602394
31008,NGF,0.664751136190433,-0.07044609
32130,STAT1,0.2783730533262294,-0.15902823
32178,BMPR1A,0.270045980886438,-0.047616053
32271,BMPER,0.24693163836434542,-0.08412644
32304,LIFR,0.2408702441585763,-0.07999531
32437,ARNTL,0.21233278955080376,-0.06829627
33160,PCYT1A,0.08433976464132717,-0.0869599
33530,ARNTL2,0.0417101709737525,-0.13718905
34760,NPAS2,0.0009392452786820163,-0.13738734
34785,BMP2K,0.0008315821194436216,-0.15425235
35525,CLOCK,3.6984525373137634e-06,-0.10378826
35660,IL6ST,7.375056817797843e-07,-0.16745982
36022,COLQ,1.6170387011030487e-09,-0.1985535
36414,NTRK2,5.137667054349115e-18,-0.09343823
