,Dementia_n,Dementia_p,Dementia_l
94,BMPR2,0.12773979063677432,0.26645926
137,NPAS2,0.29994847112913486,0.31705093
198,BMP6,0.7796708182809815,0.27698103
256,STAT3,1.0,0.18117611
286,STAT5B,1.0,0.21019475
351,CLOCK,1.0,0.18802969
824,ARNTL,1.0,0.15547231
1788,IL6ST,1.0,0.08113585
2082,BMP2K,1.0,0.06923555
2119,KLF7,1.0,0.084339544
2554,NGF,1.0,0.18628344
2658,PCYT1A,1.0,0.09340624
2684,LIFR,1.0,0.10923247
2717,BMP1,1.0,0.055937164
4148,LIF,1.0,1.3131312
4552,BMP5,1.0,0.25132084
4630,CNTFR,1.0,0.7301681
5471,KLF4,1.0,-0.0016097648
5503,BMP2,1.0,0.08479936
6116,RORB,1.0,0.054451887
6202,BCHE,1.0,0.30928904
6340,ACHE,1.0,0.292393
6598,BMP7,1.0,0.069745585
7427,STAT5A,1.0,0.16598172
8706,ARNTL2,1.0,0.23567733
8777,NGFR,1.0,0.9121384
9535,BMP8B,1.0,1.2069558
10075,NTRK1,1.0,-0.08861356
10768,BMP3,1.0,1.1282198
12822,RORC,1.0,19.447983
13886,PRIMA1,1.0,-0.11402096
14568,GBX2,1.0,0.0
16113,CHAT,1.0,0.0
16114,SLC18A3,1.0,0.0
16208,BMP10,1.0,0.0
16275,LHX8,1.0,0.0
16361,GBX1,1.0,0.0
19986,NKX2-1,1.0,0.0
20659,BMP15,1.0,0.0
23690,BMP8A,1.0,-0.08559036
23963,LHX6,1.0,-0.20663065
24584,SLC5A7,1.0,-19.093878
26687,SMAD2,1.0,-0.020769268
26713,KLF16,1.0,-0.07876507
27274,BMP4,1.0,-0.13116291
27965,BDNF,1.0,-0.011996031
28990,CNTF,1.0,-0.97891283
31853,IL6,1.0,-1.1887625
32387,BMPR1B,1.0,-0.030123252
34293,IL6R,1.0,-0.0975303
34450,BMPER,1.0,-0.19949429
34648,NR1D1,1.0,-0.17351845
34842,STAT1,1.0,-0.24127197
35146,NTRK2,1.0,-0.13811512
35951,NR1D2,1.0,-0.20876674
35977,RORA,1.0,-0.06117862
36179,COLQ,1.0,-0.5326871
36258,BMPR1A,1.0,-0.14829528
