,Dementia_n,Dementia_p,Dementia_l
50,STAT3,1.0,0.2760675
104,NPAS2,1.0,0.3501249
135,STAT5B,1.0,0.3861153
273,NTRK2,1.0,0.48418176
376,SMAD2,1.0,0.30064124
1449,LIFR,1.0,0.14234541
1538,COLQ,1.0,1.28428
1838,ARNTL,1.0,0.33396184
2009,BMPR1B,1.0,1.3529924
2069,KLF4,1.0,0.22232032
2827,IL6ST,1.0,0.041442454
3344,KLF7,1.0,0.044821184
3346,NR1D1,1.0,0.42565075
3530,CLOCK,1.0,0.062260997
4528,LHX6,1.0,0.12742437
5203,BMP7,1.0,0.66521144
5204,BMPR1A,1.0,0.16552594
5225,IL6,1.0,0.2476979
5885,BCHE,1.0,1.4770547
5955,BMP1,1.0,0.3797244
6580,BMP2,1.0,21.4155
6984,CNTF,1.0,21.511957
7447,BMP4,1.0,0.36827037
8138,ACHE,1.0,-0.15159878
8617,GBX1,1.0,21.827597
8954,CHAT,1.0,21.648024
9688,LIF,1.0,21.61352
9889,BMP5,1.0,22.06336
11073,BMP8A,1.0,-0.1274555
11494,NGF,1.0,0.1758957
12618,SLC18A3,1.0,0.0
13222,SLC5A7,1.0,0.0
13697,BMP10,1.0,0.0
14279,GBX2,1.0,0.0
14294,LHX8,1.0,0.0
14757,BMP8B,1.0,0.0
15195,RORC,1.0,0.0
16452,BMP3,1.0,0.0
17670,NKX2-1,1.0,0.0
20283,NGFR,1.0,0.0
22577,BMP15,1.0,0.0
24715,PRIMA1,1.0,-1.3560083
25162,BDNF,1.0,-0.06830915
25223,IL6R,1.0,-0.023867123
25455,STAT1,1.0,-0.016977688
27592,NTRK1,1.0,-1.7686565
28629,CNTFR,1.0,-0.7578057
29213,STAT5A,1.0,0.1104816
29592,NR1D2,1.0,-0.082006544
32227,RORB,1.0,-0.33704928
33705,PCYT1A,1.0,-0.15002069
34082,BMPER,1.0,-0.23058897
34089,BMP6,1.0,-0.16031983
34580,KLF16,1.0,-0.32794318
35314,ARNTL2,1.0,-0.3057277
35550,BMP2K,1.0,-0.27501172
35714,RORA,1.0,-0.14040431
36138,BMPR2,1.0,-0.1807263
