,Dementia_n,Dementia_p,Dementia_l
104,RORA,4.0264174805357785e-23,0.093524545
243,NTRK2,3.70635489575307e-10,0.08639909
444,BMPR2,0.00021242157896828373,0.050190926
1323,RORB,1.0,0.38997415
1435,NGF,1.0,0.8423747
1677,BMP1,1.0,0.29725486
1791,IL6R,1.0,0.66995597
1805,BMP6,1.0,0.5539363
1922,GBX1,1.0,1.8520155
2459,BMP4,1.0,1.1249381
2566,PRIMA1,1.0,0.64083487
3103,BMP3,1.0,0.07572177
4233,KLF4,1.0,1.7584314
5152,BMP10,1.0,-0.6770152
5291,NKX2-1,1.0,1.5245311
5569,SLC5A7,1.0,-0.090826474
5631,BMP15,1.0,0.898129
6447,IL6,1.0,0.0
7970,LIF,1.0,0.0
9407,SLC18A3,1.0,0.0
9812,BMP7,1.0,0.52209026
10027,LHX8,1.0,0.16021025
11005,GBX2,1.0,-16.436855
12506,RORC,1.0,-1.9076755
13027,STAT5A,1.0,0.42741418
14447,BCHE,1.0,0.09809388
14522,CHAT,1.0,-0.29564857
15457,NGFR,1.0,-0.14862834
16080,LHX6,1.0,0.041207705
16422,BMPER,1.0,-0.033047985
16845,CNTF,1.0,0.037310973
19959,BMPR1B,1.0,0.2529146
21275,BMP8B,0.9990184321201722,-0.47913238
21417,BMP5,0.9683244970704722,-0.36550558
22405,NTRK1,0.729940538686085,-1.01712
22521,BDNF,0.6947762437530329,-0.52001333
23742,KLF7,0.38643396274546404,0.15552634
24086,BMP2,0.314043142214616,-0.5829129
24179,KLF16,0.29430873232311133,0.11143161
25759,NR1D2,0.07022161565502746,-0.05234517
26083,CNTFR,0.0485709547858619,0.027674612
26429,ACHE,0.032141173412447994,-0.057927415
26823,NR1D1,0.01834649314406645,-0.20979078
27784,CLOCK,0.0036226961603544002,-0.116631046
27873,STAT3,0.0031317223929021236,-0.010908075
28504,COLQ,0.0009166359023777128,-0.074783504
28935,STAT5B,0.0004117497768049092,-0.06884454
29100,ARNTL,0.00028379361828005607,-0.08099723
29580,SMAD2,8.909683759081408e-05,-0.14564803
29607,STAT1,8.274011046898635e-05,-0.030998558
30012,PCYT1A,2.844054833238514e-05,-0.10913482
30027,NPAS2,2.734387021600646e-05,-0.15154153
31782,IL6ST,6.856379123212803e-08,-0.16108672
33268,BMP8A,5.468063284547476e-11,-0.40675107
33272,BMPR1A,5.401129107150105e-11,-0.22335269
34163,LIFR,1.6552897533417414e-13,-0.233947
35944,ARNTL2,1.5099775282306862e-25,-0.31724617
36510,BMP2K,1.8362796054783235e-53,-0.48150498
