,Dementia_n,Dementia_p,Dementia_l
68,RORA,6.787175996144147e-237,0.27015162
443,BMPR2,3.215360073948226e-42,0.07794828
811,RORB,2.0368132655024516e-17,0.061056163
1149,ARNTL,9.592645184666163e-08,0.060595248
1956,CLOCK,0.13568140485086053,-0.0038240422
2223,NGF,0.4431082487275485,0.799215
2763,STAT3,0.9777219389915118,0.08058869
2893,ACHE,1.0,0.20179634
3008,BMP6,1.0,0.6282853
3294,SLC5A7,1.0,0.27011612
3355,BMP3,1.0,0.29982236
3829,KLF4,1.0,1.5534137
3845,PRIMA1,1.0,0.66263336
4064,NR1D1,1.0,0.14777298
4245,GBX1,1.0,0.6063278
4336,NKX2-1,1.0,1.3881451
4469,GBX2,1.0,0.34732956
5475,BMP10,1.0,15.38618
5575,BMP15,1.0,0.16733822
6558,LIF,1.0,2.3633091
6858,SLC18A3,1.0,0.0
9831,NGFR,1.0,0.3222634
10763,IL6,1.0,-1.7251542
12635,BMP1,1.0,0.20108174
13231,LHX8,1.0,-1.2296233
13827,CNTF,1.0,0.18201047
14938,BCHE,1.0,0.18599123
15045,BMP2,1.0,0.133172
15933,STAT5A,1.0,-0.027025659
16505,STAT5B,1.0,0.061348274
16801,CHAT,1.0,-1.0487773
17056,IL6R,1.0,0.19854055
17532,NR1D2,0.9519024786599168,-0.008291114
18210,RORC,0.8452024201531516,-0.6089185
19105,LHX6,0.6559343454359685,-0.16024834
19646,BMP7,0.5409408045936045,0.04948063
19769,BMPR1A,0.5119415440805928,-0.014870785
20857,BMP8B,0.2726080648343441,-0.2556694
21311,NTRK1,0.18873387742392414,-0.45604822
21910,BMP5,0.10669418443329641,-0.3340684
22129,CNTFR,0.0825455528475167,0.16798727
22405,KLF16,0.057567298293111545,0.12009395
25232,BMP4,7.321587033185778e-05,-0.3505815
25409,COLQ,3.7759617347551926e-05,-0.037976105
25497,BMPR1B,2.547095985727975e-05,-0.21946792
26294,BMP8A,7.457961169982613e-07,-0.04630328
26840,SMAD2,3.709290184587605e-08,-0.07265734
26889,IL6ST,2.92234610564969e-08,-0.018040681
27758,KLF7,9.446403291309598e-11,-0.06979529
28927,BDNF,7.089586084422471e-15,-0.36296627
29033,LIFR,2.162575671937156e-15,-0.085653305
31267,PCYT1A,1.7913121735915218e-27,-0.12779213
34561,ARNTL2,7.047254825341735e-70,-0.2201927
34604,BMPER,7.179029608146145e-71,-0.16199292
34753,NPAS2,7.37462408777191e-75,-0.18259053
34889,STAT1,5.593903387072546e-79,-0.307318
34970,NTRK2,9.28060999602115e-82,-0.118697934
36224,BMP2K,1.4213732595667234e-183,-0.4278393
