,Dementia_n,Dementia_p,Dementia_l
168,RORA,2.729649285534051e-28,0.2537298
456,BMPR2,2.1691104557732264e-12,0.12991008
1588,ACHE,0.011936739887195276,0.42820948
1771,BMP8A,0.0321113971824428,0.28202564
1972,KLF16,0.0705159306208018,0.35926083
2083,BMP1,0.10172335299523169,0.41719398
2120,IL6R,0.11277711143298659,0.8647208
2332,STAT5B,0.19480949425402694,0.0916926
2405,NGF,0.23186411961947465,0.41173083
2499,BMP6,0.2766444077580744,0.22551297
2863,IL6ST,0.49432905028768054,0.09743904
2890,RORB,0.5128951594659645,0.27643484
5452,BMP7,1.0,0.24931242
5927,STAT3,1.0,0.017432561
7536,SLC5A7,1.0,0.88142264
8892,BMP8B,1.0,0.054841742
8957,KLF4,1.0,0.5587886
9114,STAT5A,1.0,-0.12535939
9258,NKX2-1,1.0,3.6665914
11773,IL6,1.0,2.4865475
11921,BMP15,1.0,-1.397128
13722,SLC18A3,1.0,0.0
14197,BMP10,1.0,0.0
15399,CHAT,1.0,-0.26637155
15422,PRIMA1,1.0,-0.12586032
16242,LIF,1.0,-14.486435
16619,LHX8,1.0,-0.23977578
16731,GBX1,1.0,0.0058782822
17962,BMP5,1.0,-0.4136867
18721,GBX2,1.0,-16.970108
19797,CNTFR,1.0,0.058079
20025,NGFR,1.0,-0.8702768
20985,BMP3,1.0,0.12950069
21531,BMPR1B,1.0,0.018282117
22539,BCHE,1.0,0.0069823638
22677,BMP4,1.0,0.01776039
23023,RORC,1.0,-1.4889712
23244,BMP2,1.0,-0.1005997
23825,LHX6,1.0,-0.34411517
24138,NR1D1,1.0,0.0058952323
24507,BMPR1A,1.0,-0.010648842
24533,CNTF,1.0,-0.69984084
24878,LIFR,1.0,-0.008825403
26895,COLQ,0.8438533507666137,-0.019693013
27222,SMAD2,0.7524709971190933,-0.043387778
28316,PCYT1A,0.43190463489275266,-0.031081753
28940,CLOCK,0.3006099878573705,-0.06028739
28969,NTRK1,0.2949353291504413,-0.5966617
30727,NPAS2,0.05040577568533789,-0.048885137
32325,KLF7,0.002397952968465217,-0.08956115
33349,NR1D2,5.967350030703884e-05,-0.12481964
34474,BMP2K,7.374778954014972e-08,-0.20942806
35166,BDNF,4.0929834999174315e-11,-0.27721643
35557,STAT1,1.739165286867721e-14,-0.37762684
35642,ARNTL,2.6206611694728844e-15,-0.21765007
35790,NTRK2,3.020739398079842e-17,-0.14966749
36213,ARNTL2,3.530328941182288e-29,-0.22604696
36426,BMPER,5.008477904365408e-46,-0.3361319
