,Dementia_n,Dementia_p,Dementia_l
211,BMPER,5.681783050692165e-10,0.3079713
530,BMPR2,0.02919609041874207,0.023861418
563,RORB,0.04794845649886614,0.67466044
964,RORA,1.0,-0.018311068
1252,PRIMA1,1.0,0.7126627
2536,NGFR,1.0,3.418
2831,BMP2,1.0,0.3582235
3390,GBX1,1.0,0.5566935
4751,KLF4,1.0,-0.10651264
4843,CHAT,1.0,0.78346467
5004,LHX8,1.0,0.23981482
6134,GBX2,1.0,0.0
8370,SLC18A3,1.0,0.0
9092,BMP10,1.0,0.0
10318,IL6,1.0,-17.185747
10328,BMP15,1.0,-16.666128
10545,LIF,1.0,-15.391669
11027,BMP4,1.0,0.685365
12142,SLC5A7,1.0,0.3924848
12925,NPAS2,1.0,0.040660862
13746,BMP5,1.0,0.07769999
14000,RORC,1.0,-2.366887
15034,BDNF,1.0,0.49915618
15326,CNTF,1.0,-0.12477759
15422,BCHE,1.0,0.11167824
15933,BMP8B,1.0,-0.40121818
16735,BMP3,1.0,0.0028017052
18094,BMPR1B,1.0,0.12639175
18798,NTRK1,1.0,-0.2983597
20939,BMPR1A,1.0,-0.030224713
22103,BMP8A,0.9505374473904346,-0.08540059
22929,KLF16,0.7313638152422839,-0.032328952
24169,STAT5A,0.4031865247024685,-0.36653203
25256,BMP1,0.18164138108998368,-0.28520936
25548,BMP6,0.1384423458211947,-0.43714073
26016,STAT3,0.08493307778741588,0.006778272
26567,ACHE,0.04754068534927694,-0.037985697
27858,BMP7,0.006762395348409987,-0.052627087
28082,LIFR,0.004801186998578528,-0.042361926
29665,SMAD2,0.00014932498343265575,-0.1176973
29770,NGF,0.00011693825020408667,-0.1084561
30199,BMP2K,3.69507628370344e-05,-0.11839389
30456,KLF7,1.7739210587903487e-05,-0.16410027
31285,IL6R,1.014438331966787e-06,-0.20796831
31833,NKX2-1,1.5630749715077147e-07,-0.16901267
32781,ARNTL2,1.98710969084241e-09,-0.22053643
32997,NTRK2,6.311790639600524e-10,-0.084768206
33296,COLQ,1.2735809416756876e-10,-0.2240363
33637,CLOCK,1.2023655465515872e-11,-0.22672065
33767,STAT5B,5.19255619563413e-12,-0.21663657
33778,NR1D1,4.873920945390941e-12,-0.42053258
33997,PCYT1A,1.153204827692679e-12,-0.2746106
34134,ARNTL,4.279187334240186e-13,-0.24681169
34439,CNTFR,3.7705659669560413e-14,-0.27386633
34972,STAT1,1.7176102469172538e-16,-0.42601377
35390,NR1D2,5.620309577200019e-19,-0.31282586
35973,LHX6,6.201026544884046e-25,-0.34412363
36522,IL6ST,1.7232321885332956e-50,-0.47778225
