,Dementia_n,Dementia_p,Dementia_l
73,LIFR,4.476127234903614e-19,0.2378766
388,BMP8A,1.787079026434461e-05,0.55850834
1523,BMP7,0.16426191076250335,0.07075585
1557,RORA,0.18728862451411835,0.046347283
2751,BCHE,0.7375541413218413,0.052552193
2939,ACHE,0.833354856981465,0.2326699
3730,RORB,1.0,0.22258784
3797,ARNTL,1.0,0.034601927
4714,PRIMA1,1.0,0.12974502
4795,BMP2,1.0,0.1314518
5205,CNTFR,1.0,0.04365713
5992,BMPR1B,1.0,0.2807561
6053,NGF,1.0,0.080362104
6498,ARNTL2,1.0,0.045416232
7263,BMP8B,1.0,0.029701727
7432,BMP2K,1.0,0.0022314684
7643,NR1D1,1.0,0.12655027
9089,NPAS2,1.0,-0.011028309
9399,BMP1,1.0,0.018665113
10104,CNTF,1.0,1.318412
10846,BMPER,1.0,0.034298267
11782,RORC,1.0,0.6335532
12642,LHX6,1.0,0.10053904
12964,KLF4,1.0,0.7447676
14295,BMP6,1.0,0.2492148
15910,SLC5A7,1.0,1.5591644
15963,CHAT,1.0,0.78750443
16205,NKX2-1,1.0,0.88979244
18203,GBX2,1.0,16.24626
18430,LHX8,1.0,17.00601
20354,BMP10,1.0,0.0
20679,BMP15,1.0,0.0
22590,SLC18A3,1.0,0.0
24588,LIF,1.0,0.8923943
24756,BMP4,1.0,0.11351273
25480,IL6,1.0,-16.401598
28428,BMP3,1.0,-0.28902742
29388,GBX1,1.0,-0.83695585
30139,NGFR,1.0,-0.1052601
30677,BMP5,1.0,-2.0068445
30738,NTRK1,1.0,-0.60825014
31789,KLF16,1.0,-0.15266007
32132,IL6ST,1.0,-0.011226797
32519,IL6R,1.0,-0.15216231
32565,STAT5A,1.0,-0.09355211
32678,BMPR1A,1.0,-0.01634755
32864,BDNF,1.0,-0.3866972
33023,CLOCK,1.0,-0.018000985
33797,KLF7,1.0,-0.032351147
34540,NR1D2,1.0,-0.06797555
34743,BMPR2,1.0,-0.03175136
34865,SMAD2,0.9210516027695307,-0.04894601
35287,COLQ,0.4679633281633925,-0.17738216
35420,PCYT1A,0.32311802118897776,-0.1917409
35942,STAT1,0.035271901441461376,-0.22925004
35977,STAT3,0.027324534149106423,-0.123007864
36173,NTRK2,0.0036105717203259824,-0.0546105
36394,STAT5B,1.9455710052892476e-05,-0.16811295
