,Dementia_n,Dementia_p,Dementia_l
448,IL6R,1.0,0.32489216
474,ARNTL,1.0,0.3389391
523,IL6ST,1.0,0.2439877
879,BMP1,1.0,0.3651633
998,BMP6,1.0,0.2335487
1265,NPAS2,1.0,0.16931774
1880,STAT5B,1.0,0.14486255
2035,NR1D2,1.0,0.12265242
2066,STAT3,1.0,0.118899785
2475,LIFR,1.0,0.25764513
2738,STAT5A,1.0,0.68059236
3726,BMP8A,1.0,0.48628843
3905,BMP2,1.0,0.29771802
4200,NTRK2,1.0,0.07782562
4609,BMPER,1.0,0.056709085
4993,ACHE,1.0,0.8417333
5204,ARNTL2,1.0,0.25346506
5939,CLOCK,1.0,0.0084548695
6005,NTRK1,1.0,0.04713194
6577,IL6,1.0,0.4737326
7151,NGFR,1.0,2.555898
8003,BMP3,1.0,22.927235
8929,CNTFR,1.0,0.22836049
10129,BMP4,1.0,0.10737517
10287,PRIMA1,1.0,0.9453224
11924,CNTF,1.0,0.84474915
12198,BDNF,1.0,0.2847685
13437,GBX1,1.0,19.730457
15430,BMP7,1.0,0.08039237
19391,RORC,1.0,0.0
19482,BMP15,1.0,0.0
19665,LHX8,1.0,0.0
20559,SLC5A7,1.0,0.0
20795,BMP10,1.0,0.0
21106,GBX2,1.0,0.0
22309,SLC18A3,1.0,0.0
23048,NKX2-1,1.0,0.0
24953,NGF,1.0,-0.07475658
27595,CHAT,1.0,-20.80458
28459,KLF4,1.0,0.027162652
29262,BMP8B,1.0,-1.5987955
30091,LIF,1.0,-0.41216454
30536,KLF7,1.0,-0.0479885
30829,LHX6,1.0,-0.71887994
30878,BCHE,1.0,-0.22486132
31227,BMP5,1.0,-0.14940807
33132,BMP2K,1.0,-0.073799565
33247,PCYT1A,1.0,-0.06195821
33597,COLQ,1.0,-0.29589877
33815,KLF16,1.0,-0.97026587
34475,NR1D1,1.0,-0.27474895
34589,BMPR2,1.0,-0.052178897
34656,SMAD2,1.0,-0.06893633
34721,RORB,1.0,-0.26207423
35265,BMPR1A,1.0,-0.074852616
35424,RORA,1.0,-0.019200329
35491,BMPR1B,1.0,-0.27569193
35502,STAT1,1.0,-0.36125624
