,Dementia_n,Dementia_p,Dementia_l
112,RORA,2.5403320887592015e-45,0.13679571
475,NPAS2,8.781455273378681e-09,0.0873383
586,LIFR,7.644309600337216e-06,0.19438985
809,RORB,0.0071337741074765015,0.41240987
927,BMPR2,0.038818207025135804,-0.0015942627
962,NGF,0.0556728538862303,0.28677955
1913,PRIMA1,1.0,0.6095578
2346,CNTFR,1.0,0.12261318
3042,NGFR,1.0,1.1303915
3468,KLF4,1.0,1.531604
3518,KLF16,1.0,0.20627321
3959,GBX1,1.0,0.59736407
4804,BMP5,1.0,0.25654036
4830,LHX8,1.0,0.7496725
5162,GBX2,1.0,1.5155108
5336,IL6,1.0,0.26450667
6532,BMP10,1.0,0.6990568
6688,SLC18A3,1.0,-1.1170661
6828,NKX2-1,1.0,0.24954212
8450,LIF,1.0,0.0
11769,SLC5A7,1.0,0.16682872
11966,BMP15,1.0,-16.095497
13572,BMP3,1.0,0.14530161
14716,CHAT,1.0,-0.6966541
15349,RORC,1.0,-0.57428116
17059,STAT5B,1.0,0.007078881
18355,CNTF,1.0,-0.3024397
18567,LHX6,1.0,-0.021627765
19442,NTRK1,1.0,-0.5714995
19851,BMPR1B,1.0,0.04730858
19921,BDNF,1.0,-0.0948468
20011,BMP1,1.0,0.11574599
20324,BMP8B,1.0,-0.16159405
22729,BMP4,0.6704834468134784,-0.15804367
23398,BMP2,0.4870863534389205,-0.20297249
23636,STAT5A,0.4258220910492304,-0.08836137
24269,BMP6,0.2667031193276612,-0.0076643117
24474,BMP7,0.22534186729447386,-0.14563231
25527,IL6R,0.08074101838906629,-0.0036748082
26054,BMP8A,0.04086239520664958,-0.05264811
26763,NTRK2,0.012907948283852977,-0.04029232
27873,BMPR1A,0.0011127117303655664,-0.06631589
28262,BCHE,0.00037010344805766236,-0.24979447
29507,STAT3,5.979196010037169e-06,-0.03254305
29658,KLF7,3.2937681671273763e-06,-0.05016649
29978,NR1D1,9.392470377336585e-07,-0.15272029
31374,ACHE,4.150497966521322e-10,-0.18979245
31864,CLOCK,1.5839338637846657e-11,-0.117982864
32002,SMAD2,5.831023214899415e-12,-0.107767485
33309,ARNTL,3.018244044516898e-17,-0.1375987
33641,BMPER,2.858766923910984e-19,-0.21956418
33875,NR1D2,1.1306741859125568e-20,-0.1562831
34517,PCYT1A,1.232007475287e-25,-0.19935857
34777,BMP2K,2.8008930614797266e-28,-0.2184295
35020,ARNTL2,4.011811142208176e-31,-0.36798328
35186,COLQ,2.014243480361426e-33,-0.22190432
35291,STAT1,1.1336670631410074e-34,-0.3415187
36004,IL6ST,3.976593383210034e-52,-0.28348136
