Gene,Score
C22orf39,0.999985939583967
ASRGL1,0.999886586809325
NEK9,0.999575289752017
RETREG2,0.997282980853183
RBKS,0.996273256365777
CCDC6,0.996118074059101
RBFOX2,0.995154889273944
NCDN,0.994698709003909
WTIP,0.994197532929992
BCL11A,0.994029748087926
DIAPH1,0.991602893497856
FAM106A,0.990581352333932
SH2D4B,0.988733660185145
PDCL,0.986668997169563
PRR20E,0.98645759963332
AHDC1,0.98642988595026
PRR20B,0.986307352948249
RPS6KA5,0.98555137383009
HM13,0.98456225055879
AC010615.4,0.983007363722678
SPDYE4,0.979669523858382
WNT2B,0.979395265397614
CEBPG,0.979192038554691
PPP2CB,0.978812653966549
GTDC1,0.978308552852246
NEU3,0.977036315534184
GDPGP1,0.976156908412889
FKBP1A,0.973143019374964
SLC39A2,0.971676672371225
AMIGO1,0.971268985419169
PA2G4,0.970956476995319
ENST00000558190,0.966533448139214
BCL2L11,0.964128278026095
SDHC,0.96348740880419
FLRT2,0.963377020110715
MBD1,0.962997284759157
SMAD2,0.962346251359663
SYNPO,0.961800490883674
FGF11,0.961015616539413
NPAS3,0.96082743694638
KAT7,0.960822752889868
FKBP1C,0.95955708072766
TSC2,0.959379047216724
TRUB2,0.95907214862819
HEMK1,0.959008576646524
PDPK1,0.957289404526028
RACK1,0.956135767473624
SLC43A2,0.956084105928342
PDE1C,0.955634086067879
CNKSR3,0.95539201318344
ZNF891,0.955051694142062
CMC2,0.954369868109264
NCOA2,0.953830792492486
FAM124A,0.953779033650993
GPATCH2L,0.95297485612933
SORBS2,0.952142029902417
VCPIP1,0.951854449103313
ACOT11,0.950704411339307
OLFML1,0.950434796499619
DUSP7,0.949997161246257
GRIK5,0.949931724608082
FZD3,0.948798589468533
TGOLN2,0.948158744552671
CCDC9B,0.947539915652186
ZNF26,0.947009979471443
GYS1,0.946488925640599
FAM153A,0.945524184245771
IRGQ,0.945095053290486
MDM2,0.944494114284891
PLEKHA3,0.943960383557526
C15orf39,0.94377799447472
EIF1AD,0.943560523229572
DTX4,0.943318018723703
ZFC3H1,0.942668979115896
HSD3B7,0.942019330623265
PEAK1,0.941322725941821
CD86,0.941081758746817
PPP1R8,0.940691718167846
C19orf53,0.940369055424238
PPP2R5A,0.940341296657505
MSH6,0.940086940406347
KLC4,0.939786473174925
ZBTB40,0.93968541421394
RNF185,0.938810025950865
TRIM10,0.937226668327091
KCNC4,0.936806621715222
ZNF556,0.93680278948696
HDAC2,0.936005429742634
HIF1AN,0.935752921300095
TUFT1,0.935451771726665
SH2B3,0.935169629831907
SLC18A1,0.935132740835932
NHSL2,0.934615587120255
SPATS2L,0.934124705704247
ZNF736,0.931452652331257
REEP1,0.930460114355757
SBNO1,0.930426900577123
PDE12,0.930229692186296
RSBN1,0.929922765615833
PUM2,0.929633653974997
CD82,0.929320266341064
SGK1,0.928852386132034
ARHGEF12,0.92861410417208
USP12,0.928265573996194
SLC46A3,0.928089682302875
GJC1,0.927902503497538
IQUB,0.927653368559545
NTPCR,0.926414757441816
