Gene,Score
LHX2,0.996074879115071
SPX,0.983472457896696
LPAR1,0.980374698678678
GUCY1A2,0.978778309749475
DNAJA2,0.978024491671424
NR1D2,0.970851054163886
ENST00000247182,0.966806017816994
ZFHX3,0.966789776963907
MPC1,0.965094221087087
OLFM3,0.961413961843847
NFAT5,0.959185053890304
WLS,0.958381974712693
PLP1,0.957989503585214
TSC22D2,0.957722427418496
ZNF800,0.957594964653234
RILPL1,0.956549333805709
AP3B1,0.954078351471442
EPB41L4B,0.952885165434349
SP3,0.95234409150619
NCKAP1,0.95191006835816
LMLN,0.946250443518604
ZNF773,0.944309494197285
MECP2,0.938346283786742
CNOT10,0.936743310308418
EIF5,0.934814882865249
SNX27,0.933899228112201
SLC25A23,0.933323935314361
CD58,0.932645766106188
SLFN12L,0.931372757085525
MBD2,0.930636500679847
C4orf19,0.929225266418181
SLC1A3,0.929069428058203
AKIRIN1,0.928092380530686
SHROOM3,0.925340943264354
CTSC,0.924540876620538
MGAT1,0.924216977766925
TTYH3,0.922432922458048
RALA,0.922430911619613
C3orf49,0.92233712703143
SCN8A,0.921026552096779
GLT8D1,0.920216853562257
CADM4,0.920202237339138
ZC3H6,0.916077368875274
BOLL,0.915534585498801
CELSR2,0.915079726508064
RPAP2,0.910283526257357
ENST00000615798,0.908975177216323
ZNF594,0.904019647949824
YOD1,0.903177969954504
STK17A,0.902157921957537
WASF2,0.898854727924922
FBXO28,0.897235355251919
CDC42EP3,0.897202391820202
GANC,0.892424975281071
ENST00000556084,0.891913670242548
ADGRL3,0.891867644023549
NAPB,0.889871429883973
ITM2A,0.889397771928294
TLN2,0.888294981684702
BRAF,0.886764783877289
NCMAP,0.885404471993937
DNM3,0.884562250947126
HDGFL3,0.880829003785565
USP54,0.880691787850249
NDC80,0.878386070391309
ACACA,0.877939160184492
FBXL3,0.876860342446049
ZDHHC11B,0.876664455350405
GPC3,0.876210354648856
ENST00000617179,0.875908385885232
FRMD3,0.873618404869163
CBLIF,0.871656973290144
OSBPL6,0.8713295213633
KCNMA1,0.870760131983589
FLRT2,0.870192981269379
PDE4DIP,0.869558865451569
EML6,0.86898713392951
ERVFRD-1,0.867846754584599
DCC,0.867072334840998
ZNF614,0.866876350324334
MRAS,0.866468570956841
PFN2,0.866437172623278
FRYL,0.864771158672151
GLIPR1,0.864343239445254
EIF4G2,0.863917658075682
MAGT1,0.863840499770581
CCNG1,0.862828784645129
TFPI,0.862163886144216
ZNF716,0.861625318041165
UBA3,0.861589922176934
ENTPD3,0.859577490242821
THEMIS2,0.858976212266257
RTKN,0.855403884377762
NTRK2,0.854309746993971
CTNNB1,0.853604244143691
SEPTIN2,0.853026432151227
KPNB1,0.851733531603047
MBP,0.851262034657426
TRIP4,0.851052924353299
NEK7,0.85075726757711
MKRN3,0.850343044906853
DACH1,0.849945116980386
SMAD2,0.849181522331612
MTA3,0.848726536292265
CCDC85C,0.848172086398935
QKI,0.847796573270621
UBQLNL,0.847073789328703
ELAVL1,0.844768848737911
SMIM18,0.843610873983857
CCNYL1,0.840770548170259
TMOD2,0.839941310911862
YBX3,0.836817917359044
GLI3,0.83663818890395
CCDC6,0.834336701803259
GJC3,0.834114153064069
ENST00000392845,0.834070948640062
KCNAB1,0.83317971952236
FAM199X,0.832319465741706
TTC39C,0.831989801439462
ARID1A,0.831824240310176
ATP2A2,0.830262795760399
ZFHX2,0.829679710597542
TJP1,0.829020921923151
CTNNA3,0.828844544831467
PUS7L,0.828826071872342
SLC8A1,0.827984089913529
PDK1,0.826257721105461
CYP2C8,0.825165454537774
ENST00000426016,0.824968340370708
PDE4B,0.823888864609382
PHLPP1,0.823119789329481
WBP1L,0.822960988860387
RIMKLA,0.822513823958361
WT1,0.819921954802874
AC106886.6,0.819700037007166
PDGFC,0.81682239667159
SPARCL1,0.816084236204976
SNX1,0.815461350467072
SHC4,0.813577613387889
KCND3,0.81224223957271
ANKRD29,0.810614821731174
RAB9A,0.810186737089008
HS2ST1,0.81007584744406
SLC9A1,0.810073323114112
DMWD,0.810039683301778
AC099811.2,0.809609871702282
TOR1AIP1,0.809272313985786
PLEKHA1,0.808374348040561
POU2F2,0.80786157612081
UBE2H,0.807243070819056
KLF9,0.806827958576317
PDP2,0.805643611700366
ZNF891,0.804647033290787
MRS2,0.802418516166353
GRIN2B,0.802399175550468
LRP8,0.802076237506223
