Gene,Score
CREB1,0.999997461096315
FLRT2,0.99997016947285
SMAD2,0.99996955654865
MGAT4C,0.999965375542099
SRSF1,0.999938734962031
PCDH9,0.999937568633799
SLITRK5,0.999935869984206
GNAI3,0.999932611191738
RC3H2,0.999884024118779
LOX,0.999660328709541
KLHL15,0.999628882535464
HOOK3,0.999568068127132
TMEM65,0.999555706676506
SALL1,0.999511259081839
AKAP6,0.999510644132061
DCUN1D1,0.999509755852231
KAT6B,0.999432636483042
EBF3,0.999392980217923
INTS6,0.999228248446774
BEND2,0.999145541807816
MYEF2,0.999075252646097
CADM2,0.999005688321538
WDR26,0.998957054139503
AKIRIN1,0.998914484907732
TMF1,0.99889071600096
CEP170,0.998662557676684
ZMYND11,0.998567502098532
BRWD3,0.998552831597374
EPHA3,0.998538721730164
SLC30A7,0.998528078648012
LHX9,0.998499034130025
EIF4E3,0.998487355639815
STOX2,0.998478564628486
PEX13,0.998410501532256
PLEKHA3,0.998372900834942
KLF3,0.998256831727743
CAMK4,0.998218349426137
HIPK3,0.998097280512621
ZNF92,0.997990865360309
ARHGAP5,0.997952802088789
RIF1,0.997951442766657
ARIH1,0.997931730813051
AGO2,0.997887990583117
INO80D,0.997833072670674
KAT6A,0.997826645381739
CREBRF,0.997685141605199
PURA,0.997668901662279
LPP,0.997660373880908
SLC8A1,0.997651711442602
TMEM106B,0.997570731930714
FAM241A,0.997566173896607
NBPF9,0.997327618030274
TRHDE,0.99731197610485
NCKAP1,0.997224864741758
NAA30,0.997108597262698
MEF2C,0.997105103821308
SLC30A1,0.99708221824553
ZNF148,0.997037603980682
CFAP44,0.997015222372637
NBPF20,0.996965244300919
CD47,0.996963178434992
RABGAP1L,0.996912360489664
NBPF15,0.996883451081163
MAP3K2,0.996875476933551
NUFIP2,0.996820967114216
UBE2W,0.996812503035882
USF3,0.996810439214409
HEATR5A,0.996790987381806
KBTBD8,0.996678218454073
CPEB2,0.996618828653504
ENST00000558190,0.996543818243508
AP5M1,0.996482419953886
SLC7A11,0.996479187497574
HDGFL3,0.996468004625444
CCDC88A,0.996428735417013
STX7,0.996387928315323
SPIN1,0.996366614246271
RPS6KA6,0.996347008179592
