Gene,Score
PAF1,0.996969651767685
MRPL13,0.986297104804806
HDAC9,0.958791141420446
ZBTB45,0.956134233203619
DRGX,0.922183973491544
AQR,0.919770522430928
ENDOD1,0.914226368615235
METTL7B,0.910643864872495
ENST00000589997,0.895331851841296
PRY2,0.883611078887083
PRY,0.883369106432085
PPFIA3,0.880470159776059
S100Z,0.879251145175109
SF3B2,0.87870143747019
PREB,0.844302930134682
EYA2,0.843514495177004
MSTO1,0.842066681781432
ADGRL3,0.838971174306509
PSMD3,0.837374616472284
ENST00000623869,0.836711853796843
KRT15,0.829761637631284
EGFL8,0.818308854781691
CDH5,0.815032545736311
ODAPH,0.809880493778145
RBKS,0.800174073021578
