Gene,Score
SOCS7,0.99840109505987
FLRT2,0.995244127765705
ALG11,0.99499358879631
METTL14,0.994371011610593
DGKI,0.992398188887738
FIGN,0.992315492989389
SHOC2,0.990816903736429
SMAD2,0.985908221958419
KCNJ6,0.985590809231019
SYT16,0.98538022979999
SLC26A5,0.984950774727722
FGF7,0.984512907653632
PCDH9,0.983856119888205
NTRK3,0.983529659031041
SNAP91,0.982099864607175
CHD1L,0.980160730537315
ZBTB37,0.980076864386617
KLF12,0.978048675042496
LPP,0.977093363546539
SCAI,0.976748656473921
UBN1,0.974757093905097
MYSM1,0.974659646036957
TAFA2,0.974500076750289
GRM5,0.972869902608361
STXBP4,0.972773289453083
GPC6,0.972219568441763
NAA30,0.971529549404673
PDCD6IP,0.97136199802433
CSRNP3,0.970616642047405
RC3H1,0.970042335603263
RORA,0.969127002634928
KLRD1,0.968495118882058
ELOVL4,0.967757985876082
TFCP2,0.967349027528818
CAV2,0.965490820785043
PAX6,0.965266557656493
RAB11A,0.965039762836843
TIA1,0.962992688553206
FUT9,0.961597720728957
ENST00000546136,0.961036209917975
LCOR,0.960497607947477
ZNF148,0.959665861250992
EPHA5,0.959376853679615
NFYB,0.95827958108277
GNG12,0.958223797554622
FBN1,0.957827629517665
SAR1B,0.956906837030687
MAGEA1,0.956705445881147
ENST00000620592,0.956278236384994
ANK3,0.955932637107747
MTREX,0.954817415561899
ZC3H4,0.954731004672379
TOB2,0.953778984176148
MGAT4C,0.953493186394853
TCF4,0.953155798491838
FZD3,0.952805732189887
GUCY1A2,0.951354907595288
PARP8,0.951054926072014
SOD2,0.950839864941243
NWD2,0.950206490356534
HNRNPLL,0.950167572890782
CACNB4,0.949654067190906
PLEKHA3,0.949430319549413
PAN3,0.949059022178259
HOOK3,0.948039091285943
KBTBD7,0.947313618818398
ELAVL2,0.946662474571893
E2F4,0.946425859682136
ETNK1,0.945484296315181
ETV5,0.94537212080609
THSD7A,0.9451954441477
AQP4,0.945173690857146
SLC30A4,0.944723258854176
SMAD7,0.943568619224067
AGO1,0.943283767415053
CMTR2,0.942891212443921
IBTK,0.94246407938783
SDHC,0.9421861592268
EIF4E,0.942103018768784
COL8A1,0.942079704826781
RB1,0.941691349681726
EPRS1,0.940969076752978
BIVM,0.940653870838577
GRIN2B,0.94027223448651
TMTC1,0.939715579028637
SOX11,0.939459646549644
PRMT3,0.939189630301454
CD93,0.939026222621397
OPCML,0.938734299732851
NOVA1,0.936878032105728
HNRNPA1,0.93660952963185
SLC2A13,0.936288064141494
LARP4,0.934724322850314
WAC,0.934292485702294
ZNF773,0.934130063482383
TMF1,0.933624687886339
PPIP5K2,0.932198415781763
