Gene,Score
LCOR,0.999510042726675
MMD,0.997158997846979
FGF9,0.995518859874022
PRR20B,0.994726081582646
PRR20A,0.994690949422428
PRR20C,0.994659556363133
PRR20D,0.994643801594741
PRR20E,0.994568433674904
STK17A,0.991431260871904
SEPTIN2,0.989644950358196
KATNBL1,0.987621868438736
PPTC7,0.987097433012481
AC106886.6,0.98632371009727
RALA,0.984941345546059
LRP4,0.984863096794272
RBBP4,0.982531150521627
NRK,0.981752480055331
MTSS1,0.981436208939046
IRGQ,0.977330964964628
ZBTB10,0.976221341810202
ZNF827,0.972898781340165
ARL15,0.969239744127106
ZNF800,0.96905398184086
BCL2L1,0.964173431259873
YOD1,0.963036757102597
PURB,0.962312040289603
NLK,0.958069998863598
NCSTN,0.956718165941861
B4GAT1,0.949831352690434
FCHO2,0.949043555488438
ENST00000379264,0.948366374914106
TMEM260,0.945481367409101
CDH7,0.944551428647129
BCDIN3D,0.941721421759341
EFEMP1,0.938211669819486
CORO2A,0.938075578297576
WNT9A,0.935943438196619
FLG2,0.935283564942458
GPR161,0.934399324034759
IGFBP5,0.933983456448497
ANKRD12,0.931699664598639
TTLL1,0.931612197458115
RNF32,0.931261410995907
C12orf49,0.931249249456165
BACH1,0.930612672577326
C6orf47,0.930118685081551
FAM199X,0.92940050338959
CLDND1,0.928453157154967
KBTBD2,0.927967290631768
SLC44A2,0.926573755806305
TSPAN12,0.926556764725266
ANO6,0.923920499922361
EGR2,0.921051441371671
LAMP2,0.919860033039426
NIPBL,0.919078481227534
PGR,0.918895621467968
ERC2,0.918724967567098
TSSK2,0.918337185654176
KAT2B,0.917162149468302
EYS,0.915518317345788
DOK4,0.914037055030404
LILRB4,0.911922058144226
TANC2,0.911341150624767
ZNF557,0.910694727729273
SP140L,0.910374134763917
ZNF773,0.909867245715658
HARS2,0.908613186232664
KIAA1109,0.906342859738657
ENST00000376887,0.903731437040313
YWHAG,0.900935571940937
PTPN9,0.899145010202919
MED13,0.898381313901079
RANBP1,0.897766515037098
RNF170,0.89347511252388
TMEM106B,0.89343165665684
TLR4,0.89278080746037
CD58,0.891913900878491
LYSMD3,0.891316639691361
ZHX1,0.889445712144588
LAMC1,0.88836878460442
PSRC1,0.888203659747531
FBXO45,0.887857853605839
MNS1,0.887113412103794
C15orf41,0.883281903805521
NPL,0.883082972823626
RAD54L2,0.879023515022388
VWC2,0.874806965234855
CTSV,0.872821869422906
AFTPH,0.872683947194186
DUS2,0.872289294674134
NPR3,0.869800592673928
ERVFRD-1,0.868651355196103
WDFY3,0.868471589324123
ARNTL2,0.861935965947359
SMYD4,0.861718988427452
XKR4,0.861709276369338
SNX16,0.861055778352629
CAPN1,0.860780385906812
C7,0.860778549973316
IRF6,0.858153920691597
DCAF4L1,0.856833314069178
CEACAM6,0.855809390785847
PGAP2,0.855534732195682
RFK,0.854188865670137
HDGFL3,0.853570172725078
AGO3,0.852941148630932
MROH9,0.850469621220131
NTN4,0.847170525497279
CHCHD3,0.845987012666254
SULF2,0.844469695150365
FGF13,0.84219872497479
ENST00000523944,0.841268145971183
MECOM,0.838064133573809
UBE2V1,0.833022822575492
WASF1,0.83188719514756
MINPP1,0.828716797746939
MFSD14A,0.828054326341959
ANKDD1B,0.825350047041913
CBLL1,0.824656693959879
NUMBL,0.819734737767406
FLRT2,0.819587947520284
ERVK3-1,0.818919126671789
ZNF710,0.817656327011546
ADAM10,0.816795143534152
RIC1,0.816396920782354
CTSO,0.815001639930763
LMAN1,0.814711774714286
PCDH9,0.814317711061584
PALM2AKAP2,0.813895005389123
ST6GALNAC6,0.811693455605496
RNASEH2B,0.811462612587146
MARK1,0.811419192565547
NRG4,0.810805624597971
FAM114A2,0.810595148653857
SF3B1,0.810510297622649
TGFBR1,0.810295206885477
HRCT1,0.808156955216726
TRIM33,0.806653189437129
TREM1,0.802180518128571
PICALM,0.801477247536547
STK32A,0.801376085558376
ST6GAL2,0.800661493089088
KLF6,0.800528409669727
