Gene,Score
MED1,0.992315163148803
TNRC6A,0.990871178258319
CNTN6,0.989672163188896
BASP1,0.984137976326963
SLC39A10,0.983286329194621
AKIRIN2,0.978766144807503
RGPD1,0.977016249037914
CCNC,0.972696144830751
UGDH,0.967500972598753
HMGB3,0.964379701557894
SETD7,0.961150564902449
ANTXR2,0.960667318788036
UBLCP1,0.958803371344398
SYNCRIP,0.957282905877156
CRK,0.957110642763069
FBXW7,0.957020263884825
GALNTL5,0.956394010279697
RAN,0.95217985526761
DNAJB4,0.951610978840717
STAG1,0.951568956883168
PPP4R2,0.95017188529612
POU5F1B,0.949782212225527
RAD17,0.949159209335387
PIEZO2,0.945938318318682
DAZL,0.945252981559389
SLC36A1,0.940153286232305
AGAP2,0.936676236235356
SYT1,0.936344124947748
CCDC173,0.933535269906337
TMEM5,0.933343739605138
CA5B,0.931059462998871
MAPK8,0.930772011021434
CUL4B,0.927951682889551
SOX6,0.924813960489806
GREB1L,0.924728059333949
WWC2,0.924655350814445
ZNF430,0.924407358654169
SEL1L,0.923294643220083
MZT1,0.922962074085484
NUDCD1,0.921117051344242
ZFYVE26,0.9175323905546
NKAIN2,0.917237978155277
NFAT5,0.916774516907232
SOX11,0.91388829212086
RNF4,0.912640059055961
OFCC1,0.911600627526487
DGKG,0.911541107684027
SCAMP1,0.911280162776635
TMEM150A,0.911023988570422
ERCC8,0.910510916218196
GNG4,0.910240305000292
RBM48,0.908025958320848
EEF1A1,0.907749521192652
SLC17A7,0.907477497404924
YY1AP1,0.907323080078927
YTHDF3,0.906844009545477
DACT2,0.906205819604004
C11orf73,0.905716756370342
SLC8A1,0.905496565040187
SH3TC2,0.904327826015815
POLE4,0.903807495181993
ZFX,0.899228813550451
ELF2,0.898782814417508
LIN7A,0.89819965185894
ZNF594,0.897086147061561
LRRC9,0.897059387669433
RBMS3,0.896587149195638
SENP5,0.896233618159419
BDNF,0.895974856701987
TSPAN14,0.894725020054043
CLK4,0.893563624166894
ABCC5,0.891610698574403
ARID4A,0.891587688660815
CUTC,0.890442023401855
RFWD2,0.887114890070105
SRPK2,0.886308926804852
SRF,0.885781793122217
RAB9B,0.88577733359268
KIAA2026,0.885263011416408
LMOD2,0.885232133538952
MBNL1,0.882729697474596
PDP1,0.881307439281915
BMS1,0.879721005444544
KIN,0.879450047503419
RP11-500M8.7,0.879152340316786
SMG1,0.878992915975863
PCBP2,0.878288268123472
CNNM2,0.877685364502026
SORCS3,0.876622252386957
CAMSAP1,0.876288411701893
CBR4,0.876046521505385
AKAP6,0.875873777610775
SUSD5,0.875014030675083
C3orf70,0.87455118698345
NSUN2,0.874348540247919
SYNJ1,0.87429387556499
SAMD12,0.874213547006453
MRPL1,0.873965994717029
PRSS12,0.873617126588773
RICTOR,0.871085583282472
ENAH,0.870858684040511
ZKSCAN8,0.870358225820809
WNT2B,0.8702602398909
SPHKAP,0.869335283205355
BANF1,0.868690294183798
GPATCH2L,0.868616026788078
NUDT11,0.867872922017296
ZSWIM8,0.867615385591119
SLC39A11,0.867446633998596
ZBTB41,0.867364970933402
ZNF726,0.867320895173867
TIAL1,0.867183777848339
C4orf33,0.867022267532543
AC026703.1,0.86688845505004
RNF121,0.866641898032798
CITED2,0.865249499346276
ASTE1,0.865104292532065
PLXNC1,0.864856015566919
SETD2,0.864785427595571
HMGN3,0.864092993125053
LMNA,0.863759795481359
HIF1AN,0.863597059014462
DNAH3,0.863094624219858
PTPRJ,0.862031329115852
VDAC2,0.86068971764032
PLD1,0.860552039777043
KDM7A,0.859966695084881
ADAMTS5,0.859924985799177
CAMTA1,0.859233146512645
TEAD1,0.858151184748363
PSMD7,0.856507953102414
GRIN2B,0.856396305090428
NEDD4,0.855504111716305
ADAMTS18,0.854685747838379
HDAC9,0.854286244879104
AGPAT1,0.852757082472346
C9orf41,0.852652888881541
NOS1,0.852600809518887
C12orf23,0.850505126109847
PAG1,0.849572990370894
KDM5B,0.848749280682656
CEPT1,0.84868246713163
DPP10,0.848556440680506
TXNDC5,0.848334290518613
CPA6,0.848222313998549
VPS13B,0.848181958875577
TATDN3,0.848177641773975
PELI2,0.848039186484184
ARHGEF15,0.847211422057021
C15orf61,0.84697143249602
SAA2,0.84632503393664
ACVR2B,0.84626930428734
DNAH1,0.846180191886095
TACC1,0.846118020773707
ZBTB37,0.846081878876383
YOD1,0.845980545487221
AGBL5,0.844578114794237
PIK3C2A,0.844186194858018
IGF1R,0.844079844555026
BLM,0.84309321806052
RLIM,0.842576836862732
MMD,0.842215014298251
TARS,0.841950913040328
KBTBD11,0.841803457358659
KRT15,0.841684847209742
CTD-2228K2.5,0.841636379323285
ZNF638,0.841190912820346
TFAP2D,0.839447795999784
CSNK1G3,0.839099466873543
STAT1,0.838902503077567
PPP1R3F,0.836984931610718
CCDC66,0.83650376098773
DOCK8,0.836002430565015
LARGE,0.835962370218771
NCOR1,0.835616590162199
IQCK,0.835404966527426
NEDD9,0.83527288853324
RNF185,0.83441605786667
MACROD2,0.833017144059606
WSB2,0.83300682941434
TNRC6B,0.832483424668464
LINS,0.831047324504775
CBL,0.830934031222569
ST13,0.830606622457399
TCEANC,0.830244282457696
SCLY,0.829872231888378
ADAMTSL3,0.829154312605144
RNF220,0.828130056807722
DCX,0.828124428156348
HSPA14,0.82730099654243
NT5C2,0.826563800136382
CCR6,0.826070191034087
EDNRB,0.825584507195292
GALC,0.82527894510278
LHX4,0.824976669968877
TNR,0.824368179258724
KLHL15,0.823049094903166
BRD7,0.823016519225937
MAPK1,0.822402132409948
HACE1,0.822120951967875
NLK,0.820695902304357
COL25A1,0.820420762325717
OGFOD1,0.820322795965422
TAOK1,0.820084639826063
NSRP1,0.819940924540283
ASZ1,0.819448524917216
TMEM200C,0.819217534542169
C22orf39,0.819183785061536
ZDHHC20,0.81883342460802
TCP11L2,0.818779957589372
CBX3,0.818686265746433
TBC1D14,0.817819502960688
