Gene,Score
TMEM212,0.999915853693674
RAD23B,0.999710452992852
MEX3B,0.99876726211865
TMEM263,0.998764331331822
GPR63,0.997437846714058
SCRIB,0.997311355221323
MUC5AC,0.997224954884341
EPHA4,0.996314848084558
MSTO1,0.995612616486158
TTLL1,0.992878507036018
C10orf67,0.992020103580336
ZNF519,0.990297225964375
LACC1,0.988559214276645
RNF115,0.986684681742338
MOBP,0.986261567879097
RSKR,0.986143019924916
FAM78A,0.984915767729251
VLDLR,0.980457738578154
PDZD8,0.980256800669345
ENST00000422223,0.979368690814827
ZIC1,0.978860147812756
OMD,0.97849192438413
C5orf52,0.97675938396733
SLC35A4,0.976094180256353
HEXA,0.975375867983616
JPH1,0.97292939530589
AMIGO2,0.971878969391715
MBNL2,0.971874391780582
TLK1,0.971058905714925
CYP2R1,0.97078503270039
SEPTIN3,0.970545710788285
DZIP3,0.969929905320823
LGR6,0.967619724864063
SAMD3,0.966252950038025
FNTA,0.9657662283395
ITM2A,0.965049248976806
TAF5,0.961303209660738
TRIM52,0.961184899873552
SEMA6B,0.960937344820131
PDE4D,0.960135030129534
OTULIN,0.958903517458391
PCYOX1,0.9573831414469
MUC12,0.95551679137444
NDUFAF7,0.953612554785659
CD84,0.950871529337623
RAB28,0.950793681079141
LYST,0.948058747194961
ZRANB2,0.948002446377145
BTAF1,0.947163327687731
ARFGEF2,0.946427581006383
MARCKS,0.946025469393694
SEH1L,0.945952865069552
ERBB2,0.944019657220028
CWH43,0.94022251949862
SLC26A7,0.939883551195801
LUZP2,0.938987659786111
NEPRO,0.937142000966656
ANKRD36C,0.93650178239003
PTPN23,0.936108959010087
LRRTM4,0.933736562821164
LMCD1,0.933510578720724
CCDC25,0.933254752444863
HNRNPUL2,0.931949547586006
PCNX1,0.931615193116475
BZW1,0.931170640387033
CMSS1,0.930763981685475
RSF1,0.929968363545525
AC134669.1,0.929503661329403
SKIDA1,0.929494164619437
KAT2B,0.929376227819596
KLHL31,0.928777944431543
CSNK1A1L,0.926826285297995
ERVV-2,0.926191490274229
TNIP3,0.926010366076885
AC005833.1,0.924687439289511
SMCHD1,0.924433466579473
PRKCA,0.923781494252692
RSPO1,0.922389380281357
ADGRL3,0.921992958912347
CACTIN,0.919784899298909
MROH7,0.918970077100389
MEIS2,0.913959985517381
BICRAL,0.913480914726844
SMC5,0.911734228849497
CYB5D2,0.910310822875306
LACTB2,0.909992819960778
GSTM2,0.909654402785728
TFAM,0.908767016615204
ASH2L,0.908539186377985
HSPH1,0.906013475771586
NCR3LG1,0.901822387920499
SMTN,0.897781558911547
ITPR2,0.895231657727873
IMPACT,0.894635853031034
DDX17,0.894451821486477
ENST00000309893,0.893824628974206
SNAP91,0.893351816870541
MAPK11,0.890221881001628
GORASP2,0.889426720161084
SLC8A1,0.888631987341262
ZNF764,0.888168363635942
LRWD1,0.887753831631261
AP3B2,0.886635636764905
PPP2R5E,0.88661788922147
TBC1D2B,0.885194441045277
C6orf62,0.884507688540555
PLA2R1,0.884160265390758
GBP3,0.883267166885004
ENST00000620076,0.883046623913889
CDH8,0.881509824937146
KRTAP24-1,0.881431821383883
POU2F2,0.880719004446549
AP3S1,0.877918200410686
LHFPL3,0.876930768306824
CLEC2D,0.876453693573412
C2orf73,0.875355854027595
ADAM11,0.873692317613704
OR2H1,0.872641824144556
PCDH9,0.871170691201162
MTARC1,0.869404485544301
FLII,0.869357210350214
MPHOSPH9,0.869154790739671
CHAT,0.868937593013747
SLC15A4,0.86796533905897
HMGN1,0.867666727153138
EIF2S3B,0.866079448782751
EFCAB14,0.865139431900475
NUFIP2,0.864672742038943
RNF8,0.862601831952802
SENP8,0.862409019018316
RBM12B,0.861805825817078
RUNX1T1,0.861416426307937
F3,0.860316961946836
KCMF1,0.859833409814612
RANBP17,0.859687362760451
NRIP1,0.859249799122129
ZFHX2,0.858868837563005
CAPRIN2,0.858399706623433
ZNF551,0.858052828298049
SLC2A13,0.85628658261565
CORO2A,0.855995956722534
FLNA,0.855959014460701
RHOBTB1,0.853956519620176
MAX,0.853772400655204
RNF24,0.853550746314438
RPLP0,0.852838780404884
SMARCD3,0.852167606543068
SHMT1,0.851711986354352
CADM2,0.851383814245894
CREBZF,0.849742830268222
KCNMA1,0.849719580397576
MBD5,0.84923591025422
P3H1,0.849032442539308
VXN,0.847614611570505
SYNPR,0.847242668183733
SLIRP,0.847004347987533
TP53INP1,0.846510686187382
NEK5,0.846021178986003
ZDHHC20,0.845605897110936
CTSO,0.845440014612311
BRPF3,0.845245032959572
LMLN,0.843305906658818
ENST00000611416,0.842328561683418
HNRNPUL1,0.842210734439353
ARL6IP5,0.840948186394516
RORA,0.840560317627639
TNC,0.838865334016023
AC005480.2,0.837194682342108
EML6,0.837161785015295
LRRC1,0.833650746512561
ATAD2B,0.833505204599759
AC090498.1,0.833258967786819
STRIP2,0.832653487543559
FCRL4,0.831897646093419
TRIM44,0.831889942215681
PRMT8,0.831617538286792
SOX18,0.831094765177131
NOMO3,0.830672454407922
ASB13,0.829491057787813
CCN3,0.828981194074642
ZBTB20,0.827808678096123
SRFBP1,0.827293355242541
AC012254.2,0.826770123129476
PIGZ,0.824796502814742
ARPC5,0.824270881205808
PGM3,0.820775651196443
MBD4,0.819877661460105
STK38L,0.819397644010719
ANKRD34C,0.817623932225136
RBBP6,0.816404363864437
KCNV1,0.815265299025824
NFAT5,0.814306152299142
GRIN3A,0.813630444054536
HID1,0.811942189085105
PRR12,0.81188368316034
CABYR,0.81147476281499
PLCL1,0.810212706960806
ATP2B4,0.809248844958543
NSA2,0.809055979702618
ATRX,0.808693737772673
BCL2L14,0.807081040743192
NEDD9,0.807038721424375
TTLL9,0.805691532543513
CDH19,0.803585372546109
CARM1,0.803356941916147
PCYOX1L,0.803136454471957
OTP,0.802244810930479
PTCH2,0.801928402945598
GABRQ,0.801423922705788
SCO1,0.801282658326784
LRRC23,0.80070116507454
