Gene,Score
MEAK7,0.99972771193847
FAM90A1,0.997940976012223
FAM90A26,0.997929252009402
EIF4G2,0.99634219347047
DGKZ,0.988675595490131
ZMAT4,0.968477992462936
AC006386.2,0.963776088020064
AC012005.1,0.963488967990294
LTBP3,0.949301800086587
AP002990.1,0.940367636165415
ZNF142,0.938990946704132
RFX1,0.936316748732521
NSD1,0.92728667455361
ENST00000614701,0.921774311192297
DHX57,0.911414514262965
MCIDAS,0.905638608363138
SCARF1,0.901173834127157
KDM4A,0.900497766663628
CLEC18B,0.893495617897805
ENST00000611356,0.886225874742452
SSX4,0.88434634800838
ADAMTS2,0.878174863502838
SUMF2,0.878107752607321
VMO1,0.874013373426515
FANCA,0.867662900275896
TAOK1,0.865896665732277
ENST00000617654,0.855190094622174
SIK1B,0.845660334992118
MYO1G,0.843037661019527
SSX4B,0.842580336536891
STXBP1,0.829716269394902
FAM221B,0.826233880717582
ZBTB25,0.824049695696986
MSC,0.822148473870537
ZNF76,0.821788739829694
SMCO3,0.817596817604395
TBC1D7,0.80338813407269
EPS8L2,0.802228316851675
