Gene,Score
SMIM14,0.998845649095092
CTBP2,0.995128948622328
DUSP10,0.992226693804151
MAML1,0.958400121741336
SRSF10,0.952840293461164
TBC1D3K,0.947044224883402
TBC1D3H,0.946891814850294
TBC1D3G,0.9463880400775
ARNTL,0.942036892034252
SPTLC3,0.935580444053458
IQGAP2,0.931321984411003
MAEA,0.912383884437901
MRPS6,0.897124290591212
LRRCC1,0.886780981995041
SRSF7,0.881636195075185
POTEC,0.879536361195044
PCDH10,0.870596972904189
EDEM1,0.865188793804894
SRGAP3,0.860007343216708
RYR1,0.853850551332042
FGFR2,0.852267831287602
ZNF773,0.829063597027564
NCAM2,0.820753734087241
SPRED2,0.817851144779708
