Gene,Score
TMOD2,0.994506035297026
AC106886.6,0.989607082725397
LRP4,0.988776015090221
LHX2,0.983742889211187
ZNF800,0.981042101874385
CADM4,0.979983729040272
ENST00000617179,0.975665909835328
DNAJA2,0.97288566803248
HSPA4L,0.97038226802967
LMLN,0.969371272629399
FGF9,0.968772420852725
STK17A,0.96820754575571
DACH1,0.966182528920521
FNDC5,0.962553194816835
FLRT2,0.962084731711716
CHD8,0.959104032523434
SCRG1,0.954813707134759
NCOA1,0.950004299219599
PALM2AKAP2,0.942595932204079
CBLN4,0.941671310430308
NFAT5,0.941599826842403
ZMYM4,0.934234188617226
ELSPBP1,0.934216511406895
SPRY1,0.932847350964993
BMP2,0.929424469449177
HDGFL3,0.927535343948214
NUCKS1,0.92355183638404
TTYH3,0.919717329144169
CUL2,0.916310925263788
RBBP6,0.913907698135944
DGKB,0.913276591997632
DOK4,0.913175211523502
LTBR,0.910424924462697
SLC25A23,0.910327620744402
SRGAP1,0.906489575693295
SHROOM3,0.893216080915355
BAG2,0.892168971244118
ADCY6,0.891930856261363
SMARCC2,0.891488739872661
MON2,0.891462559092019
ANKRD29,0.889158670326233
KAT2B,0.88677382931025
UBE2V1,0.88604319588889
ENST00000610431,0.885913418962385
HAL,0.885812856456751
STIM1,0.885034176012052
BOLL,0.884945383975314
MED4,0.880408105962916
SMAD2,0.879608348878642
SRP14,0.878683767407637
ZNF716,0.876588565645283
TSPAN12,0.87443793802783
CTSB,0.874370273948297
DGKI,0.874208019212674
CDC42EP2,0.871067737531104
YOD1,0.869498766827751
LRP8,0.868389335452979
TFRC,0.868210458346091
BAZ2B,0.86784728386843
DPYSL2,0.867418993666959
GPM6A,0.867011828182353
GALNT16,0.8664424979298
RALA,0.865817773723692
UBQLNL,0.865432457403633
PHLPP1,0.864868195330371
NBEAL1,0.864531463691576
PAX8,0.863808951190098
DMD,0.862683725420873
GCA,0.861676458423164
NCKAP1,0.860874627961441
SNX27,0.860554114934985
TMEM35B,0.859746142552311
NCR3LG1,0.859461392754354
JAG1,0.858879705785395
VEZF1,0.85861915359264
PRR5L,0.855699736731683
MRAS,0.854810966230149
COL17A1,0.854190434865903
SBNO1,0.853574860931121
IGFBP5,0.85223039560897
RNF32,0.851848550743869
ADCY7,0.851439267455097
LCOR,0.850865120562676
RAD54L2,0.850846823767224
DCUN1D3,0.849381091042196
SLF1,0.849151471411021
RPUSD2,0.846967452080811
RSF1,0.84692160988156
DFFA,0.84639087340059
PDE4B,0.841908009853809
GLUD1,0.840404159351791
PDGFRA,0.838815338132656
MTAP,0.8364903344731
GPRIN3,0.836439439831796
PLP1,0.835350885119087
TMX2,0.834569779523686
CCDC43,0.834155113658083
BCL11A,0.83323800064754
ADGRL3,0.832681067072486
PDGFB,0.832239779669519
DBT,0.831554129735942
EPB41L4B,0.83147392920256
PCDH9,0.828582945078707
CELF2,0.827996466686593
CAPN1,0.825500571377679
BRAF,0.825392983293329
MYO9A,0.823783741417133
IRF6,0.823515462333727
AC112229.3,0.82220736334188
PPTC7,0.822126940781518
CORO2A,0.820672414101921
FOXN2,0.819833265223798
YTHDC2,0.818497691946178
GRIN2B,0.815863703784518
BLOC1S5-TXNDC5,0.813877213594376
FAT4,0.812499140574366
SPRY3,0.811536673023694
ZC3H14,0.810208045493082
SLC9B1,0.810143747632445
TLN2,0.808763240873997
ITGAV,0.80872885328995
TET1,0.808539679237548
ARFIP1,0.808372793212122
COL28A1,0.807628321025588
PRKX,0.80724390943542
TBC1D3K,0.807163805879437
ZNF557,0.807037071263389
ENST00000369130,0.807009176095015
TBC1D3H,0.80693623280409
TBC1D3G,0.806453125627818
CHIC1,0.806403452727557
LRRC70,0.805666527267796
EFEMP1,0.805318911565255
TTC39C,0.805238143958312
CALCOCO2,0.805178565993696
STOX1,0.803682345874581
OSBPL6,0.803294975184852
CELF1,0.801959515319396
F13A1,0.801911736119054
BBX,0.800185747287135
TGFBR3,0.800003686721333
