Gene,Score
FAM169B,0.99999999998561
MEIS3,0.99999176284656
PLBD2,0.999920610955801
GSG1L,0.999883955914689
SYN3,0.998777917914224
YTHDF3,0.983300625025585
LPP,0.980514150283875
TRABD2A,0.980454054704235
ZNF429,0.98015295895585
ARL10,0.978188998727054
RYBP,0.972719062288642
C1orf158,0.968574160776046
LAMC2,0.966870738466775
RNF157,0.962281247720864
VPS37C,0.960450666938518
ATP2B2,0.96039801102771
TUBA1C,0.959473211750159
ENST00000618047,0.95943677881603
YWHAE,0.956484881700929
CDH24,0.947504583642858
RAB5B,0.945708450715602
SH3KBP1,0.94121585523468
MSI2,0.941076911268669
PTPRD,0.940401332220497
PIP4K2C,0.929223867827262
GPR139,0.924884000814955
GTF2I,0.921709517000371
CLDN2,0.920903522723863
ITM2A,0.919821068747779
KIAA1755,0.91946983860755
ENST00000624731,0.917441877923181
SMAD2,0.914891074491666
PDGFC,0.912357346889223
ZGRF1,0.907948302992561
TCP10L,0.907176394800273
CDK12,0.907134420280199
GPATCH8,0.905639282570611
UBR1,0.905152346374331
KRTDAP,0.904180043030714
TBXAS1,0.900685389943418
SOX4,0.899660268154135
DOCK2,0.8981660774926
ATP2B4,0.897700108712528
AL591806.4,0.894938223109904
CSAG1,0.89348532613706
UBN2,0.892297712829839
PSMB2,0.889699222435237
ENST00000620120,0.887434197468697
GNG13,0.886004954016617
EPPIN,0.885713710970903
SOD2,0.88151311265712
CLIC4,0.880655154819841
NTRK3,0.88053363432836
ANKRD17,0.880122545782488
ISL1,0.874589373104966
SYNGR1,0.874436903523546
SCNN1B,0.874156522098431
BCAM,0.873378138639508
HLA-DMB,0.871389232276334
ESRRB,0.870705385831051
ZNF17,0.867577022461485
MDH1,0.86520081048513
TUBA1B,0.86370275037657
TTC7B,0.863129697796014
DUOX1,0.86221898568014
RASAL2,0.861060084978328
ZG16,0.858568025825105
MAP3K7,0.856617874860264
AC106886.6,0.856581627591138
DCAF6,0.856500022055082
ACTR1A,0.852733841814017
MED24,0.852615138268736
RNF150,0.851193517093827
CNOT3,0.849295381225776
MEGF10,0.847314474350697
CAPZA1,0.846700174955896
ZSWIM6,0.845694040299824
USP50,0.84392706776089
ONECUT2,0.843682996664744
YPEL2,0.841698897652255
CLEC2A,0.840877255413293
IDH3G,0.837751798386545
SDK2,0.837365503728885
HOXD10,0.83715822990429
MBNL3,0.836994873011479
LRRTM2,0.836711696110573
LEFTY2,0.836461440345019
KIF18B,0.834895341526617
PLD3,0.834837720955478
SHANK3,0.834488930164865
PIP5K1B,0.834334775322763
CDH3,0.831311548416377
RWDD2A,0.831130690001502
TRMT13,0.828615146146713
KCNJ5,0.828601747528717
OPN1MW2,0.828386588291199
POU2F2,0.827827593449981
OPN1LW,0.826473143721507
SPEG,0.825366218171635
CYFIP2,0.825295812223664
ACIN1,0.825052009635557
RBM23,0.824929335988658
CADM2,0.824566830943518
DGKD,0.823929236837611
DAAM2,0.82275191091912
SH3TC2,0.822520144380494
CCNT1,0.821868656377528
PLS3,0.820952663450912
AC006030.1,0.820272150000591
DNAJC5G,0.817833209658544
TCEANC2,0.817216954374547
SMYD1,0.817180328833417
PPP3CA,0.816525972398002
PGS1,0.815366636726741
MFAP3L,0.814568177958282
FAXC,0.813880864631261
AC233992.2,0.813463780425091
ENST00000558190,0.812935615779749
SLAMF7,0.812185978562397
DAGLA,0.812131460126614
CNTN1,0.811391410942904
YPEL5,0.810853058210684
FAM98A,0.80958740280899
NKAIN3,0.809146714499367
FAM167A,0.808838254047783
PXN,0.808093015636692
TMPRSS7,0.807842994725448
OPN1MW,0.806767492556843
AL353588.1,0.806273897813476
FGF2,0.805691404705858
HUWE1,0.805488343019052
SYN1,0.802242695816724
FMNL3,0.801324765047018
PLEKHO2,0.800770018001006
