Gene,Score
SLC6A13,0.993410756899008
STK17A,0.991901703263006
MAGT1,0.973630041824768
POU6F2,0.97126651598526
RPAP2,0.962002680253433
SRGN,0.957100829297369
DOK4,0.951773652509449
MOB3B,0.950344653492795
PDSS1,0.944771205281112
LMLN,0.938867179065157
HAL,0.93746645489524
PI4K2B,0.93740884887429
NCOA1,0.936721903714206
FNDC5,0.936377784159813
COL4A3,0.934361470601959
CTNND2,0.933623798567694
ORM1,0.93315319377898
PANK3,0.932924421386636
FAM19A4,0.932753522599163
PLP1,0.932584921782871
RSF1,0.928583081582638
YTHDF3,0.92747447771568
ZNF800,0.927014612134429
TCF12,0.925837957329658
CDC42EP2,0.925503991760485
SLC16A10,0.923690161952825
EPB41L2,0.921629023790018
BOLL,0.918381158859046
OLFM3,0.916972161788806
ZBED5,0.914174068548347
UBTD2,0.91406121891367
ZNF614,0.912705136189076
FRMD3,0.907118955639517
EPB41L4B,0.906899756447583
PFN2,0.905418682466584
DACH1,0.904503101948003
TESK2,0.904344607080521
DIXDC1,0.903615592894827
LIMS3,0.903173669463857
BMP2,0.902892129723145
TMEM65,0.902501476997369
CCDC43,0.902228531800943
MTMR4,0.901640679246941
IGFBP5,0.901005310276535
PDS5B,0.900922082228861
DBT,0.900820913848685
EMB,0.900464647538718
DFFA,0.900200505233194
LHX2,0.899886339669007
DIO2,0.898039063373168
ATP8B4,0.89768566721984
RP11-321N4.5,0.897637280987132
FCGR2A,0.897199661864592
GLG1,0.895580474712144
HPSE2,0.894567585220433
DGKI,0.893893214879771
CDC27,0.891549946618884
MEF2D,0.890024666727104
CEP78,0.888934728354818
PCNP,0.884850479174405
EXD1,0.884669069746236
MIPOL1,0.884072897967565
CAMK4,0.884006662735144
ZSWIM6,0.883802263144651
NFATC1,0.879815281890659
GGN,0.878836772202184
UTRN,0.877035921905297
ELSPBP1,0.876911758321724
BAG2,0.876803939471371
ASAH2,0.876739985724919
R3HDM1,0.874750759550285
DNM3,0.871860861454131
LPHN3,0.871021566110878
PMPCB,0.8708351278209
THUMPD2,0.870741008513106
C16orf52,0.870624790365644
GDF10,0.870104535066153
LIMS1,0.868488876390546
SORBS1,0.867434482126609
PAX8,0.866962692538312
AMMECR1,0.866206332051548
CBLN4,0.86432735569464
SPDYA,0.863139364841117
HACE1,0.862521048677459
NFXL1,0.861904028905196
RFX7,0.86182860023097
MKRN3,0.861687836744029
CELF1,0.861607695023062
GUCY1A2,0.860576418299092
SMCHD1,0.859780352205509
ONECUT2,0.8581671037625
ZNF460,0.857894813401896
SCOC,0.857809184489918
FAM46D,0.856948142962658
FAT4,0.856594111634272
ANKRD16,0.855669711571074
PARG,0.855575836331089
ZNF445,0.855477276294017
ARHGAP32,0.855038847425588
TMOD2,0.854769592857142
SNRNP48,0.853052703628396
SLC25A23,0.853017060446685
C3orf49,0.852516019354019
CD302,0.848973739581412
SDK2,0.848675161111714
ERVFRD-1,0.846663526393083
PGGT1B,0.843976323671562
ANKRD36C,0.843880296282862
SP3,0.842193587264672
GLUL,0.841024851103464
DDX42,0.840971509626275
BAZ2A,0.840826148164973
DMD,0.84041758996229
EML6,0.839886292801647
NIFK,0.839331938760996
KIAA2022,0.837551531354827
BTBD7,0.837191976047702
SEPT11,0.837074040891342
C14orf119,0.836222952680439
MIER3,0.835370441990509
ABI2,0.833087785064644
LINGO4,0.832924051370848
DDI2,0.832147394589296
KCNC3,0.83103596004082
TMED5,0.830429610458203
SS18,0.830295807831049
CR769776.1,0.82985141681199
ATF7IP,0.828857623452225
TJP1,0.828624939553258
ZDHHC15,0.827904836932538
EPB41L3,0.827902753140204
PPM1B,0.826603061757693
MECP2,0.825871069451594
CREB5,0.823515987025743
AC008394.1,0.82310374493537
ZNF773,0.822614417408523
YTHDC2,0.821415658144185
GOLIM4,0.821218528618611
SPRY3,0.821110723802553
ATG16L1,0.819553908026636
NCKAP1,0.818555882175528
CCL28,0.817283799742301
RDH8,0.817148043668801
ANTXR1,0.816163572865945
SLC4A4,0.814936291990242
METTL20,0.814769925433253
PRKX,0.814658847287279
NAB1,0.813801112209637
TCAIM,0.813791699779302
AKIRIN1,0.813397446593876
IYD,0.813180066145124
KAT2B,0.812848826226693
AC120194.1,0.812314557195298
MYO5B,0.810059474309347
PDE4C,0.809342774901588
SKIV2L2,0.807850150347449
GPRIN3,0.807175736888733
CALB1,0.806642056507161
PTBP2,0.80655278918175
GNAI3,0.806454999807719
RFTN2,0.80557729272161
NR1D2,0.805388125542203
SRSF11,0.804018518892988
JAM3,0.80399594500286
MBP,0.803694281323088
ZNF141,0.80330882710663
MCUR1,0.803104215196524
XKR4,0.802764465432077
ARL13B,0.801491349502451
HMBOX1,0.801426751152215
PRSS23,0.800959833391314
KIAA1024,0.800481614051423
