Gene,Score
RC3H2,0.999462026747344
ZNF430,0.99803037641966
CREB5,0.997273873519553
C12orf36,0.997091972442345
LPPR1,0.996834982434793
ZBTB37,0.996411955787688
XPO1,0.996197771755014
ADAMTS6,0.995753172966822
TGOLN2,0.995227749631577
HELZ,0.995115064273035
GSPT1,0.994886545491739
ENAH,0.994662121668262
ZNF117,0.994146531552491
EBF2,0.993483047453581
BVES,0.992985881989889
BX255923.1,0.992804158484818
C1orf95,0.992086471588495
MSI2,0.991118905760503
RAP1A,0.99104219203178
MMP16,0.990793910046749
ABI2,0.99041252421946
CDK13,0.990234518941887
ONECUT2,0.990191662655266
CDK6,0.989923322545616
PLXNC1,0.989807545922114
ARMCX2,0.989551647717202
GMCL1,0.989547690780538
METTL10,0.989343919862021
TMEM47,0.989141371917198
BHLHE41,0.988058797207289
CPD,0.987465452945704
ZBTB21,0.987270308297283
CAPRIN1,0.987237041975463
BMPR1A,0.987216312199094
PCDHA2,0.986853505667186
PCDHA5,0.986840373470823
PCDHA6,0.986751778068839
PCDHA13,0.986671299035047
PCDHA10,0.98666296163645
PCDHA7,0.986654546560174
PCDHA1,0.986642416048575
PCDHAC2,0.986598273989223
PCDHA12,0.986587616202663
PCDHAC1,0.986465135004944
PCDHA11,0.986442955587649
PCDHA8,0.986440109475989
PCDHA3,0.986403261358405
PCDHA4,0.986255890369724
TMEM255A,0.985952755232824
GTF2A1,0.98534235974454
LMO3,0.985274023525751
TPM3,0.984286736234263
DHX15,0.984150848847996
SUGT1,0.983592522940282
ARF1,0.982991244708468
TMEM106B,0.982917002336499
ARPP19,0.981845598494447
RGS9BP,0.98183095207175
MIB1,0.981399240728227
TNRC6B,0.980926020751764
HSPH1,0.980640496843663
RBFOX2,0.980620130288055
ESRRG,0.980551051250136
PBX3,0.980128518052591
PDLIM5,0.980044656746547
PCDH19,0.979285630691822
BRWD3,0.979006145700068
GLIS3,0.978847053226144
HLTF,0.977930497856354
YOD1,0.977502942578715
RBMS2,0.97645524069317
LIMCH1,0.976019369344843
ZFHX3,0.975680741206982
NFIA,0.975534463726633
COPS2,0.975005528673803
IRF6,0.974880654852166
UBE2D3,0.974799105310097
TNKS2,0.974680338407651
CNKSR2,0.974314322975755
NIN,0.97426570814675
PARP8,0.974003994747079
NFATC2IP,0.973306729928111
MXD1,0.973223480632508
SLC5A3,0.972833177230743
AK4,0.972632999661287
PPP1R12B,0.972575848110435
FAM199X,0.971960800968396
SLC5A3,0.971960285341812
GCG,0.971751299140558
HOXA5,0.971602409021703
FOXP2,0.971436939926083
RIT1,0.971257794401558
POLR1B,0.970989836689347
NFATC3,0.970376588880812
PPP4R1,0.970248327135867
TRAPPC2L,0.970019779295477
PHF1,0.969563014100267
MAP3K7,0.969275875320771
NUFIP2,0.96904845325403
RAB11A,0.968843201990247
